JAKARTA	jakarta	JAKARTA
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Vice	vice	Vice
President	presid	President
Mike	mike	Mike
Pence	penc	Pence
will	will	will
visit	visit	visit
Japan	japan	Japan
and	and	and
Indonesia	indonesia	Indonesia
as	as	a
part	part	part
of	of	of
an	an	an
Asian	asian	Asian
tour	tour	tour
next	next	next
month	month	month
,	,	,
sources	sourc	source
said	said	said
on	on	on
Monday	monday	Monday
,	,	,
amid	amid	amid
concerns	concern	concern
the	the	the
Trump	trump	Trump
administration	administr	administration
is	is	is
rolling	roll	rolling
back	back	back
Barack	barack	Barack
Obama	obama	Obama
s	s	s
pivot	pivot	pivot
to	to	to
Asia	asia	Asia
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
already	alreadi	already
withdrawn	withdrawn	withdrawn
from	from	from
the	the	the
Trans	tran	Trans
-Pacific	-pacif	-Pacific
Partnership	partnership	Partnership
TPP	tpp	TPP
trade	trade	trade
agreement	agreement	agreement
,	,	,
which	which	which
was	was	wa
seen	seen	seen
as	as	a
an	an	an
economic	econom	economic
pillar	pillar	pillar
of	of	of
the	the	the
strategy	strategi	strategy
.	.	.
A	a	A
Trump	trump	Trump
administration	administr	administration
official	offici	official
told	told	told
Reuters	reuter	Reuters
The	the	The
vice	vice	vice
president	presid	president
is	is	is
going	go	going
to	to	to
Asia	asia	Asia
next	next	next
month	month	month
I	i	I
believe	believ	believe
.	.	.
The	the	The
tour	tour	tour
will	will	will
include	includ	include
South	south	South
Korea	korea	Korea
and	and	and
Australia	australia	Australia
,	,	,
the	the	the
Nikkei	nikkei	Nikkei
Asian	asian	Asian
Review	review	Review
reported	report	reported
,	,	,
with	with	with
North	north	North
Korea	korea	Korea
s	s	s
missile	missil	missile
and	and	and
nuclear	nuclear	nuclear
programs	program	program
and	and	and
South	south	South
Korea	korea	Korea
s	s	s
political	polit	political
crisis	crisi	crisis
likely	like	likely
topics	topic	topic
for	for	for
discussion	discuss	discussion
.	.	.
China	china	China
has	has	ha
been	been	been
infuriated	infuri	infuriated
by	by	by
South	south	South
Korea	korea	Korea
s	s	s
plan	plan	plan
to	to	to
deploy	deploy	deploy
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
missile	missil	missile
defense	defens	defense
system	system	system
targeted	target	targeted
at	at	at
the	the	the
North	north	North
Korean	korean	Korean
threat	threat	threat
.	.	.
South	south	South
Korea	korea	Korea
is	is	is
also	also	also
going	go	going
through	through	through
political	polit	political
turmoil	turmoil	turmoil
after	after	after
a	a	a
court	court	court
removed	remov	removed
President	presid	President
Park	park	Park
Geun	geun	Geun
-hye	-hye	-hye
from	from	from
office	offic	office
over	over	over
a	a	a
graft	graft	graft
scandal	scandal	scandal
.	.	.
Pence	penc	Pence
is	is	is
also	also	also
expected	expect	expected
to	to	to
visit	visit	visit
Tokyo	tokyo	Tokyo
for	for	for
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-Japan	-japan	-Japan
economic	econom	economic
dialogue	dialogu	dialogue
,	,	,
according	accord	according
to	to	to
a	a	a
source	sourc	source
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
.	.	.
The	the	The
visit	visit	visit
will	will	will
come	come	come
as	as	a
North	north	North
Korea	korea	Korea
s	s	s
latest	latest	latest
missile	missil	missile
launches	launch	launch
and	and	and
the	the	the
assassination	assassin	assassination
in	in	in
Malaysia	malaysia	Malaysia
of	of	of
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
s	s	s
estranged	estrang	estranged
half	half	half
-brother	-brother	-brother
add	add	add
urgency	urgenc	urgency
to	to	to
the	the	the
region	region	region
s	s	s
security	secur	security
.	.	.
It	it	It
will	will	will
also	also	also
follow	follow	follow
this	this	this
month	month	month
s	s	s
trip	trip	trip
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
to	to	to
Japan	japan	Japan
,	,	,
South	south	South
Korea	korea	Korea
,	,	,
and	and	and
China	china	China
.	.	.
The	the	The
TPP	tpp	TPP
had	had	had
been	been	been
the	the	the
main	main	main
economic	econom	economic
pillar	pillar	pillar
of	of	of
the	the	the
Obama	obama	Obama
administration	administr	administration
s	s	s
pivot	pivot	pivot
to	to	to
the	the	the
Asia	asia	Asia
-Pacific	-pacif	-Pacific
region	region	region
in	in	in
the	the	the
face	face	face
of	of	of
a	a	a
fast	fast	fast
-rising	-rise	-rising
China	china	China
.	.	.
Proponents	propon	Proponents
of	of	of
the	the	the
pact	pact	pact
have	have	have
expressed	express	expressed
concerns	concern	concern
that	that	that
abandoning	abandon	abandoning
the	the	the
project	project	project
,	,	,
which	which	which
took	took	took
years	year	year
to	to	to
negotiate	negoti	negotiate
,	,	,
could	could	could
strengthen	strengthen	strengthen
China	china	China
s	s	s
economic	econom	economic
hand	hand	hand
in	in	in
the	the	the
region	region	region
at	at	at
the	the	the
expense	expens	expense
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Indonesia	indonesia	Indonesia
s	s	s
chief	chief	chief
security	secur	security
minister	minist	minister
said	said	said
Pence	penc	Pence
would	would	would
meet	meet	meet
President	presid	President
Joko	joko	Joko
Widodo	widodo	Widodo
to	to	to
discuss	discuss	discus
terrorism	terror	terrorism
and	and	and
other	other	other
security	secur	security
issues	issu	issue
.	.	.
Indonesia	indonesia	Indonesia
has	has	ha
the	the	the
world	world	world
s	s	s
largest	largest	largest
Muslim	muslim	Muslim
population	popul	population
and	and	and
has	has	ha
recently	recent	recently
grappled	grappl	grappled
with	with	with
a	a	a
series	seri	series
of	of	of
low	low	low
-level	-level	-level
militant	milit	militant
attacks	attack	attack
inspired	inspir	inspired
by	by	by
Islamic	islam	Islamic
State	state	State
.	.	.
We	we	We
discussed	discuss	discussed
the	the	the
planned	plan	planned
visit	visit	visit
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
vice	vice	vice
president	presid	president
Mike	mike	Mike
Pence	penc	Pence
to	to	to
Indonesia	indonesia	Indonesia
and	and	and
the	the	the
strategic	strateg	strategic
problems	problem	problem
that	that	that
can	can	can
be	be	be
on	on	on
the	the	the
agenda	agenda	agenda
to	to	to
discuss	discuss	discus
with	with	with
our	our	our
president	presid	president
,	,	,
chief	chief	chief
security	secur	security
minister	minist	minister
Wiranto	wiranto	Wiranto
told	told	told
reporters	report	reporter
after	after	after
meeting	meet	meeting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
ambassador	ambassador	ambassador
to	to	to
Jakarta	jakarta	Jakarta
.	.	.
He	he	He
added	ad	added
that	that	that
no	no	no
dates	date	date
have	have	have
been	been	been
finalized	final	finalized
.	.	.
In	in	In
Indonesia	indonesia	Indonesia
,	,	,
Pence	penc	Pence
is	is	is
also	also	also
expected	expect	expected
to	to	to
discuss	discuss	discus
a	a	a
brewing	brew	brewing
contract	contract	contract
dispute	disput	dispute
between	between	between
the	the	the
government	govern	government
and	and	and
American	american	American
mining	mine	mining
group	group	group
Freeport	freeport	Freeport
McMoRan	mcmoran	McMoRan
Inc	inc	Inc
,	,	,
said	said	said
two	two	two
Indonesian	indonesian	Indonesian
government	govern	government
sources	sourc	source
.	.	.
Freeport	freeport	Freeport
has	has	ha
threatened	threaten	threatened
to	to	to
take	take	take
the	the	the
Indonesian	indonesian	Indonesian
government	govern	government
to	to	to
court	court	court
over	over	over
newly	newli	newly
revised	revis	revised
mining	mine	mining
regulations	regul	regulation
that	that	that
have	have	have
prompted	prompt	prompted
a	a	a
major	major	major
scale	scale	scale
-back	-back	-back
in	in	in
its	it	it
operations	oper	operation
in	in	in
the	the	the
eastern	eastern	eastern
province	provinc	province
of	of	of
Papua	papua	Papua
.	.	.
