Token	Stem	Lemma
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
Billionaire	billionair	Billionaire
investor	investor	investor
Wilbur	wilbur	Wilbur
Ross	ross	Ross
easily	easili	easily
won	won	won
confirmation	confirm	confirmation
as	as	a
U	u	U
S	s	S
commerce	commerc	commerce
secretary	secretari	secretary
on	on	on
Monday	monday	Monday
clearing	clear	clearing
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
top	top	top
trade	trade	trade
official	offici	official
to	to	to
start	start	start
work	work	work
on	on	on
renegotiating	renegoti	renegotiating
trade	trade	trade
relationships	relationship	relationship
with	with	with
China	china	China
and	and	and
Mexico	mexico	Mexico
The	the	The
U	u	U
S	s	S
Senate	senat	Senate
voted	vote	voted
72	72	72
-27	-27	-27
to	to	to
confirm	confirm	confirm
the	the	the
79	79	79
-year	-year	-year
-old	-old	-old
corporate	corpor	corporate
turnaround	turnaround	turnaround
expert	expert	expert
s	s	s
nomination	nomin	nomination
with	with	with
strong	strong	strong
support	support	support
from	from	from
Democrats	democrat	Democrats
Ross	ross	Ross
is	is	is
set	set	set
to	to	to
become	becom	become
an	an	an
influential	influenti	influential
voice	voic	voice
in	in	in
Trump	trump	Trump
s	s	s
economic	econom	economic
team	team	team
after	after	after
helping	help	helping
shape	shape	shape
the	the	the
president	presid	president
s	s	s
opposition	opposit	opposition
to	to	to
multilateral	multilater	multilateral
free	free	free
trade	trade	trade
deals	deal	deal
such	such	such
as	as	a
the	the	the
now	now	now
-scrapped	-scrap	-scrapped
Trans	tran	Trans
-Pacific	-pacif	-Pacific
Partnership	partnership	Partnership
Ross	ross	Ross
drew	drew	drew
votes	vote	vote
from	from	from
19	19	19
Democrats	democrat	Democrats
and	and	and
one	one	one
independent	independ	independent
partly	part	partly
because	becaus	because
of	of	of
an	an	an
endorsement	endors	endorsement
from	from	from
the	the	the
United	unit	United
Steelworkers	steelwork	Steelworkers
union	union	union
for	for	for
his	his	his
efforts	effort	effort
in	in	in
restructuring	restructur	restructuring
bankrupt	bankrupt	bankrupt
steel	steel	steel
companies	compani	company
in	in	in
the	the	the
early	earli	early
2000s	2000s	2000s
which	which	which
saved	save	saved
numerous	numer	numerous
plants	plant	plant
and	and	and
thousands	thousand	thousand
of	of	of
jobs	job	job
Ross	ross	Ross
was	was	wa
criticized	critic	criticized
by	by	by
some	some	some
Democrats	democrat	Democrats
as	as	a
another	anoth	another
billionaire	billionair	billionaire
in	in	in
a	a	a
Trump	trump	Trump
Cabinet	cabinet	Cabinet
that	that	that
says	say	say
it	it	it
is	is	is
focused	focus	focused
on	on	on
the	the	the
working	work	working
class	class	class
and	and	and
for	for	for
being	be	being
a	a	a
vulture	vultur	vulture
investor	investor	investor
who	who	who
has	has	ha
eliminated	elimin	eliminated
some	some	some
jobs	job	job
Reuters	reuter	Reuters
reported	report	reported
last	last	last
month	month	month
that	that	that
Ross	ross	Ross
s	s	s
companies	compani	company
had	had	had
shipped	ship	shipped
some	some	some
2	2	2
700	700	700
jobs	job	job
overseas	oversea	overseas
since	sinc	since
2004	2004	2004
The	the	The
investor	investor	investor
will	will	will
oversee	overse	oversee
a	a	a
sprawling	sprawl	sprawling
