LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
The	the	The
World	world	World
Health	health	Health
Organization	organ	Organization
said	said	said
on	on	on
Friday	friday	Friday
it	it	it
had	had	had
received	receiv	received
reports	report	report
of	of	of
an	an	an
attack	attack	attack
on	on	on
medical	medic	medical
facilities	facil	facility
in	in	in
eastern	eastern	eastern
Syria	syria	Syria
that	that	that
had	had	had
destroyed	destroy	destroyed
a	a	a
store	store	store
containing	contain	containing
more	more	more
than	than	than
130	130	130
,	,	,
000	000	000
vaccine	vaccin	vaccine
doses	dose	dos
against	against	against
measles	measl	measles
and	and	and
polio	polio	polio
.	.	.
If	if	If
confirmed	confirm	confirmed
,	,	,
the	the	the
WHO	who	WHO
said	said	said
,	,	,
the	the	the
attack	attack	attack
would	would	would
put	put	put
thousands	thousand	thousand
of	of	of
children	children	child
at	at	at
risk	risk	risk
of	of	of
these	these	these
serious	serious	serious
infectious	infecti	infectious
,	,	,
viral	viral	viral
diseases	diseas	disease
.	.	.
Both	both	Both
can	can	can
spread	spread	spread
rapidly	rapid	rapidly
in	in	in
areas	area	area
of	of	of
conflict	conflict	conflict
.	.	.
We	we	We
unequivocally	unequivoc	unequivocally
condemn	condemn	condemn
these	these	these
actions	action	action
.	.	.
Vaccines	vaccin	Vaccines
are	are	are
not	not	not
a	a	a
legitimate	legitim	legitimate
target	target	target
of	of	of
war	war	war
,	,	,
the	the	the
WHO	who	WHO
s	s	s
representative	repres	representative
in	in	in
Syria	syria	Syria
,	,	,
Elizabeth	elizabeth	Elizabeth
Hoff	hoff	Hoff
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
issued	issu	issued
late	late	late
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
WHO	who	WHO
said	said	said
the	the	the
reports	report	report
it	it	it
received	receiv	received
were	were	were
of	of	of
an	an	an
attack	attack	attack
on	on	on
a	a	a
vaccine	vaccin	vaccine
cold	cold	cold
room	room	room
at	at	at
health	health	health
facilities	facil	facility
in	in	in
al	al	al
-Mayadin	-mayadin	-Mayadin
,	,	,
near	near	near
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
in	in	in
eastern	eastern	eastern
Syria	syria	Syria
.	.	.
The	the	The
WHO	who	WHO
did	did	did
not	not	not
say	say	say
whether	whether	whether
the	the	the
reports	report	report
it	it	it
received	receiv	received
gave	gave	gave
any	ani	any
detail	detail	detail
on	on	on
who	who	who
carried	carri	carried
out	out	out
the	the	the
reported	report	reported
attack	attack	attack
.	.	.
The	the	The
store	store	store
had	had	had
held	held	held
100	100	100
,	,	,
000	000	000
doses	dose	dos
of	of	of
measles	measl	measles
vaccine	vaccin	vaccine
,	,	,
35	35	35
,	,	,
000	000	000
doses	dose	dos
of	of	of
polio	polio	polio
vaccine	vaccin	vaccine
,	,	,
plus	plus	plus
syringes	syring	syrinx
and	and	and
other	other	other
equipment	equip	equipment
.	.	.
Until	until	Until
a	a	a
new	new	new
cold	cold	cold
room	room	room
is	is	is
built	built	built
and	and	and
the	the	the
required	requir	required
cold	cold	cold
chain	chain	chain
equipment	equip	equipment
-	-	-
including	includ	including
solar	solar	solar
fridges	fridg	fridge
,	,	,
cold	cold	cold
boxes	box	box
and	and	and
vaccine	vaccin	vaccine
carriers	carrier	carrier
-	-	-
are	are	are
delivered	deliv	delivered
,	,	,
this	this	this
will	will	will
delay	delay	delay
.	.	.
.	.	.
.	.	.
routine	routin	routine
immunization	immun	immunization
for	for	for
vulnerable	vulner	vulnerable
children	children	child
in	in	in
the	the	the
area	area	area
,	,	,
Hoff	hoff	Hoff
said	said	said
.	.	.
Polio	polio	Polio
-	-	-
a	a	a
viral	viral	viral
disease	diseas	disease
that	that	that
can	can	can
cripple	crippl	cripple
its	it	it
victims	victim	victim
-	-	-
and	and	and
measles	measl	measles
-	-	-
which	which	which
can	can	can
cause	caus	cause
diarrhea	diarrhea	diarrhea
,	,	,
blindness	blind	blindness
and	and	and
can	can	can
kill	kill	kill
-	-	-
tend	tend	tend
to	to	to
break	break	break
out	out	out
in	in	in
war	war	war
zones	zone	zone
because	becaus	because
low	low	low
vaccine	vaccin	vaccine
coverage	coverag	coverage
leaves	leav	leaf
gaps	gap	gap
in	in	in
population	popul	population
immunity	immun	immunity
,	,	,
exposing	expos	exposing
children	children	child
to	to	to
infection	infect	infection
.	.	.
The	the	The
WHO	who	WHO
previously	previous	previously
tackled	tackl	tackled
a	a	a
polio	polio	polio
outbreak	outbreak	outbreak
in	in	in
the	the	the
same	same	same
area	area	area
of	of	of
Syria	syria	Syria
in	in	in
2013	2013	2013
-2014	-2014	-2014
.	.	.
The	the	The
UN	un	UN
health	health	health
agency	agenc	agency
said	said	said
that	that	that
in	in	in
its	it	it
last	last	last
polio	polio	polio
vaccination	vaccin	vaccination
campaign	campaign	campaign
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
it	it	it
reached	reach	reached
more	more	more
than	than	than
252	252	252
,	,	,
000	000	000
babies	babi	baby
and	and	and
children	children	child
.	.	.
