SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
A	a	A
series	seri	series
of	of	of
tremors	tremor	tremor
and	and	and
landslides	landslid	landslide
near	near	near
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
test	test	test
base	base	base
likely	like	likely
mean	mean	mean
the	the	the
country	countri	country
s	s	s
sixth	sixth	sixth
and	and	and
largest	largest	largest
blast	blast	blast
has	has	ha
destabilized	destabil	destabilized
the	the	the
region	region	region
,	,	,
and	and	and
the	the	the
Punggye	punggy	Punggye
-ri	-ri	-ri
nuclear	nuclear	nuclear
site	site	site
may	may	may
not	not	not
be	be	be
used	use	used
for	for	for
much	much	much
longer	longer	longer
to	to	to
test	test	test
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
experts	expert	expert
say	say	say
.	.	.
A	a	A
small	small	small
quake	quak	quake
was	was	wa
detected	detect	detected
early	earli	early
on	on	on
Friday	friday	Friday
near	near	near
the	the	the
North	north	North
s	s	s
nuclear	nuclear	nuclear
test	test	test
site	site	site
,	,	,
South	south	South
Korea	korea	Korea
s	s	s
weather	weather	weather
agency	agenc	agency
said	said	said
,	,	,
but	but	but
unlike	unlik	unlike
quakes	quak	quake
associated	associ	associated
with	with	with
nuclear	nuclear	nuclear
tests	test	test
,	,	,
it	it	it
did	did	did
not	not	not
appear	appear	appear
to	to	to
be	be	be
manmade	manmad	manmade
.	.	.
The	the	The
tremor	tremor	tremor
was	was	wa
the	the	the
latest	latest	latest
in	in	in
a	a	a
string	string	string
of	of	of
at	at	at
least	least	least
three	three	three
shocks	shock	shock
to	to	to
be	be	be
observed	observ	observed
since	sinc	since
Pyongyang	pyongyang	Pyongyang
s	s	s
Sept	sept	Sept
.	.	.
3	3	3
nuclear	nuclear	nuclear
test	test	test
,	,	,
which	which	which
caused	caus	caused
a	a	a
6	6	6
.	.	.
3	3	3
magnitude	magnitud	magnitude
earthquake	earthquak	earthquake
.	.	.
Friday	friday	Friday
s	s	s
quake	quak	quake
was	was	wa
a	a	a
magnitude	magnitud	magnitude
2	2	2
.	.	.
7	7	7
with	with	with
a	a	a
depth	depth	depth
of	of	of
3	3	3
km	km	km
in	in	in
North	north	North
Hamgyong	hamgyong	Hamgyong
Province	provinc	Province
in	in	in
North	north	North
Korea	korea	Korea
,	,	,
the	the	the
Korea	korea	Korea
Meteorological	meteorolog	Meteorological
Administration	administr	Administration
said	said	said
.	.	.
The	the	The
United	unit	United
States	state	States
Geological	geolog	Geological
Survey	survey	Survey
USGS	usg	USGS
measured	measur	measured
the	the	the
quake	quak	quake
at	at	at
2	2	2
.	.	.
9	9	9
magnitude	magnitud	magnitude
at	at	at
a	a	a
depth	depth	depth
of	of	of
5	5	5
km	km	km
.	.	.
The	the	The
series	seri	series
of	of	of
quakes	quak	quake
has	has	ha
prompted	prompt	prompted
experts	expert	expert
and	and	and
observers	observ	observer
to	to	to
suspect	suspect	suspect
the	the	the
last	last	last
test	test	test
-	-	-
which	which	which
the	the	the
North	north	North
claimed	claim	claimed
to	to	to
be	be	be
of	of	of
a	a	a
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
-	-	-
may	may	may
have	have	have
damaged	damag	damaged
the	the	the
mountainous	mountain	mountainous
location	locat	location
in	in	in
the	the	the
northwest	northwest	northwest
tip	tip	tip
of	of	of
the	the	the
country	countri	country
,	,	,
where	where	where
all	all	all
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
six	six	six
nuclear	nuclear	nuclear
tests	test	test
were	were	were
conducted	conduct	conducted
.	.	.
The	the	The
explosion	explos	explosion
from	from	from
the	the	the
Sept	sept	Sept
.	.	.
3	3	3
test	test	test
had	had	had
such	such	such
power	power	power
that	that	that
the	the	the
existing	exist	existing
tunnels	tunnel	tunnel
within	within	within
the	the	the
underground	underground	underground
testing	test	testing
site	site	site
might	might	might
have	have	have
caved	cave	caved
in	in	in
,	,	,
said	said	said
Kim	kim	Kim
So	so	So
-gu	-gu	-gu
,	,	,
head	head	head
researcher	research	researcher
at	at	at
the	the	the
Korea	korea	Korea
Seismological	seismolog	Seismological
Institute	institut	Institute
.	.	.
I	i	I
think	think	think
the	the	the
Punggye	punggy	Punggye
-ri	-ri	-ri
region	region	region
is	is	is
now	now	now
pretty	pretti	pretty
saturated	satur	saturated
.	.	.
If	if	If
it	it	it
goes	goe	go
ahead	ahead	ahead
with	with	with
another	anoth	another
test	test	test
in	in	in
this	this	this
area	area	area
,	,	,
it	it	it
could	could	could
risk	risk	risk
radioactive	radioact	radioactive
pollution	pollut	pollution
.	.	.
According	accord	According
to	to	to
38	38	38
North	north	North
,	,	,
a	a	a
Washington	washington	Washington
-based	-base	-based
project	project	project
which	which	which
monitors	monitor	monitor
North	north	North
Korea	korea	Korea
,	,	,
numerous	numer	numerous
landslides	landslid	landslide
throughout	throughout	throughout
the	the	the
nuclear	nuclear	nuclear
test	test	test
site	site	site
have	have	have
been	been	been
detected	detect	detected
via	via	via
satellite	satellit	satellite
images	imag	image
after	after	after
the	the	the
sixth	sixth	sixth
test	test	test
.	.	.
These	these	These
disturbances	disturb	disturbance
are	are	are
more	more	more
numerous	numer	numerous
and	and	and
widespread	widespread	widespread
than	than	than
seen	seen	seen
after	after	after
any	ani	any
of	of	of
the	the	the
North	north	North
s	s	s
previous	previous	previous
tests	test	test
,	,	,
38	38	38
North	north	North
said	said	said
.	.	.
The	the	The
explosion	explos	explosion
from	from	from
the	the	the
sixth	sixth	sixth
test	test	test
was	was	wa
large	larg	large
enough	enough	enough
for	for	for
residents	resid	resident
of	of	of
the	the	the
Chinese	chines	Chinese
border	border	border
city	citi	city
of	of	of
Yanji	yanji	Yanji
,	,	,
200	200	200
km	km	km
125	125	125
miles	mile	mile
north	north	north
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
test	test	test
site	site	site
,	,	,
to	to	to
feel	feel	feel
the	the	the
ground	ground	ground
shake	shake	shake
beneath	beneath	beneath
their	their	their
feet	feet	foot
.	.	.
The	the	The
reason	reason	reason
why	whi	why
Punggye	punggy	Punggye
-ri	-ri	-ri
has	has	ha
become	becom	become
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
testing	test	testing
field	field	field
is	is	is
because	becaus	because
this	this	this
area	area	area
was	was	wa
considered	consid	considered
stable	stabl	stable
and	and	and
rarely	rare	rarely
saw	saw	saw
tremors	tremor	tremor
in	in	in
the	the	the
past	past	past
,	,	,
said	said	said
Hong	hong	Hong
Tae	tae	Tae
-kyung	-kyung	-kyung
,	,	,
a	a	a
professor	professor	professor
of	of	of
earth	earth	earth
system	system	system
science	scienc	science
at	at	at
Yonsei	yonsei	Yonsei
University	univers	University
in	in	in
Seoul	seoul	Seoul
.	.	.
The	the	The
recent	recent	recent
small	small	small
quakes	quak	quake
suggest	suggest	suggest
that	that	that
the	the	the
test	test	test
might	might	might
have	have	have
triggered	trigger	triggered
crust	crust	crust
deformation	deform	deformation
.	.	.
South	south	South
Korea	korea	Korea
s	s	s
spy	spi	spy
agency	agenc	agency
said	said	said
recently	recent	recently
the	the	the
North	north	North
was	was	wa
readying	readi	readying
possibly	possibl	possibly
two	two	two
more	more	more
tunnels	tunnel	tunnel
following	follow	following
its	it	it
latest	latest	latest
test	test	test
,	,	,
according	accord	according
to	to	to
ruling	rule	ruling
Democratic	democrat	Democratic
Party	parti	Party
lawmakers	lawmak	lawmaker
who	who	who
had	had	had
been	been	been
briefed	brief	briefed
on	on	on
the	the	the
issue	issu	issue
.	.	.
The	the	The
tunnel	tunnel	tunnel
used	use	used
for	for	for
Pyongyang	pyongyang	Pyongyang
s	s	s
first	first	first
nuclear	nuclear	nuclear
test	test	test
had	had	had
been	been	been
shut	shut	shut
down	down	down
after	after	after
that	that	that
test	test	test
,	,	,
while	while	while
a	a	a
second	second	second
tunnel	tunnel	tunnel
had	had	had
been	been	been
used	use	used
for	for	for
the	the	the
following	follow	following
five	five	five
,	,	,
the	the	the
National	nation	National
Intelligence	intellig	Intelligence
Service	servic	Service
was	was	wa
cited	cite	cited
as	as	a
saying	say	saying
last	last	last
month	month	month
.	.	.
This	this	This
second	second	second
tunnel	tunnel	tunnel
may	may	may
have	have	have
caved	cave	caved
in	in	in
after	after	after
the	the	the
sixth	sixth	sixth
test	test	test
,	,	,
the	the	the
intelligence	intellig	intelligence
officials	offici	official
said	said	said
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
hinted	hint	hinted
its	it	it
next	next	next
test	test	test
could	could	could
be	be	be
above	abov	above
the	the	the
ground	ground	ground
.	.	.
Foreign	foreign	Foreign
Minister	minist	Minister
Ri	ri	Ri
Yong	yong	Yong
Ho	ho	Ho
said	said	said
last	last	last
month	month	month
the	the	the
North	north	North
could	could	could
test	test	test
an	an	an
unprecedented	unpreced	unprecedented
scale	scale	scale
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
over	over	over
the	the	the
Pacific	pacif	Pacific
Ocean	ocean	Ocean
,	,	,
in	in	in
response	respons	response
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
threat	threat	threat
to	to	to
totally	total	totally
destroy	destroy	destroy
the	the	the
country	countri	country
.	.	.
Arms	arm	Arms
experts	expert	expert
say	say	say
detonating	deton	detonating
a	a	a
nuclear	nuclear	nuclear
-tipped	-tip	-tipped
missile	missil	missile
over	over	over
the	the	the
Pacific	pacif	Pacific
Ocean	ocean	Ocean
,	,	,
while	while	while
seen	seen	seen
as	as	a
the	the	the
logical	logic	logical
final	final	final
step	step	step
to	to	to
prove	prove	prove
the	the	the
success	success	success
of	of	of
its	it	it
weapons	weapon	weapon
program	program	program
,	,	,
would	would	would
be	be	be
extremely	extrem	extremely
provocative	provoc	provocative
and	and	and
carry	carri	carry
huge	huge	huge
risks	risk	risk
.	.	.
Another	anoth	Another
issue	issu	issue
that	that	that
could	could	could
keep	keep	keep
North	north	North
Korea	korea	Korea
from	from	from
using	use	using
Punggye	punggy	Punggye
-ri	-ri	-ri
for	for	for
nuclear	nuclear	nuclear
tests	test	test
the	the	the
nearby	nearbi	nearby
active	activ	active
volcano	volcano	volcano
of	of	of
Mt	mt	Mt
.	.	.
Paektu	paektu	Paektu
,	,	,
Yonsei	yonsei	Yonsei
University	univers	University
s	s	s
Hong	hong	Hong
said	said	said
.	.	.
The	the	The
2	2	2
,	,	,
744	744	744
meter	meter	meter
9	9	9
,	,	,
003	003	003
ft	ft	ft
mountain	mountain	mountain
,	,	,
straddling	straddl	straddling
the	the	the
northwestern	northwestern	northwestern
border	border	border
between	between	between
China	china	China
and	and	and
North	north	North
Korea	korea	Korea
,	,	,
last	last	last
erupted	erupt	erupted
in	in	in
1903	1903	1903
.	.	.
Since	sinc	Since
North	north	North
Korea	korea	Korea
began	began	began
testing	test	testing
its	it	it
nuclear	nuclear	nuclear
capabilities	capabl	capability
,	,	,
experts	expert	expert
have	have	have
debated	debat	debated
whether	whether	whether
explosions	explos	explosion
at	at	at
Punggye	punggy	Punggye
-ri	-ri	-ri
could	could	could
trigger	trigger	trigger
another	anoth	another
volcanic	volcan	volcanic
eruption	erupt	eruption
.	.	.
