Reuters	reuter	Reuters
-	-	-
A	a	A
proposal	propos	proposal
by	by	by
the	the	the
Trump	trump	Trump
administration	administr	administration
to	to	to
cut	cut	cut
190	190	190
million	million	million
in	in	in
funding	fund	funding
for	for	for
updating	updat	updating
U	u	U
.	.	.
S	s	S
.	.	.
maps	map	map
of	of	of
flood	flood	flood
-prone	-prone	-prone
areas	area	area
would	would	would
trigger	trigger	trigger
higher	higher	higher
insurance	insur	insurance
rates	rate	rate
or	or	or
more	more	more
homebuilding	homebuild	homebuilding
in	in	in
risky	riski	risky
locations	locat	location
,	,	,
a	a	a
consumer	consum	consumer
group	group	group
said	said	said
on	on	on
Monday	monday	Monday
.	.	.

Flood	flood	Flood
-mapping	-map	-mapping
provides	provid	provides
important	import	important
details	detail	detail
about	about	about
where	where	where
it	it	it
is	is	is
safe	safe	safe
to	to	to
build	build	build
,	,	,
whether	whether	whether
flood	flood	flood
insurance	insur	insurance
is	is	is
needed	need	needed
and	and	and
how	how	how
to	to	to
price	price	price
coverage	coverag	coverage
,	,	,
Robert	robert	Robert
Hunter	hunter	Hunter
,	,	,
director	director	director
of	of	of
insurance	insur	insurance
for	for	for
the	the	the
Consumer	consum	Consumer
Federation	feder	Federation
of	of	of
America	america	America
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Slashing	slash	Slashing
funding	fund	funding
for	for	for
the	the	the
National	nation	National
Flood	flood	Flood
Insurance	insur	Insurance
Program	program	Program
s	s	s
NFIP	nfip	NFIP
retooling	retool	retooling
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
flood	flood	flood
maps	map	map
will	will	will
lead	lead	lead
to	to	to
relying	reli	relying
on	on	on
old	old	old
maps	map	map
and	and	and
construction	construct	construction
in	in	in
areas	area	area
that	that	that
are	are	are
now	now	now
flood	flood	flood
prone	prone	prone
,	,	,
or	or	or
hiking	hike	hiking
insurance	insur	insurance
premiums	premium	premium
to	to	to
pay	pay	pay
for	for	for
new	new	new
maps	map	map
,	,	,
Hunter	hunter	Hunter
said	said	said
.	.	.

The	the	The
White	white	White
House	hous	House
2018	2018	2018
budget	budget	budget
,	,	,
unveiled	unveil	unveiled
last	last	last
Thursday	thursday	Thursday
,	,	,
would	would	would
eliminate	elimin	eliminate
a	a	a
190	190	190
million	million	million
discretionary	discretionari	discretionary
appropriation	appropri	appropriation
for	for	for
the	the	the
National	nation	National
Flood	flood	Flood
Insurance	insur	Insurance
Program	program	Program
s	s	s
NFIP	nfip	NFIP
updating	updat	updating
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
flood	flood	flood
maps	map	map
and	and	and
explore	explor	explore
other	other	other
more	more	more
effective	effect	effective
and	and	and
fair	fair	fair
means	mean	mean
of	of	of
funding	fund	funding
flood	flood	flood
mapping	map	mapping
efforts	effort	effort
.	.	.
Costs	cost	Costs
for	for	for
mapping	map	mapping
have	have	have
been	been	been
shared	share	shared
by	by	by
insurance	insur	insurance
policyholders	policyhold	policyholder
and	and	and
the	the	the
federal	feder	federal
government	govern	government
for	for	for
the	the	the
past	past	past
15	15	15
years	year	year
,	,	,
said	said	said
a	a	a
spokeswoman	spokeswoman	spokeswoman
for	for	for
the	the	the
Federal	feder	Federal
Emergency	emerg	Emergency
Management	manag	Management
FEMA	fema	FEMA
,	,	,
which	which	which
operates	oper	operates
the	the	the
flood	flood	flood
insurance	insur	insurance
program	program	program
.	.	.

The	the	The
president	presid	president
s	s	s
budget	budget	budget
directs	direct	directs
us	us	u
to	to	to
explore	explor	explore
avenues	avenu	avenue
to	to	to
shift	shift	shift
these	these	these
costs	cost	cost
away	away	away
from	from	from
general	general	general
appropriations	appropri	appropriation
,	,	,
the	the	the
FEMA	fema	FEMA
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.

Updating	updat	Updating
U	u	U
.	.	.
S	s	S
.	.	.
flood	flood	flood
maps	map	map
is	is	is
seen	seen	seen
by	by	by
consumer	consum	consumer
and	and	and
insurance	insur	insurance
industry	industri	industry
advocates	advoc	advocate
as	as	a
a	a	a
necessary	necessari	necessary
step	step	step
toward	toward	toward
modernizing	modern	modernizing
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
flood	flood	flood
insurance	insur	insurance
market	market	market
.	.	.

The	the	The
White	white	White
House	hous	House
2018	2018	2018
budget	budget	budget
is	is	is
the	the	the
first	first	first
step	step	step
in	in	in
a	a	a
long	long	long
process	process	process
that	that	that
will	will	will
be	be	be
debated	debat	debated
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
lawmakers	lawmak	lawmaker
.	.	.

The	the	The
NFIP	nfip	NFIP
,	,	,
whose	whose	whose
authorization	author	authorization
is	is	is
set	set	set
to	to	to
expire	expir	expire
in	in	in
September	septemb	September
,	,	,
could	could	could
face	face	face
other	other	other
sweeping	sweep	sweeping
changes	chang	change
.	.	.

The	the	The
program	program	program
is	is	is
24	24	24
.	.	.
6	6	6
billion	billion	billion
in	in	in
debt	debt	debt
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
Department	depart	Department
,	,	,
the	the	the
FEMA	fema	FEMA
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.

Insurance	insur	Insurance
industry	industri	industry
groups	group	group
are	are	are
also	also	also
concerned	concern	concerned
about	about	about
the	the	the
mapping	map	mapping
proposal	propos	proposal
.	.	.

Understandably	understand	Understandably
,	,	,
we	we	we
re	re	re
all	all	all
concerned	concern	concerned
about	about	about
the	the	the
potential	potenti	potential
to	to	to
undermine	undermin	undermine
efforts	effort	effort
to	to	to
modernize	modern	modernize
the	the	the
maps	map	map
,	,	,
said	said	said
Leigh	leigh	Leigh
Ann	ann	Ann
Pusey	pusey	Pusey
,	,	,
president	presid	president
and	and	and
chief	chief	chief
executive	execut	executive
officer	offic	officer
of	of	of
the	the	the
American	american	American
Insurance	insur	Insurance
Association	associ	Association
.	.	.

Still	still	Still
,	,	,
the	the	the
budget	budget	budget
process	process	process
is	is	is
at	at	at
an	an	an
early	earli	early
stage	stage	stage
,	,	,
Pusey	pusey	Pusey
said	said	said
.	.	.

