FORT	fort	FORT
WORTH	worth	WORTH
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
The	the	The
widow	widow	widow
of	of	of
a	a	a
slain	slain	slain
Navy	navi	Navy
SEAL	seal	SEAL
whose	whose	whose
story	stori	story
was	was	wa
turned	turn	turned
into	into	into
the	the	the
hit	hit	hit
movie	movi	movie
American	american	American
Sniper	sniper	Sniper
has	has	ha
become	becom	become
a	a	a
prominent	promin	prominent
figure	figur	figure
in	in	in
Fort	fort	Fort
Worth	worth	Worth
Republican	republican	Republican
politics	polit	politics
even	even	even
though	though	though
her	her	her
name	name	name
does	doe	doe
not	not	not
appear	appear	appear
on	on	on
Tuesday	tuesday	Tuesday
s	s	s
primary	primari	primary
ballot	ballot	ballot
.	.	.
Taya	taya	Taya
Kyle	kyle	Kyle
,	,	,
the	the	the
wife	wife	wife
of	of	of
Chris	chris	Chris
Kyle	kyle	Kyle
,	,	,
is	is	is
campaign	campaign	campaign
treasurer	treasur	treasurer
for	for	for
a	a	a
Republican	republican	Republican
opponent	oppon	opponent
of	of	of
longtime	longtim	longtime
Tarrant	tarrant	Tarrant
County	counti	County
Sheriff	sheriff	Sheriff
Dee	dee	Dee
Anderson	anderson	Anderson
,	,	,
the	the	the
lawman	lawman	lawman
seen	seen	seen
as	as	a
the	the	the
face	face	face
of	of	of
the	the	the
manhunt	manhunt	manhunt
for	for	for
affluenza	affluenza	affluenza
teen	teen	teen
Ethan	ethan	Ethan
Couch	couch	Couch
.	.	.
Kyle	kyle	Kyle
is	is	is
also	also	also
in	in	in
a	a	a
dispute	disput	dispute
with	with	with
her	her	her
late	late	late
husband	husband	husband
s	s	s
former	former	former
business	busi	business
partner	partner	partner
Bo	bo	Bo
French	french	French
,	,	,
who	who	who
is	is	is
running	run	running
as	as	a
a	a	a
Republican	republican	Republican
for	for	for
a	a	a
Texas	texa	Texas
House	hous	House
of	of	of
Representatives	repres	Representatives
seat	seat	seat
from	from	from
the	the	the
same	same	same
county	counti	county
.	.	.
Lawyers	lawyer	Lawyers
for	for	for
Kyle	kyle	Kyle
sent	sent	sent
a	a	a
cease	ceas	cease
-and-desist	-and-desist	-and-desist
letter	letter	letter
to	to	to
the	the	the
French	french	French
camp	camp	camp
last	last	last
week	week	week
calling	call	calling
on	on	on
it	it	it
to	to	to
stop	stop	stop
using	use	using
her	her	her
husband	husband	husband
s	s	s
name	name	name
and	and	and
likeness	like	likeness
in	in	in
campaign	campaign	campaign
materials	materi	material
.	.	.
Bo	bo	Bo
is	is	is
abusing	abus	abusing
the	the	the
name	name	name
of	of	of
my	my	my
late	late	late
husband	husband	husband
,	,	,
a	a	a
beloved	belov	beloved
Son	son	Son
of	of	of
Texas	texa	Texas
,	,	,
and	and	and
a	a	a
hero	hero	hero
to	to	to
the	the	the
nation	nation	nation
,	,	,
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
manipulate	manipul	manipulate
voters	voter	voter
,	,	,
Kyle	kyle	Kyle
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
social	social	social
media	media	medium
.	.	.
She	she	She
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
to	to	to
speak	speak	speak
about	about	about
her	her	her
political	polit	political
activism	activ	activism
.	.	.
Her	her	Her
experience	experi	experience
with	with	with
public	public	public
exposure	exposur	exposure
and	and	and
scrutiny	scrutini	scrutiny
has	has	ha
taught	taught	taught
her	her	her
not	not	not
to	to	to
let	let	let
her	her	her
guard	guard	guard
down	down	down
,	,	,
said	said	said
Republican	republican	Republican
political	polit	political
strategist	strategist	strategist
Bill	bill	Bill
Miller	miller	Miller
.	.	.
She	she	She
s	s	s
become	becom	become
a	a	a
very	veri	very
formidable	formid	formidable
woman	woman	woman
.	.	.
Chris	chris	Chris
and	and	and
Taya	taya	Taya
Kyle	kyle	Kyle
have	have	have
become	becom	become
stars	star	star
of	of	of
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
establishment	establish	establishment
,	,	,
with	with	with
Governor	governor	Governor
Greg	greg	Greg
Abbott	abbott	Abbott
setting	set	setting
up	up	up
a	a	a
day	day	day
to	to	to
honor	honor	honor
the	the	the
memory	memori	memory
of	of	of
Chris	chris	Chris
Kyle	kyle	Kyle
,	,	,
who	who	who
was	was	wa
killed	kill	killed
in	in	in
2013	2013	2013
by	by	by
a	a	a
troubled	troubl	troubled
veteran	veteran	veteran
he	he	he
was	was	wa
trying	tri	trying
to	to	to
mentor	mentor	mentor
.	.	.
Taya	taya	Taya
Kyle	kyle	Kyle
last	last	last
year	year	year
endorsed	endors	endorsed
former	former	former
Governor	governor	Governor
Rick	rick	Rick
Perry	perri	Perry
in	in	in
his	his	his
unsuccessful	unsuccess	unsuccessful
bid	bid	bid
for	for	for
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nomination	nomin	nomination
.	.	.
She	she	She
now	now	now
endorses	endors	endorses
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
of	of	of
Texas	texa	Texas
.	.	.
In	in	In
the	the	the
sheriff	sheriff	sheriff
s	s	s
race	race	race
,	,	,
she	she	she
may	may	may
be	be	be
the	the	the
difference	differ	difference
in	in	in
the	the	the
campaign	campaign	campaign
of	of	of
Bill	bill	Bill
Waybourn	waybourn	Waybourn
,	,	,
a	a	a
former	former	former
suburban	suburban	suburban
Fort	fort	Fort
Worth	worth	Worth
police	polic	police
chief	chief	chief
,	,	,
analysts	analyst	analyst
said	said	said
.	.	.
Waybourn	waybourn	Waybourn
,	,	,
backed	back	backed
by	by	by
the	the	the
conservative	conserv	conservative
Tea	tea	Tea
Party	parti	Party
movement	movement	movement
,	,	,
is	is	is
challenging	challeng	challenging
Anderson	anderson	Anderson
,	,	,
a	a	a
fellow	fellow	fellow
Republican	republican	Republican
,	,	,
who	who	who
gained	gain	gained
national	nation	national
attention	attent	attention
in	in	in
calling	call	calling
for	for	for
the	the	the
apprehension	apprehens	apprehension
of	of	of
Couch	couch	Couch
.	.	.
The	the	The
teen	teen	teen
,	,	,
whose	whose	whose
lawyer	lawyer	lawyer
said	said	said
his	his	his
wealth	wealth	wealth
distorted	distort	distorted
his	his	his
moral	moral	moral
compass	compass	compass
,	,	,
fled	fled	fled
to	to	to
Mexico	mexico	Mexico
in	in	in
December	decemb	December
apparently	appar	apparently
to	to	to
avoid	avoid	avoid
apprehension	apprehens	apprehension
for	for	for
violating	violat	violating
the	the	the
probation	probat	probation
deal	deal	deal
that	that	that
kept	kept	kept
him	him	him
out	out	out
of	of	of
jail	jail	jail
for	for	for
a	a	a
drunken	drunken	drunken
driving	drive	driving
wreck	wreck	wreck
in	in	in
2013	2013	2013
that	that	that
killed	kill	killed
four	four	four
people	peopl	people
.	.	.
Kyle	kyle	Kyle
,	,	,
41	41	41
,	,	,
has	has	ha
not	not	not
indicated	indic	indicated
any	ani	any
intention	intent	intention
to	to	to
seek	seek	seek
elective	elect	elective
office	offic	office
,	,	,
but	but	but
analysts	analyst	analyst
said	said	said
that	that	that
should	should	should
not	not	not
be	be	be
ruled	rule	ruled
out	out	out
.	.	.
Once	onc	Once
someone	someon	someone
gets	get	get
involved	involv	involved
and	and	and
gets	get	get
their	their	their
hands	hand	hand
wet	wet	wet
in	in	in
politics	polit	politics
,	,	,
it	it	it
s	s	s
hard	hard	hard
to	to	to
get	get	get
out	out	out
,	,	,
Miller	miller	Miller
said	said	said
.	.	.
