BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Syrian	syrian	Syrian
militias	militia	militia
will	will	will
not	not	not
let	let	let
government	govern	government
forces	forc	force
cross	cross	cross
the	the	the
Euphrates	euphrat	Euphrates
River	river	River
in	in	in
their	their	their
bid	bid	bid
to	to	to
recover	recov	recover
eastern	eastern	eastern
Syria	syria	Syria
,	,	,
their	their	their
commander	command	commander
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
but	but	but
Russia	russia	Russia
said	said	said
army	armi	army
units	unit	unit
had	had	had
already	alreadi	already
done	done	done
so	so	so
near	near	near
the	the	the
city	citi	city
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
.	.	.
An	an	An
aide	aid	aide
to	to	to
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
meanwhile	meanwhil	meanwhile
said	said	said
the	the	the
government	govern	government
would	would	would
fight	fight	fight
any	ani	any
force	forc	force
,	,	,
including	includ	including
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
,	,	,
in	in	in
efforts	effort	effort
to	to	to
recapture	recaptur	recapture
the	the	the
rest	rest	rest
of	of	of
the	the	the
country	countri	country
.	.	.
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
supported	support	supported
by	by	by
Russian	russian	Russian
air	air	air
strikes	strike	strike
and	and	and
Iran	iran	Iran
-backed	-back	-backed
militias	militia	militia
,	,	,
and	and	and
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
fighters	fighter	fighter
,	,	,
are	are	are
converging	converg	converging
on	on	on
Islamic	islam	Islamic
State	state	State
in	in	in
separate	separ	separate
offensives	offens	offensive
around	around	around
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
.	.	.
The	the	The
government	govern	government
side	side	side
has	has	ha
advanced	advanc	advanced
into	into	into
the	the	the
city	citi	city
from	from	from
the	the	the
west	west	west
.	.	.
Last	last	Last
week	week	week
,	,	,
they	they	they
broke	broke	broke
an	an	an
Islamic	islam	Islamic
State	state	State
siege	sieg	siege
of	of	of
the	the	the
provincial	provinci	provincial
capital	capit	capital
,	,	,
which	which	which
sits	sit	sits
on	on	on
the	the	the
western	western	western
bank	bank	bank
of	of	of
the	the	the
river	river	river
.	.	.
The	the	The
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
military	militari	military
council	council	council
,	,	,
fighting	fight	fighting
as	as	a
part	part	part
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
,	,	,
has	has	ha
meanwhile	meanwhil	meanwhile
advanced	advanc	advanced
toward	toward	toward
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
from	from	from
the	the	the
eastern	eastern	eastern
side	side	side
of	of	of
the	the	the
river	river	river
since	sinc	since
launching	launch	launching
an	an	an
offensive	offens	offensive
into	into	into
the	the	the
province	provinc	province
a	a	a
week	week	week
ago	ago	ago
.	.	.
Military	militari	Military
council	council	council
commander	command	commander
Ahmed	ahm	Ahmed
Abu	abu	Abu
Khawla	khawla	Khawla
warned	warn	warned
government	govern	government
forces	forc	force
and	and	and
their	their	their
militia	militia	militia
allies	alli	ally
against	against	against
firing	fire	firing
across	across	across
the	the	the
river	river	river
as	as	a
his	his	his
fighters	fighter	fighter
close	close	close
in	in	in
something	someth	something
he	he	he
said	said	said
had	had	had
happened	happen	happened
in	in	in
recent	recent	recent
days	day	day
.	.	.
Now	now	Now
we	we	we
have	have	have
3	3	3
km	km	km
between	between	between
us	us	u
and	and	and
the	the	the
eastern	eastern	eastern
riverbank	riverbank	riverbank
,	,	,
once	onc	once
our	our	our
forces	forc	force
reach	reach	reach
the	the	the
area	area	area
,	,	,
any	ani	any
shot	shot	shot
fired	fire	fired
into	into	into
that	that	that
area	area	area
we	we	we
will	will	will
consider	consid	consider
an	an	an
attack	attack	attack
on	on	on
the	the	the
military	militari	military
council	council	council
,	,	,
he	he	he
said	said	said
.	.	.
We	we	We
have	have	have
notified	notifi	notified
the	the	the
regime	regim	regime
and	and	and
Russia	russia	Russia
that	that	that
we	we	we
are	are	are
coming	come	coming
to	to	to
the	the	the
Euphrates	euphrat	Euphrates
riverbank	riverbank	riverbank
,	,	,
and	and	and
they	they	they
can	can	can
see	see	see
our	our	our
forces	forc	force
advancing	advanc	advancing
,	,	,
he	he	he
said	said	said
.	.	.
We	we	We
do	do	do
not	not	not
allow	allow	allow
the	the	the
regime	regim	regime
or	or	or
its	it	it
militias	militia	militia
to	to	to
cross	cross	cross
to	to	to
the	the	the
eastern	eastern	eastern
riverbank	riverbank	riverbank
.	.	.
But	but	But
Russian	russian	Russian
foreign	foreign	foreign
ministry	ministri	ministry
spokeswoman	spokeswoman	spokeswoman
Maria	maria	Maria
Zakharova	zakharova	Zakharova
said	said	said
the	the	the
Syrian	syrian	Syrian
army	armi	army
had	had	had
already	alreadi	already
crossed	cross	crossed
.	.	.
The	the	The
suburbs	suburb	suburb
of	of	of
this	this	this
provincial	provinci	provincial
center	center	center
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
have	have	have
been	been	been
liberated	liber	liberated
.	.	.
Advance	advanc	Advance
units	unit	unit
have	have	have
successfully	success	successfully
crossed	cross	crossed
the	the	the
Euphrates	euphrat	Euphrates
and	and	and
are	are	are
holding	hold	holding
positions	posit	position
on	on	on
its	it	it
eastern	eastern	eastern
bank	bank	bank
,	,	,
she	she	she
said	said	said
,	,	,
without	without	without
specifying	specifi	specifying
where	where	where
.	.	.
Abu	abu	Abu
Khawla	khawla	Khawla
said	said	said
this	this	this
was	was	wa
mere	mere	mere
propaganda	propaganda	propaganda
.	.	.
.	.	.
.	.	.
no	no	no
one	one	one
has	has	ha
crossed	cross	crossed
.	.	.
Assad	assad	Assad
aide	aid	aide
Bouthaina	bouthaina	Bouthaina
Shaaban	shaaban	Shaaban
later	later	later
said	said	said
the	the	the
Syrian	syrian	Syrian
government	govern	government
was	was	wa
ready	readi	ready
to	to	to
fight	fight	fight
the	the	the
SDF	sdf	SDF
.	.	.
Whether	whether	Whether
it	it	it
s	s	s
the	the	the
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
,	,	,
or	or	or
Daesh	daesh	Daesh
Islamic	islam	Islamic
State	state	State
or	or	or
any	ani	any
illegitimate	illegitim	illegitimate
foreign	foreign	foreign
force	forc	force
in	in	in
the	the	the
country	countri	country
.	.	.
.	.	.
.	.	.
we	we	we
will	will	will
fight	fight	fight
and	and	and
work	work	work
against	against	against
them	them	them
so	so	so
our	our	our
land	land	land
is	is	is
freed	freed	freed
completely	complet	completely
from	from	from
any	ani	any
aggressor	aggressor	aggressor
,	,	,
she	she	she
said	said	said
in	in	in
an	an	an
interview	interview	interview
with	with	with
Hezbollah	hezbollah	Hezbollah
s	s	s
Al	al	Al
Manar	manar	Manar
TV	tv	TV
.	.	.
I	i	I
m	m	m
not	not	not
saying	say	saying
this	this	this
will	will	will
happen	happen	happen
tomorrow	tomorrow	tomorrow
.	.	.
.	.	.
.	.	.
but	but	but
this	this	this
is	is	is
the	the	the
strategic	strateg	strategic
intent	intent	intent
,	,	,
she	she	she
said	said	said
,	,	,
dismissing	dismiss	dismissing
suggestions	suggest	suggestion
that	that	that
Washington	washington	Washington
and	and	and
Moscow	moscow	Moscow
s	s	s
military	militari	military
decisions	decis	decision
would	would	would
decide	decid	decide
Syria	syria	Syria
s	s	s
fate	fate	fate
.	.	.
The	the	The
Russian	russian	Russian
-	-	-
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
campaigns	campaign	campaign
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
Syria	syria	Syria
have	have	have
mostly	most	mostly
stayed	stay	stayed
out	out	out
of	of	of
each	each	each
other	other	other
s	s	s
way	way	way
as	as	a
the	the	the
sides	side	side
seek	seek	seek
to	to	to
avoid	avoid	avoid
conflict	conflict	conflict
,	,	,
with	with	with
the	the	the
Euphrates	euphrat	Euphrates
often	often	often
acting	act	acting
as	as	a
a	a	a
dividing	divid	dividing
line	line	line
between	between	between
the	the	the
sides	side	side
.	.	.
Talks	talk	Talks
have	have	have
been	been	been
underway	underway	underway
to	to	to
extend	extend	extend
a	a	a
formal	formal	formal
demarcation	demarc	demarcation
line	line	line
that	that	that
has	has	ha
separated	separ	separated
the	the	the
campaigns	campaign	campaign
,	,	,
officials	offici	official
have	have	have
said	said	said
.	.	.
The	the	The
SDF	sdf	SDF
accused	accus	accused
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
of	of	of
attacking	attack	attacking
its	it	it
positions	posit	position
near	near	near
the	the	the
town	town	town
of	of	of
Tabqa	tabqa	Tabqa
in	in	in
Raqqa	raqqa	Raqqa
province	provinc	province
and	and	and
the	the	the
United	unit	United
States	state	States
shot	shot	shot
down	down	down
a	a	a
Syrian	syrian	Syrian
government	govern	government
warplane	warplan	warplane
in	in	in
June	june	June
.	.	.
Abu	abu	Abu
Khawla	khawla	Khawla
said	said	said
a	a	a
civilian	civilian	civilian
administration	administr	administration
would	would	would
be	be	be
set	set	set
up	up	up
to	to	to
run	run	run
areas	area	area
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
captured	captur	captured
from	from	from
Islamic	islam	Islamic
State	state	State
by	by	by
his	his	his
fighters	fighter	fighter
,	,	,
including	includ	including
oil	oil	oil
fields	field	field
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
was	was	wa
not	not	not
fit	fit	fit
to	to	to
lead	lead	lead
and	and	and
rule	rule	rule
the	the	the
people	peopl	people
,	,	,
he	he	he
said	said	said
.	.	.
Oil	oil	Oil
-rich	-rich	-rich
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
is	is	is
Islamic	islam	Islamic
State	state	State
s	s	s
last	last	last
major	major	major
foothold	foothold	foothold
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
.	.	.
It	it	It
is	is	is
bisected	bisect	bisected
by	by	by
the	the	the
Euphrates	euphrat	Euphrates
River	river	River
and	and	and
abuts	abut	abuts
Iraq	iraq	Iraq
.	.	.
Every	everi	Every
village	villag	village
around	around	around
the	the	the
eastern	eastern	eastern
riverbank	riverbank	riverbank
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
until	until	until
the	the	the
Iraqi	iraqi	Iraqi
-Syrian	-syrian	-Syrian
border	border	border
is	is	is
a	a	a
goal	goal	goal
for	for	for
our	our	our
forces	forc	force
,	,	,
he	he	he
said	said	said
.	.	.
We	we	We
are	are	are
moving	move	moving
forcefully	forc	forcefully
and	and	and
quickly	quick	quickly
.	.	.
We	we	We
do	do	do
not	not	not
have	have	have
a	a	a
timeline	timelin	timeline
,	,	,
but	but	but
we	we	we
hope	hope	hope
soon	soon	soon
to	to	to
free	free	free
the	the	the
entire	entir	entire
eastern	eastern	eastern
bank	bank	bank
.	.	.
Reflecting	reflect	Reflecting
the	the	the
demarcation	demarc	demarcation
line	line	line
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
said	said	said
on	on	on
Thursday	thursday	Thursday
the	the	the
SDF	sdf	SDF
was	was	wa
not	not	not
planning	plan	planning
to	to	to
enter	enter	enter
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
.	.	.
But	but	But
while	while	while
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
was	was	wa
not	not	not
an	an	an
SDF	sdf	SDF
target	target	target
,	,	,
Abu	abu	Abu
Khawla	khawla	Khawla
did	did	did
not	not	not
rule	rule	rule
out	out	out
the	the	the
possibility	possibl	possibility
it	it	it
may	may	may
become	becom	become
one	one	one
,	,	,
saying	say	saying
people	peopl	people
in	in	in
the	the	the
city	citi	city
wanted	want	wanted
to	to	to
be	be	be
liberated	liber	liberated
from	from	from
the	the	the
regime	regim	regime
and	and	and
Daesh	daesh	Daesh
at	at	at
the	the	the
same	same	same
time	time	time
.	.	.
But	but	But
right	right	right
now	now	now
,	,	,
we	we	we
have	have	have
a	a	a
schedule	schedul	schedule
that	that	that
we	we	we
re	re	re
following	follow	following
which	which	which
is	is	is
the	the	the
liberation	liber	liberation
of	of	of
the	the	the
eastern	eastern	eastern
riverbanks	riverbank	riverbank
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
,	,	,
he	he	he
said	said	said
.	.	.
He	he	He
said	said	said
Islamic	islam	Islamic
State	state	State
had	had	had
shown	shown	shown
fierce	fierc	fierce
resistance	resist	resistance
when	when	when
SDF	sdf	SDF
fighters	fighter	fighter
entered	enter	entered
the	the	the
outskirts	outskirt	outskirt
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
on	on	on
the	the	the
eastern	eastern	eastern
bank	bank	bank
.	.	.
The	the	The
battles	battl	battle
are	are	are
continuous	continu	continuous
,	,	,
he	he	he
said	said	said
.	.	.
Abu	abu	Abu
Khawla	khawla	Khawla
,	,	,
who	who	who
is	is	is
in	in	in
his	his	his
early	earli	early
30s	30s	30
,	,	,
said	said	said
10	10	10
,	,	,
000	000	000
fighters	fighter	fighter
were	were	were
taking	take	taking
part	part	part
in	in	in
the	the	the
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
campaign	campaign	campaign
,	,	,
the	the	the
bulk	bulk	bulk
of	of	of
them	them	them
members	member	member
of	of	of
Arab	arab	Arab
tribes	tribe	tribe
from	from	from
eastern	eastern	eastern
Syria	syria	Syria
.	.	.
The	the	The
campaign	campaign	campaign
is	is	is
supported	support	supported
by	by	by
the	the	the
Kurdish	kurdish	Kurdish
militia	militia	militia
that	that	that
