Token	Stem	Lemma
OMAHA	omaha	OMAHA
Neb	neb	Neb
Reuters	reuter	Reuters
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
visited	visit	visited
a	a	a
young	young	young
family	famili	family
in	in	in
their	their	their
suburban	suburban	suburban
Nebraska	nebraska	Nebraska
living	live	living
room	room	room
on	on	on
Wednesday	wednesday	Wednesday
the	the	the
first	first	first
stop	stop	stop
on	on	on
what	what	what
the	the	the
White	white	White
House	hous	House
said	said	said
will	will	will
be	be	be
a	a	a
year	year	year
-long	-long	-long
tour	tour	tour
to	to	to
talk	talk	talk
before	befor	before
he	he	he
leaves	leav	leaf
office	offic	office
about	about	about
fixing	fix	fixing
the	the	the
country	countri	country
s	s	s
polarized	polar	polarized
politics	polit	politics
His	his	His
trip	trip	trip
to	to	to
Nebraska	nebraska	Nebraska
a	a	a
Republican	republican	Republican
red	red	red
state	state	state
is	is	is
meant	meant	meant
to	to	to
help	help	help
promote	promot	promote
the	the	the
big	big	big
-picture	-pictur	-picture
ideas	idea	idea
he	he	he
laid	laid	laid
out	out	out
in	in	in
his	his	his
final	final	final
State	state	State
of	of	of
the	the	the
Union	union	Union
speech	speech	speech
on	on	on
Tuesday	tuesday	Tuesday
where	where	where
he	he	he
said	said	said
he	he	he
regretted	regret	regretted
American	american	American
politics	polit	politics
had	had	had
become	becom	become
more	more	more
rancorous	rancor	rancorous
Obama	obama	Obama
spent	spent	spent
about	about	about
40	40	40
minutes	minut	minute
visiting	visit	visiting
with	with	with
Lisa	lisa	Lisa
Martin	martin	Martin
who	who	who
sent	sent	sent
him	him	him
a	a	a
letter	letter	letter
last	last	last
year	year	year
she	she	she
wrote	wrote	wrote
at	at	at
4	4	4
a	a	a
m	m	m
when	when	when
she	she	she
was	was	wa
awake	awak	awake
feeding	feed	feeding
her	her	her
son	son	son
Cooper	cooper	Cooper
In	in	In
the	the	the
letter	letter	letter
she	she	she
described	describ	described
her	her	her
overwhelming	overwhelm	overwhelming
sense	sens	sense
of	of	of
dread	dread	dread
about	about	about
climate	climat	climate
change	chang	change
Will	will	Will
he	he	he
be	be	be
able	abl	able
to	to	to
experience	experi	experience
the	the	the
small	small	small
things	thing	thing
such	such	such
as	as	a
winter	winter	winter
in	in	in
Nebraska	nebraska	Nebraska
where	where	where
he	he	he
has	has	ha
snow	snow	snow
days	day	day
and	and	and
sledding	sled	sledding
Martin	martin	Martin
wrote	wrote	wrote
in	in	in
the	the	the
letter	letter	letter
expressing	express	expressing
feelings	feel	feeling
of	of	of
powerlessness	powerless	powerlessness
Call	call	Call
it	it	it
sleep	sleep	sleep
deprivation	depriv	deprivation
or	or	or
desperation	desper	desperation
but	but	but
something	someth	something
made	made	made
me	me	me
want	want	want
to	to	to
email	email	email
the	the	the
president	presid	president
that	that	that
night	night	night
so	so	so
I	i	I
did	did	did
Martin	martin	Martin
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
Afterwards	afterward	Afterwards
Obama	obama	Obama
reprised	repris	reprised
his	his	his
address	address	address
to	to	to
a	a	a
packed	pack	packed
-to	-to	-to
-the	-the	-the
-rafters	-rafter	-rafters
crowd	crowd	crowd
of	of	of
11	11	11
000	000	000
at	at	at
a	a	a
hockey	hockey	hockey
rink	rink	rink
at	at	at
the	the	the
University	univers	University
of	of	of
Nebraska	nebraska	Nebraska
a	a	a
state	state	state
where	where	where
he	he	he
acknowledged	acknowledg	acknowledged
he	he	he
got	got	got
whupped	whup	whupped
