Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
hedge	hedg	hedge
fund	fund	fund
manager	manag	manager
Anthony	anthoni	Anthony
Scaramucci	scaramucci	Scaramucci
,	,	,
who	who	who
left	left	left
Wall	wall	Wall
Street	street	Street
to	to	to
join	join	join
the	the	the
administration	administr	administration
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
will	will	will
now	now	now
not	not	not
get	get	get
a	a	a
senior	senior	senior
role	role	role
at	at	at
the	the	the
White	white	White
House	hous	House
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
reported	report	reported
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Trump	trump	Trump
s	s	s
chief	chief	chief
of	of	of
staff	staff	staff
,	,	,
Reince	reinc	Reince
Priebus	priebus	Priebus
,	,	,
and	and	and
top	top	top
strategist	strategist	strategist
Steve	steve	Steve
Bannon	bannon	Bannon
told	told	told
Scaramucci	scaramucci	Scaramucci
that	that	that
he	he	he
would	would	would
not	not	not
get	get	get
the	the	the
job	job	job
as	as	a
liaison	liaison	liaison
to	to	to
the	the	the
business	busi	business
community	communiti	community
,	,	,
the	the	the
New	new	New
York	york	York
Times	time	Times
reported	report	reported
,	,	,
citing	cite	citing
a	a	a
senior	senior	senior
administration	administr	administration
official	offici	official
.	.	.

Scaramucci	scaramucci	Scaramucci
may	may	may
get	get	get
another	anoth	another
role	role	role
in	in	in
the	the	the
future	futur	future
,	,	,
the	the	the
NYT	nyt	NYT
said	said	said
,	,	,
adding	ad	adding
Scaramucci	scaramucci	Scaramucci
s	s	s
withdrawal	withdraw	withdrawal
has	has	ha
yet	yet	yet
to	to	to
be	be	be
declared	declar	declared
officially	offici	officially
.	.	.

The	the	The
White	white	White
House	hous	House
,	,	,
Scaramucci	scaramucci	Scaramucci
and	and	and
SkyBridge	skybridg	SkyBridge
Capital	capit	Capital
,	,	,
the	the	the
hedge	hedg	hedge
fund	fund	fund
he	he	he
founded	found	founded
,	,	,
were	were	were
not	not	not
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
.	.	.

In	in	In
January	januari	January
,	,	,
Scaramucci	scaramucci	Scaramucci
said	said	said
he	he	he
would	would	would
join	join	join
Trump	trump	Trump
s	s	s
White	white	White
House	hous	House
staff	staff	staff
as	as	a
an	an	an
adviser	advis	adviser
and	and	and
public	public	public
liaison	liaison	liaison
to	to	to
government	govern	government
agencies	agenc	agency
and	and	and
businesses	busi	business
,	,	,
swapping	swap	swapping
his	his	his
role	role	role
as	as	a
one	one	one
of	of	of
Wall	wall	Wall
Street	street	Street
s	s	s
splashiest	splashiest	splashiest
showmen	showmen	showman
for	for	for
a	a	a
much	much	much
bigger	bigger	bigger
,	,	,
more	more	more
prestigious	prestigi	prestigious
platform	platform	platform
.	.	.

The	the	The
Mooch	mooch	Mooch
,	,	,
as	as	a
he	he	he
is	is	is
referred	refer	referred
to	to	to
in	in	in
New	new	New
York	york	York
financial	financi	financial
circles	circl	circle
,	,	,
promoted	promot	promoted
Trump	trump	Trump
s	s	s
agenda	agenda	agenda
at	at	at
last	last	last
month	month	month
s	s	s
meeting	meet	meeting
of	of	of
business	busi	business
and	and	and
political	polit	political
elites	elit	elite
in	in	in
Davos	davo	Davos
,	,	,
where	where	where
he	he	he
was	was	wa
billed	bill	billed
as	as	a
an	an	an
adviser	advis	adviser
to	to	to
the	the	the
then	then	then
president	presid	president
-elect	-elect	-elect
.	.	.

But	but	But
his	his	his
role	role	role
had	had	had
yet	yet	yet
to	to	to
be	be	be
confirmed	confirm	confirmed
.	.	.

The	the	The
New	new	New
York	york	York
Times	time	Times
said	said	said
the	the	the
reason	reason	reason
behind	behind	behind
Scaramucci	scaramucci	Scaramucci
s	s	s
withdrawal	withdraw	withdrawal
was	was	wa
the	the	the
sale	sale	sale
of	of	of
his	his	his
firm	firm	firm
,	,	,
SkyBridge	skybridg	SkyBridge
Capital	capit	Capital
,	,	,
to	to	to
a	a	a
group	group	group
that	that	that
included	includ	included
a	a	a
division	divis	division
of	of	of
HNA	hna	HNA
Group	group	Group
,	,	,
a	a	a
Chinese	chines	Chinese
aviation	aviat	aviation
and	and	and
tourism	tourism	tourism
conglomerate	conglomer	conglomerate
that	that	that
announced	announc	announced
21	21	21
billion	billion	billion
in	in	in
overseas	oversea	overseas
acquisitions	acquisit	acquisition
last	last	last
year	year	year
.	.	.

Scaramucci	scaramucci	Scaramucci
had	had	had
to	to	to
sell	sell	sell
his	his	his
stake	stake	stake
in	in	in
the	the	the
firm	firm	firm
to	to	to
assume	assum	assume
a	a	a
role	role	role
in	in	in
the	the	the
White	white	White
House	hous	House
but	but	but
the	the	the
deal	deal	deal
had	had	had
not	not	not
been	been	been
completed	complet	completed
,	,	,
and	and	and
administration	administr	administration
officials	offici	official
told	told	told
the	the	the
New	new	New
York	york	York
Times	time	Times
that	that	that
the	the	the
White	white	White
House	hous	House
Counsel	counsel	Counsel
s	s	s
Office	offic	Office
had	had	had
predicted	predict	predicted
that	that	that
it	it	it
would	would	would
take	take	take
up	up	up
to	to	to
three	three	three
months	month	month
for	for	for
Scaramucci	scaramucci	Scaramucci
to	to	to
be	be	be
cleared	clear	cleared
of	of	of
potential	potenti	potential
ethics	ethic	ethic
conflicts	conflict	conflict
.	.	.

To	to	To
avoid	avoid	avoid
conflicts	conflict	conflict
of	of	of
interest	interest	interest
,	,	,
Scaramucci	scaramucci	Scaramucci
had	had	had
agreed	agre	agreed
to	to	to
recuse	recus	recuse
himself	himself	himself
from	from	from
anything	anyth	anything
to	to	to
do	do	do
with	with	with
SkyBridge	skybridg	SkyBridge
and	and	and
HNA	hna	HNA
.	.	.

Trump	trump	Trump
s	s	s
son	son	son
-in-law	-in-law	-in-law
,	,	,
Jared	jare	Jared
Kushner	kushner	Kushner
,	,	,
this	this	this
week	week	week
divested	divest	divested
his	his	his
equity	equiti	equity
interest	interest	interest
in	in	in
a	a	a
flagship	flagship	flagship
New	new	New
York	york	York
City	citi	City
building	build	building
that	that	that
is	is	is
the	the	the
subject	subject	subject
of	of	of
negotiations	negoti	negotiation
with	with	with
Chinese	chines	Chinese
insurer	insur	insurer
Anbang	anbang	Anbang
about	about	about
a	a	a
possible	possibl	possible
investment	invest	investment
.	.	.

Trump	trump	Trump
has	has	ha
tapped	tap	tapped
Kushner	kushner	Kushner
as	as	a
his	his	his
senior	senior	senior
adviser	advis	adviser
on	on	on
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

Concern	concern	Concern
about	about	about
Chinese	chines	Chinese
acquisitions	acquisit	acquisition
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
assets	asset	asset
has	has	ha
been	been	been
growing	grow	growing
in	in	in
the	the	the
United	unit	United
States	state	States
with	with	with
a	a	a
number	number	number
of	of	of
deals	deal	deal
blocked	block	blocked
or	or	or
derailed	derail	derailed
by	by	by
increased	increas	increased
scrutiny	scrutini	scrutiny
under	under	under
the	the	the
previous	previous	previous
administration	administr	administration
of	of	of
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
.	.	.

Trump	trump	Trump
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
has	has	ha
threatened	threaten	threatened
to	to	to
impose	impos	impose
punitive	punit	punitive
tariffs	tariff	tariff
on	on	on
Chinese	chines	Chinese
imports	import	import
,	,	,
accusing	accus	accusing
the	the	the
country	countri	country
of	of	of
keeping	keep	keeping
its	it	it
currency	currenc	currency
artificially	artifici	artificially
low	low	low
to	to	to
give	give	give
it	it	it
an	an	an
advantage	advantag	advantage
in	in	in
trade	trade	trade
deals	deal	deal
.	.	.

Scaramucci	scaramucci	Scaramucci
switched	switch	switched
his	his	his
loyalties	loyalti	loyalty
to	to	to
Trump	trump	Trump
after	after	after
initially	initi	initially
supporting	support	supporting
other	other	other
Republican	republican	Republican
candidates	candid	candidate
in	in	in
the	the	the
race	race	race
to	to	to
be	be	be
president	presid	president
.	.	.

Once	onc	Once
on	on	on
side	side	side
,	,	,
Scaramucci	scaramucci	Scaramucci
became	becam	became
a	a	a
dedicated	dedic	dedicated
supporter	support	supporter
,	,	,
talking	talk	talking
up	up	up
Trump	trump	Trump
s	s	s
policies	polici	policy
and	and	and
defending	defend	defending
him	him	him
from	from	from
criticism	critic	criticism
on	on	on
television	televis	television
and	and	and
Twitter	twitter	Twitter
.	.	.

A	a	A
former	former	former
Goldman	goldman	Goldman
Sachs	sach	Sachs
banker	banker	banker
with	with	with
a	a	a
down	down	down
-to-earth	-to-earth	-to-earth
charm	charm	charm
-	-	-
he	he	he
likes	like	like
to	to	to
describe	describ	describe
himself	himself	himself
as	as	a
a	a	a
five	five	five
foot	foot	foot
eight	eight	eight
Italian	italian	Italian
kid	kid	kid
from	from	from
Long	long	Long
Island	island	Island
-	-	-
Scaramucci	scaramucci	Scaramucci
has	has	ha
thrived	thrive	thrived
on	on	on
his	his	his
salesman	salesman	salesman
skills	skill	skill
.	.	.

At	at	At
Skybridge	skybridg	Skybridge
,	,	,
he	he	he
excelled	excel	excelled
at	at	at
getting	get	getting
wealthy	wealthi	wealthy
clients	client	client
into	into	into
the	the	the
hottest	hottest	hottest
funds	fund	fund
as	as	a
they	they	they
clamored	clamor	clamored
for	for	for
the	the	the
services	servic	service
of	of	of
prominent	promin	prominent
managers	manag	manager
such	such	such
as	as	a
John	john	John
Paulson	paulson	Paulson
.	.	.

He	he	He
also	also	also
launched	launch	launched
a	a	a
hedge	hedg	hedge
-fund	-fund	-fund
conference	confer	conference
in	in	in
Las	las	Las
Vegas	vega	Vegas
,	,	,
known	known	known
as	as	a
SALT	salt	SALT
,	,	,
during	dure	during
the	the	the
2008	2008	2008
recession	recess	recession
that	that	that
has	has	ha
become	becom	become
a	a	a
staple	stapl	staple
on	on	on
Wall	wall	Wall
Street	street	Street
s	s	s
calendar	calendar	calendar
of	of	of
events	event	event
.	.	.

The	the	The
conference	confer	conference
is	is	is
being	be	being
spun	spun	spun
off	off	off
as	as	a
a	a	a
separate	separ	separate
entity	entiti	entity
.	.	.

