SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.

Reuters	reuter	Reuters
-	-	-
California	california	California
would	would	would
become	becom	become
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
to	to	to
require	requir	require
farmers	farmer	farmer
to	to	to
pay	pay	pay
overtime	overtim	overtime
to	to	to
field	field	field
workers	worker	worker
and	and	and
fruit	fruit	fruit
pickers	picker	picker
under	under	under
a	a	a
bill	bill	bill
approved	approv	approved
by	by	by
the	the	the
legislature	legislatur	legislature
on	on	on
Monday	monday	Monday
and	and	and
sent	sent	sent
to	to	to
Democratic	democrat	Democratic
Governor	governor	Governor
Jerry	jerri	Jerry
Brown	brown	Brown
for	for	for
his	his	his
approval	approv	approval
.	.	.

The	the	The
bill	bill	bill
,	,	,
which	which	which
passed	pass	passed
on	on	on
a	a	a
mostly	most	mostly
party	parti	party
-line	-line	-line
vote	vote	vote
,	,	,
would	would	would
phase	phase	phase
in	in	in
overtime	overtim	overtime
pay	pay	pay
for	for	for
farmworkers	farmwork	farmworkers
from	from	from
2019	2019	2019
to	to	to
2022	2022	2022
.	.	.

Small	small	Small
farms	farm	farm
that	that	that
employ	employ	employ
25	25	25
or	or	or
fewer	fewer	fewer
workers	worker	worker
would	would	would
have	have	have
an	an	an
additional	addit	additional
three	three	three
years	year	year
to	to	to
phase	phase	phase
in	in	in
the	the	the
pay	pay	pay
.	.	.

If	if	If
signed	sign	signed
into	into	into
law	law	law
by	by	by
Brown	brown	Brown
,	,	,
California	california	California
,	,	,
the	the	the
largest	largest	largest
U	u	U
.	.	.
S	s	S
.	.	.
agricultural	agricultur	agricultural
producer	produc	producer
,	,	,
would	would	would
the	the	the
first	first	first
state	state	state
in	in	in
the	the	the
country	countri	country
to	to	to
require	requir	require
farmers	farmer	farmer
to	to	to
pay	pay	pay
overtime	overtim	overtime
to	to	to
laborers	labor	laborer
who	who	who
work	work	work
more	more	more
than	than	than
eight	eight	eight
hours	hour	hour
a	a	a
day	day	day
or	or	or
40	40	40
hours	hour	hour
a	a	a
week	week	week
.	.	.

The	the	The
governor	governor	governor
has	has	ha
not	not	not
said	said	said
if	if	if
he	he	he
will	will	will
sign	sign	sign
the	the	the
measure	measur	measure
.	.	.

The	the	The
bill	bill	bill
is	is	is
the	the	the
culmination	culmin	culmination
of	of	of
decades	decad	decade
of	of	of
lobbying	lobbi	lobbying
and	and	and
pressure	pressur	pressure
by	by	by
the	the	the
United	unit	United
Farmworkers	farmwork	Farmworkers
Union	union	Union
.	.	.

The	the	The
Democratic	democrat	Democratic
-controlled	-control	-controlled
legislature	legislatur	legislature
rejected	reject	rejected
a	a	a
version	version	version
of	of	of
the	the	the
same	same	same
bill	bill	bill
earlier	earlier	earlier
this	this	this
year	year	year
,	,	,
but	but	but
supporters	support	supporter
amended	amend	amended
it	it	it
to	to	to
phase	phase	phase
in	in	in
the	the	the
overtime	overtim	overtime
rules	rule	rule
more	more	more
slowly	slowli	slowly
.	.	.

Opponents	oppon	Opponents
said	said	said
that	that	that
requiring	requir	requiring
farmers	farmer	farmer
to	to	to
pay	pay	pay
overtime	overtim	overtime
could	could	could
damage	damag	damage
the	the	the
state	state	state
s	s	s
agricultural	agricultur	agricultural
economy	economi	economy
,	,	,
where	where	where
workers	worker	worker
toil	toil	toil
up	up	up
to	to	to
60	60	60
hours	hour	hour
a	a	a
week	week	week
during	dure	during
the	the	the
harvest	harvest	harvest
season	season	season
but	but	but
can	can	can
go	go	go
for	for	for
months	month	month
without	without	without
pay	pay	pay
other	other	other
times	time	time
of	of	of
the	the	the
year	year	year
.	.	.

They	they	They
predicted	predict	predicted
that	that	that
farmers	farmer	farmer
would	would	would
be	be	be
forced	forc	forced
to	to	to
cut	cut	cut
workers	worker	worker
hours	hour	hour
to	to	to
just	just	just
40	40	40
hours	hour	hour
a	a	a
week	week	week
to	to	to
avoid	avoid	avoid
having	have	having
to	to	to
pay	pay	pay
time	time	time
-and-a-half	-and-a-half	-and-a-half
or	or	or
double	doubl	double
-time	-time	-time
overtime	overtim	overtime
.	.	.

Supporters	support	Supporters
,	,	,
mostly	most	mostly
Democrats	democrat	Democrats
,	,	,
said	said	said
the	the	the
issue	issu	issue
was	was	wa
one	one	one
of	of	of
fairness	fair	fairness
to	to	to
farmworkers	farmwork	farmworkers
,	,	,
who	who	who
are	are	are
among	among	among
the	the	the
few	few	few
U	u	U
.	.	.
S	s	S
.	.	.
hourly	hour	hourly
workers	worker	worker
not	not	not
paid	paid	paid
overtime	overtim	overtime
.	.	.

For	for	For
me	me	me
,	,	,
it	it	it
is	is	is
a	a	a
vote	vote	vote
about	about	about
my	my	my
conscience	conscienc	conscience
,	,	,
said	said	said
Democratic	democrat	Democratic
Assemblyman	assemblyman	Assemblyman
Eduardo	eduardo	Eduardo
Garcia	garcia	Garcia
.	.	.

We	we	We
will	will	will
be	be	be
improving	improv	improving
the	the	the
lives	live	life
of	of	of
people	peopl	people
.	.	.

