SAO	sao	SAO
PAULO	paulo	PAULO
Reuters	reuter	Reuters
-	-	-
Brazil	brazil	Brazil
s	s	s
Army	armi	Army
commander	command	commander
dismissed	dismiss	dismissed
a	a	a
general	general	general
s	s	s
suggestion	suggest	suggestion
that	that	that
members	member	member
of	of	of
the	the	the
Army	armi	Army
s	s	s
High	high	High
Command	command	Command
endorse	endors	endorse
some	some	some
sort	sort	sort
of	of	of
military	militari	military
intervention	intervent	intervention
if	if	if
high	high	high
courts	court	court
fail	fail	fail
to	to	to
stem	stem	stem
political	polit	political
corruption	corrupt	corruption
,	,	,
the	the	the
online	onlin	online
services	servic	service
of	of	of
Brazil	brazil	Brazil
s	s	s
two	two	two
biggest	biggest	biggest
newspapers	newspap	newspaper
said	said	said
.	.	.
At	at	At
a	a	a
gathering	gather	gathering
of	of	of
freemasons	freemason	freemason
in	in	in
Bras	bras	Bras
lia	lia	lia
last	last	last
Friday	friday	Friday
,	,	,
General	general	General
Antonio	antonio	Antonio
Hamilton	hamilton	Hamilton
Mour	mour	Mour
o	o	o
had	had	had
suggested	suggest	suggested
his	his	his
fellows	fellow	fellow
at	at	at
the	the	the
High	high	High
Command	command	Command
think	think	think
the	the	the
current	current	current
timing	time	timing
is	is	is
not	not	not
favorable	favor	favorable
for	for	for
military	militari	military
intervention	intervent	intervention
but	but	but
that	that	that
it	it	it
could	could	could
eventually	eventu	eventually
take	take	take
place	place	place
through	through	through
successive	success	successive
steps	step	step
,	,	,
Folha	folha	Folha
de	de	de
S	s	S
.	.	.
Paulo	paulo	Paulo
said	said	said
.	.	.
Either	either	Either
institutions	institut	institution
sort	sort	sort
out	out	out
the	the	the
political	polit	political
problem	problem	problem
,	,	,
through	through	through
the	the	the
judiciary	judiciari	judiciary
branch	branch	branch
of	of	of
power	power	power
and	and	and
withdrawing	withdraw	withdrawing
from	from	from
public	public	public
life	life	life
all	all	all
those	those	those
elements	element	element
involved	involv	involved
in	in	in
illicit	illicit	illicit
acts	act	act
,	,	,
or	or	or
then	then	then
we	we	we
will	will	will
have	have	have
to	to	to
impose	impos	impose
that	that	that
,	,	,
Mour	mour	Mour
o	o	o
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
by	by	by
O	o	O
Estado	estado	Estado
de	de	de
S	s	S
.	.	.
Paulo	paulo	Paulo
newspaper	newspap	newspaper
on	on	on
Sunday	sunday	Sunday
.	.	.
Army	armi	Army
Commander	command	Commander
Eduardo	eduardo	Eduardo
Villas	villa	Villas
B	b	B
as	as	a
dismissed	dismiss	dismissed
Mour	mour	Mour
o	o	o
s	s	s
comments	comment	comment
by	by	by
saying	say	saying
there	there	there
is	is	is
no	no	no
possibility	possibl	possibility
of	of	of
a	a	a
military	militari	military
intervention	intervent	intervention
in	in	in
Brazil	brazil	Brazil
.	.	.
B	b	B
as	as	a
told	told	told
Estado	estado	Estado
that	that	that
since	sinc	since
1985	1985	1985
,	,	,
when	when	when
a	a	a
21	21	21
-year	-year	-year
military	militari	military
dictatorship	dictatorship	dictatorship
came	came	came
to	to	to
an	an	an
end	end	end
,	,	,
the	the	the
military	militari	military
was	was	wa
not	not	not
responsible	respons	responsible
for	for	for
any	ani	any
source	sourc	source
of	of	of
turmoil	turmoil	turmoil
in	in	in
the	the	the
nation	nation	nation
s	s	s
life	life	life
,	,	,
and	and	and
it	it	it
will	will	will
continue	continu	continue
to	to	to
be	be	be
like	like	like
that	that	that
.	.	.
While	while	While
Mour	mour	Mour
o	o	o
,	,	,
currently	current	currently
the	the	the
army	armi	army
s	s	s
head	head	head
of	of	of
finance	financ	finance
,	,	,
hinted	hint	hinted
that	that	that
there	there	there
could	could	could
come	come	come
a	a	a
time	time	time
when	when	when
the	the	the
army	armi	army
would	would	would
have	have	have
to	to	to
impose	impos	impose
military	militari	military
action	action	action
,	,	,
he	he	he
said	said	said
it	it	it
would	would	would
not	not	not
be	be	be
to	to	to
take	take	take
power	power	power
from	from	from
civilians	civilian	civilian
,	,	,
Folha	folha	Folha
said	said	said
.	.	.
An	an	An
action	action	action
would	would	would
aim	aim	aim
at	at	at
telling	tell	telling
people	peopl	people
,	,	,
Beware	bewar	Beware
,	,	,
let	let	let
s	s	s
