Reuters	reuter	Reuters
-	-	-
A	a	A
Michigan	michigan	Michigan
state	state	state
appeals	appeal	appeal
court	court	court
on	on	on
Tuesday	tuesday	Tuesday
ordered	order	ordered
a	a	a
halt	halt	halt
to	to	to
the	the	the
recount	recount	recount
of	of	of
that	that	that
state	state	state
s	s	s
presidential	presidenti	presidential
election	elect	election
vote	vote	vote
sought	sought	sought
by	by	by
Green	green	Green
Party	parti	Party
candidate	candid	candidate
Jill	jill	Jill
Stein	stein	Stein
,	,	,
while	while	while
a	a	a
federal	feder	federal
appeals	appeal	appeal
court	court	court
ordered	order	ordered
the	the	the
process	process	process
to	to	to
proceed	proceed	proceed
.	.	.
The	the	The
conflicting	conflict	conflicting
rulings	rule	ruling
had	had	had
both	both	both
sides	side	side
claiming	claim	claiming
victory	victori	victory
but	but	but
left	left	left
unclear	unclear	unclear
on	on	on
Tuesday	tuesday	Tuesday
evening	even	evening
where	where	where
Stein	stein	Stein
s	s	s
bid	bid	bid
to	to	to
recount	recount	recount
the	the	the
vote	vote	vote
in	in	in
Michigan	michigan	Michigan
stood	stood	stood
.	.	.
The	the	The
Green	green	Green
Party	parti	Party
candidate	candid	candidate
,	,	,
who	who	who
received	receiv	received
only	onli	only
about	about	about
1	1	1
percent	percent	percent
of	of	of
the	the	the
presidential	presidenti	presidential
vote	vote	vote
on	on	on
Nov	nov	Nov
.	.	.
8	8	8
,	,	,
sued	su	sued
in	in	in
federal	feder	federal
court	court	court
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
on	on	on
Monday	monday	Monday
to	to	to
try	tri	try
to	to	to
force	forc	force
a	a	a
statewide	statewid	statewide
recount	recount	recount
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
votes	vote	vote
there	there	there
.	.	.
Stein	stein	Stein
also	also	also
pushed	push	pushed
for	for	for
a	a	a
recount	recount	recount
that	that	that
is	is	is
under	under	under
way	way	way
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
which	which	which
with	with	with
Michigan	michigan	Michigan
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
was	was	wa
key	key	key
to	to	to
Republican	republican	Republican
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
s	s	s
victory	victori	victory
.	.	.
Today	today	Today
,	,	,
Trump	trump	Trump
and	and	and
his	his	his
GOP	gop	GOP
allies	alli	ally
in	in	in
Michigan	michigan	Michigan
tried	tri	tried
everything	everyth	everything
in	in	in
the	the	the
book	book	book
to	to	to
stop	stop	stop
the	the	the
recount	recount	recount
,	,	,
and	and	and
they	they	they
failed	fail	failed
.	.	.
This	this	This
recount	recount	recount
is	is	is
continuing	continu	continuing
in	in	in
spite	spite	spite
of	of	of
their	their	their
efforts	effort	effort
to	to	to
suppress	suppress	suppress
the	the	the
vote	vote	vote
,	,	,
said	said	said
Matthew	matthew	Matthew
Brinckerhoff	brinckerhoff	Brinckerhoff
,	,	,
a	a	a
lawyer	lawyer	lawyer
for	for	for
the	the	the
Stein	stein	Stein
campaign	campaign	campaign
.	.	.
Brinckerhoff	brinckerhoff	Brinckerhoff
was	was	wa
referring	refer	referring
to	to	to
a	a	a
ruling	rule	ruling
by	by	by
the	the	the
6th	6th	6th
U	u	U
.	.	.
S	s	S
.	.	.
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
that	that	that
the	the	the
recount	recount	recount
should	should	should
continue	continu	continue
in	in	in
Michigan	michigan	Michigan
.	.	.
The	the	The
6th	6th	6th
Circuit	circuit	Circuit
s	s	s
decision	decis	decision
came	came	came
within	within	within
hours	hour	hour
of	of	of
an	an	an
order	order	order
by	by	by
the	the	the
state	state	state
Michigan	michigan	Michigan
Court	court	Court
of	of	of
Appeals	appeal	Appeals
that	that	that
the	the	the
recount	recount	recount
be	be	be
halted	halt	halted
,	,	,
on	on	on
the	the	the
grounds	ground	ground
that	that	that
Stein	stein	Stein
was	was	wa
not	not	not
an	an	an
aggrieved	aggriev	aggrieved
candidate	candid	candidate
with	with	with
standing	stand	standing
to	to	to
demand	demand	demand
one	one	one
.	.	.
I	i	I
m	m	m
grateful	grate	grateful
,	,	,
and	and	and
I	i	I
know	know	know
Michigan	michigan	Michigan
taxpayers	taxpay	taxpayer
agree	agre	agree
,	,	,
that	that	that
the	the	the
Michigan	michigan	Michigan
Court	court	Court
of	of	of
Appeals	appeal	Appeals
has	has	ha
adhered	adher	adhered
to	to	to
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
and	and	and
clarity	clariti	clarity
in	in	in
our	our	our
Michigan	michigan	Michigan
statute	statut	statute
in	in	in
agreeing	agre	agreeing
that	that	that
Jill	jill	Jill
Stein	stein	Stein
is	is	is
not	not	not
an	an	an
aggrieved	aggriev	aggrieved
candidate	candid	candidate
and	and	and
the	the	the
recall	recal	recall
must	must	must
stop	stop	stop
,	,	,
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
attorney	attorney	attorney
general	general	general
,	,	,
Bill	bill	Bill
Schuette	schuett	Schuette
,	,	,
said	said	said
in	in	in
a	a	a
written	written	written
statement	statement	statement
.	.	.
Stein	stein	Stein
s	s	s
moves	move	move
are	are	are
unlikely	unlik	unlikely
to	to	to
change	chang	change
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
election	elect	election
but	but	but
she	she	she
has	has	ha
maintained	maintain	maintained
they	they	they
are	are	are
necessary	necessari	necessary
to	to	to
ensure	ensur	ensure
the	the	the
integrity	integr	integrity
of	of	of
voting	vote	voting
systems	system	system
.	.	.
Michigan	michigan	Michigan
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Wisconsin	wisconsin	Wisconsin
defied	defi	defied
their	their	their
recent	recent	recent
history	histori	history
of	of	of
supporting	support	supporting
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidates	candid	candidate
and	and	and
handed	hand	handed
Trump	trump	Trump
narrow	narrow	narrow
wins	win	win
that	that	that
ultimately	ultim	ultimately
gave	gave	gave
him	him	him
victory	victori	victory
over	over	over
Democratic	democrat	Democratic
rival	rival	rival
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
has	has	ha
said	said	said
it	it	it
would	would	would
take	take	take
part	part	part
in	in	in
the	the	the
recounts	recount	recount
.	.	.
