AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
Texas	texa	Texas
plans	plan	plan
to	to	to
introduce	introduc	introduce
a	a	a
measure	measur	measure
next	next	next
year	year	year
aimed	aim	aimed
at	at	at
protecting	protect	protecting
women	women	woman
in	in	in
bathrooms	bathroom	bathroom
and	and	and
locker	locker	locker
rooms	room	room
,	,	,
a	a	a
move	move	move
that	that	that
has	has	ha
raised	rais	raised
concerns	concern	concern
of	of	of
activists	activist	activist
who	who	who
say	say	say
the	the	the
legislation	legisl	legislation
is	is	is
really	realli	really
an	an	an
attempt	attempt	attempt
to	to	to
discriminate	discrimin	discriminate
against	against	against
transgender	transgend	transgender
people	peopl	people
.	.	.
The	the	The
office	offic	office
of	of	of
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
Dan	dan	Dan
Patrick	patrick	Patrick
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
a	a	a
state	state	state
senator	senat	senator
will	will	will
file	file	file
the	the	the
so	so	so
-called	-call	-called
Women	women	Women
s	s	s
Privacy	privaci	Privacy
Act	act	Act
for	for	for
consideration	consider	consideration
in	in	in
the	the	the
session	session	session
that	that	that
starts	start	start
in	in	in
January	januari	January
.	.	.
Patrick	patrick	Patrick
s	s	s
office	offic	office
did	did	did
not	not	not
have	have	have
any	ani	any
details	detail	detail
of	of	of
the	the	the
bill	bill	bill
,	,	,
but	but	but
the	the	the
Republican	republican	Republican
lieutenant	lieuten	lieutenant
governor	governor	governor
has	has	ha
been	been	been
a	a	a
supporter	support	supporter
of	of	of
only	onli	only
allowing	allow	allowing
access	access	access
to	to	to
facilities	facil	facility
such	such	such
as	as	a
bathrooms	bathroom	bathroom
based	base	based
on	on	on
gender	gender	gender
at	at	at
birth	birth	birth
rather	rather	rather
than	than	than
the	the	the
gender	gender	gender
with	with	with
which	which	which
a	a	a
person	person	person
identifies	identifi	identifies
.	.	.
North	north	North
Carolina	carolina	Carolina
in	in	in
March	march	March
became	becam	became
the	the	the
first	first	first
state	state	state
to	to	to
enact	enact	enact
a	a	a
law	law	law
that	that	that
restricts	restrict	restricts
bathroom	bathroom	bathroom
access	access	access
for	for	for
transgender	transgend	transgender
people	peopl	people
.	.	.
The	the	The
law	law	law
prompted	prompt	prompted
a	a	a
federal	feder	federal
civil	civil	civil
rights	right	right
lawsuit	lawsuit	lawsuit
and	and	and
has	has	ha
been	been	been
blamed	blame	blamed
for	for	for
hundreds	hundr	hundred
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
in	in	in
economic	econom	economic
losses	loss	loss
and	and	and
the	the	the
relocation	reloc	relocation
of	of	of
major	major	major
sporting	sport	sporting
events	event	event
from	from	from
the	the	the
state	state	state
.	.	.
Patrick	patrick	Patrick
,	,	,
one	one	one
of	of	of
the	the	the
most	most	most
powerful	power	powerful
forces	forc	force
in	in	in
the	the	the
Texas	texa	Texas
legislature	legislatur	legislature
and	and	and
a	a	a
supporter	support	supporter
of	of	of
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
,	,	,
called	call	called
the	the	the
measure	measur	measure
in	in	in
Texas	texa	Texas
one	one	one
of	of	of
his	his	his
top	top	top
priorities	prioriti	priority
.	.	.
Starting	start	Starting
in	in	in
2017	2017	2017
,	,	,
we	we	we
will	will	will
have	have	have
a	a	a
friend	friend	friend
in	in	in
the	the	the
White	white	White
House	hous	House
who	who	who
was	was	wa
clearly	clear	clearly
elected	elect	elected
because	becaus	because
the	the	the
people	peopl	people
of	of	of
this	this	this
country	countri	country
believe	believ	believe
in	in	in
the	the	the
conservative	conserv	conservative
principles	principl	principle
that	that	that
have	have	have
guided	guid	guided
the	the	the
way	way	way
we	we	we
govern	govern	govern
in	in	in
Texas	texa	Texas
,	,	,
Patrick	patrick	Patrick
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Monday	monday	Monday
.	.	.
Patrick	patrick	Patrick
has	has	ha
been	been	been
an	an	an
opponent	oppon	opponent
of	of	of
policies	polici	policy
under	under	under
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
administration	administr	administration
s	s	s
allowing	allow	allowing
transgender	transgend	transgender
students	student	student
to	to	to
use	use	use
the	the	the
bathrooms	bathroom	bathroom
of	of	of
their	their	their
choice	choic	choice
,	,	,
saying	say	saying
the	the	the
guidelines	guidelin	guideline
represented	repres	represented
federal	feder	federal
overreach	overreach	overreach
and	and	and
could	could	could
allow	allow	allow
for	for	for
sexual	sexual	sexual
predators	predat	predator
to	to	to
attack	attack	attack
women	women	woman
.	.	.
Lesbian	lesbian	Lesbian
,	,	,
gay	gay	gay
,	,	,
bisexual	bisexu	bisexual
and	and	and
transgender	transgend	transgender
advocacy	advocaci	advocacy
groups	group	group
say	say	say
the	the	the
current	current	current
White	white	White
House	hous	House
policies	polici	policy
protect	protect	protect
transgender	transgend	transgender
students	student	student
from	from	from
discrimination	discrimin	discrimination
and	and	and
dismiss	dismiss	dismiss
the	the	the
safety	safeti	safety
concerns	concern	concern
as	as	a
rubbish	rubbish	rubbish
.	.	.
It	it	It
is	is	is
a	a	a
total	total	total
misnomer	misnom	misnomer
because	becaus	because
the	the	the
legislation	legisl	legislation
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
protecting	protect	protecting
women	women	woman
s	s	s
privacy	privaci	privacy
,	,	,
said	said	said
Chuck	chuck	Chuck
Smith	smith	Smith
,	,	,
executive	execut	executive
director	director	director
of	of	of
Equality	equal	Equality
Texas	texa	Texas
,	,	,
a	a	a
leading	lead	leading
LGBT	lgbt	LGBT
civil	civil	civil
rights	right	right
group	group	group
in	in	in
the	the	the
state	state	state
.	.	.
The	the	The
purpose	purpos	purpose
of	of	of
the	the	the
legislation	legisl	legislation
is	is	is
to	to	to
allow	allow	allow
discrimination	discrimin	discrimination
against	against	against
transgender	transgend	transgender
children	children	child
and	and	and
adults	adult	adult
.	.	.
Texas	texa	Texas
business	busi	business
leaders	leader	leader
,	,	,
a	a	a
base	base	base
of	of	of
support	support	support
for	for	for
the	the	the
Republican	republican	Republican
party	parti	party
,	,	,
in	in	in
October	octob	October
warned	warn	warned
lawmakers	lawmak	lawmaker
in	in	in
the	the	the
Republican	republican	Republican
-dominated	-domin	-dominated
statehouse	statehous	statehouse
that	that	that
measures	measur	measure
targeting	target	targeting
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
would	would	would
hurt	hurt	hurt
the	the	the
state	state	state
s	s	s
1	1	1
.	.	.
8	8	8
trillion	trillion	trillion
-a-year	-a-year	-a-year
economy	economi	economy
and	and	and
make	make	make
it	it	it
difficult	difficult	difficult
for	for	for
employers	employ	employer
to	to	to
attract	attract	attract
talent	talent	talent
for	for	for
crucial	crucial	crucial
industries	industri	industry
.	.	.
