SAN	san	SAN
FRANCISCO	francisco	FRANCISCO
Reuters	reuter	Reuters
-	-	-
The	the	The
laws	law	law
that	that	that
prohibit	prohibit	prohibit
foreign	foreign	foreign
nationals	nation	national
from	from	from
spending	spend	spending
money	money	money
to	to	to
influence	influenc	influence
U	u	U
.	.	.
S	s	S
.	.	.
elections	elect	election
do	do	do
not	not	not
prevent	prevent	prevent
them	them	them
from	from	from
lawfully	law	lawfully
buying	buy	buying
some	some	some
kinds	kind	kind
of	of	of
political	polit	political
ads	ad	ad
on	on	on
Facebook	facebook	Facebook
and	and	and
other	other	other
online	onlin	online
networks	network	network
,	,	,
campaign	campaign	campaign
finance	financ	finance
lawyers	lawyer	lawyer
said	said	said
.	.	.
The	the	The
omission	omiss	omission
of	of	of
online	onlin	online
ads	ad	ad
could	could	could
be	be	be
a	a	a
potential	potenti	potential
hurdle	hurdl	hurdle
for	for	for
those	those	those
investigating	investig	investigating
alleged	alleg	alleged
Russian	russian	Russian
meddling	meddl	meddling
in	in	in
last	last	last
year	year	year
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
,	,	,
according	accord	according
to	to	to
the	the	the
campaign	campaign	campaign
finance	financ	finance
lawyers	lawyer	lawyer
,	,	,
who	who	who
are	are	are
not	not	not
involved	involv	involved
in	in	in
the	the	the
probes	probe	probe
.	.	.
Since	sinc	Since
1974	1974	1974
,	,	,
the	the	the
United	unit	United
States	state	States
has	has	ha
barred	bar	barred
foreign	foreign	foreign
nationals	nation	national
from	from	from
giving	give	giving
money	money	money
to	to	to
campaigns	campaign	campaign
and	and	and
it	it	it
later	later	later
barred	bar	barred
them	them	them
from	from	from
donating	donat	donating
to	to	to
political	polit	political
parties	parti	party
.	.	.
The	the	The
laws	law	law
also	also	also
prohibit	prohibit	prohibit
foreign	foreign	foreign
nationals	nation	national
from	from	from
coordinating	coordin	coordinating
with	with	with
a	a	a
campaign	campaign	campaign
and	and	and
from	from	from
buying	buy	buying
an	an	an
ad	ad	ad
that	that	that
explicitly	explicit	explicitly
calls	call	call
for	for	for
the	the	the
election	elect	election
or	or	or
defeat	defeat	defeat
of	of	of
a	a	a
candidate	candid	candidate
.	.	.
At	at	At
issue	issu	issue
are	are	are
laws	law	law
concerning	concern	concerning
a	a	a
category	categori	category
of	of	of
ads	ad	ad
known	known	known
as	as	a
electioneering	election	electioneering
communications	communic	communication
that	that	that
address	address	address
where	where	where
a	a	a
candidate	candid	candidate
stands	stand	stand
on	on	on
an	an	an
issue	issu	issue
,	,	,
that	that	that
spread	spread	spread
news	news	news
stories	stori	story
about	about	about
a	a	a
candidate	candid	candidate
or	or	or
that	that	that
attack	attack	attack
a	a	a
candidate	candid	candidate
without	without	without
directly	direct	directly
calling	call	calling
for	for	for
his	his	his
or	or	or
her	her	her
defeat	defeat	defeat
.	.	.
Foreign	foreign	Foreign
nationals	nation	national
cannot	cannot	cannot
spend	spend	spend
money	money	money
on	on	on
electioneering	election	electioneering
communications	communic	communication
but	but	but
the	the	the
term	term	term
under	under	under
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
applies	appli	applies
only	onli	only
to	to	to
communications	communic	communication
made	made	made
by	by	by
broadcast	broadcast	broadcast
,	,	,
cable	cabl	cable
or	or	or
satellite	satellit	satellite
-	-	-
with	with	with
no	no	no
mention	mention	mention
of	of	of
the	the	the
internet	internet	internet
.	.	.
A	a	A
related	relat	related
law	law	law
does	doe	doe
bar	bar	bar
