SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
A	a	A
North	north	North
Korean	korean	Korean
soldier	soldier	soldier
is	is	is
expected	expect	expected
to	to	to
survive	surviv	survive
critical	critic	critical
wounds	wound	wound
he	he	he
received	receiv	received
when	when	when
his	his	his
old	old	old
comrades	comrad	comrade
fired	fire	fired
a	a	a
hail	hail	hail
of	of	of
bullets	bullet	bullet
at	at	at
him	him	him
as	as	a
he	he	he
made	made	made
a	a	a
defection	defect	defection
dash	dash	dash
to	to	to
South	south	South
Korea	korea	Korea
,	,	,
the	the	the
South	south	South
s	s	s
government	govern	government
and	and	and
military	militari	military
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
soldier	soldier	soldier
had	had	had
on	on	on
Monday	monday	Monday
sped	sped	sped
toward	toward	toward
the	the	the
border	border	border
in	in	in
a	a	a
peace	peac	peace
village	villag	village
in	in	in
the	the	the
heavily	heavili	heavily
guarded	guard	guarded
demilitarized	demilitar	demilitarized
zone	zone	zone
,	,	,
in	in	in
a	a	a
four	four	four
-wheel	-wheel	-wheel
drive	drive	drive
vehicle	vehicl	vehicle
.	.	.
But	but	But
when	when	when
a	a	a
wheel	wheel	wheel
came	came	came
loose	loos	loose
,	,	,
he	he	he
fled	fled	fled
on	on	on
foot	foot	foot
as	as	a
four	four	four
North	north	North
Korean	korean	Korean
soldiers	soldier	soldier
fired	fire	fired
about	about	about
40	40	40
rounds	round	round
at	at	at
him	him	him
,	,	,
said	said	said
Suh	suh	Suh
Wook	wook	Wook
,	,	,
chief	chief	chief
director	director	director
of	of	of
operations	oper	operation
at	at	at
South	south	South
Korea	korea	Korea
s	s	s
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
,	,	,
briefing	brief	briefing
lawmakers	lawmak	lawmaker
.	.	.
Until	until	Until
this	this	this
morning	morn	morning
,	,	,
we	we	we
heard	heard	heard
he	he	he
had	had	had
no	no	no
consciousness	conscious	consciousness
and	and	and
was	was	wa
unable	unabl	unable
to	to	to
breathe	breath	breathe
on	on	on
his	his	his
own	own	own
but	but	but
his	his	his
life	life	life
can	can	can
be	be	be
saved	save	saved
,	,	,
Suh	suh	Suh
said	said	said
.	.	.
Surgeons	surgeon	Surgeons
had	had	had
removed	remov	removed
five	five	five
bullets	bullet	bullet
from	from	from
the	the	the
soldier	soldier	soldier
s	s	s
body	bodi	body
,	,	,
leaving	leav	leaving
two	two	two
inside	insid	inside
,	,	,
Suh	suh	Suh
added	ad	added
,	,	,
to	to	to
murmurs	murmur	murmur
from	from	from
lawmakers	lawmak	lawmaker
who	who	who
said	said	said
the	the	the
soldier	soldier	soldier
s	s	s
escape	escap	escape
was	was	wa
right	right	right
out	out	out
of	of	of
a	a	a
movie	movi	movie
.	.	.
The	the	The
soldier	soldier	soldier
took	took	took
cover	cover	cover
behind	behind	behind
a	a	a
South	south	South
Korean	korean	Korean
structure	structur	structure
in	in	in
a	a	a
Joint	joint	Joint
Security	secur	Security
Area	area	Area
JSA	jsa	JSA
inside	insid	inside
the	the	the
demilitarized	demilitar	demilitarized
zone	zone	zone
between	between	between
the	the	the
two	two	two
Koreas	korea	Koreas
.	.	.
South	south	South
Korean	korean	Korean
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
soldiers	soldier	soldier
,	,	,
fearing	fear	fearing
more	more	more
North	north	North
Korean	korean	Korean
fire	fire	fire
,	,	,
later	later	later
crawled	crawl	crawled
to	to	to
him	him	him
to	to	to
rescue	rescu	rescue
him	him	him
,	,	,
the	the	the
United	unit	United
Nations	nation	Nations
Command	command	Command
said	said	said
in	in	in
a	a	a
separate	separ	separate
statement	statement	statement
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
not	not	not
said	said	said
anything	anyth	anything
about	about	about
the	the	the
soldier	soldier	soldier
.	.	.
Its	it	Its
military	militari	military
had	had	had
not	not	not
given	given	given
any	ani	any
indication	indic	indication
of	of	of
unusual	unusu	unusual
movements	movement	movement
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
the	the	the
South	south	South
s	s	s
military	militari	military
said	said	said
.	.	.
While	while	While
on	on	on
average	averag	average
more	more	more
than	than	than
1	1	1
,	,	,
000	000	000
North	north	North
Koreans	korean	Koreans
defect	defect	defect
to	to	to
the	the	the
South	south	South
every	everi	every
year	year	year
,	,	,
most	most	most
travel	travel	travel
via	via	via
China	china	China
and	and	and
it	it	it
is	is	is
unusual	unusu	unusual
for	for	for
a	a	a
North	north	North
Korean	korean	Korean
to	to	to
cross	cross	cross
the	the	the
land	land	land
border	border	border
dividing	divid	dividing
the	the	the
two	two	two
Koreas	korea	Koreas
,	,	,
which	which	which
have	have	have
been	been	been
in	in	in
a	a	a
technical	technic	technical
state	state	state
of	of	of
war	war	war
since	sinc	since
their	their	their
1950	1950	1950
-53	-53	-53
conflict	conflict	conflict
ended	end	ended
in	in	in
a	a	a
truce	truce	truce
,	,	,
not	not	not
a	a	a
peace	peac	peace
treaty	treati	treaty
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Command	command	Command
,	,	,
in	in	in
place	place	place
since	sinc	since
the	the	the
end	end	end
of	of	of
the	the	the
war	war	war
,	,	,
said	said	said
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
incident	incid	incident
was	was	wa
being	be	being
conducted	conduct	conducted
.	.	.
South	south	South
Korean	korean	Korean
Defence	defenc	Defence
Minister	minist	Minister
Song	song	Song
Young	young	Young
-moo	-moo	-moo
said	said	said
it	it	it
was	was	wa
the	the	the
first	first	first
time	time	time
North	north	North
Korean	korean	Korean
soldiers	soldier	soldier
had	had	had
fired	fire	fired
toward	toward	toward
the	the	the
South	south	South
s	s	s
side	side	side
of	of	of
the	the	the
JSA	jsa	JSA
,	,	,
prompting	prompt	prompting
complaints	complaint	complaint
from	from	from
some	some	some
lawmakers	lawmak	lawmaker
that	that	that
the	the	the
South	south	South
s	s	s
military	militari	military
should	should	should
have	have	have
returned	return	returned
fire	fire	fire
.	.	.
Moon	moon	Moon
Sang	sang	Sang
-gyun	-gyun	-gyun
,	,	,
the	the	the
South	south	South
s	s	s
defense	defens	defense
ministry	ministri	ministry
spokesman	spokesman	spokesman
,	,	,
said	said	said
military	militari	military
operations	oper	operation
at	at	at
the	the	the
JSA	jsa	JSA
were	were	were
usually	usual	usually
conducted	conduct	conducted
under	under	under
the	the	the
orders	order	order
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Command	command	Command
,	,	,
which	which	which
is	is	is
in	in	in
turn	turn	turn
under	under	under
orders	order	order
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
.	.	.
The	the	The
soldier	soldier	soldier
,	,	,
who	who	who
was	was	wa
not	not	not
armed	arm	armed
,	,	,
was	was	wa
flown	flown	flown
in	in	in
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
Command	command	Command
helicopter	helicopt	helicopter
to	to	to
an	an	an
operating	oper	operating
theater	theater	theater
where	where	where
doctors	doctor	doctor
began	began	began
working	work	working
to	to	to
save	save	save
him	him	him
even	even	even
before	befor	before
he	he	he
was	was	wa
out	out	out
of	of	of
a	a	a
uniform	uniform	uniform
that	that	that
indicated	indic	indicated
he	he	he
held	held	held
a	a	a
lower	lower	lower
rank	rank	rank
,	,	,
Suh	suh	Suh
said	said	said
.	.	.
South	south	South
Korean	korean	Korean
officials	offici	official
have	have	have
yet	yet	yet
to	to	to
identify	identifi	identify
where	where	where
the	the	the
soldier	soldier	soldier
came	came	came
from	from	from
or	or	or
what	what	what
his	his	his
intentions	intent	intention
were	were	were
.	.	.
Lee	lee	Lee
Cook	cook	Cook
-jong	-jong	-jong
,	,	,
the	the	the
surgeon	surgeon	surgeon
in	in	in
charge	charg	charge
of	of	of
the	the	the
soldier	soldier	soldier
s	s	s
care	care	care
at	at	at
the	the	the
Ajou	ajou	Ajou
University	univers	University
Hospital	hospit	Hospital
,	,	,
told	told	told
reporters	report	reporter
he	he	he
was	was	wa
suffering	suffer	suffering
from	from	from
critical	critic	critical
intestinal	intestin	intestinal
damage	damag	damage
.	.	.
Hospital	hospit	Hospital
officials	offici	official
where	where	where
under	under	under
strict	strict	strict
security	secur	security
agency	agenc	agency
orders	order	order
not	not	not
to	to	to
talk	talk	talk
to	to	to
media	media	medium
and	and	and
all	all	all
updates	updat	update
on	on	on
the	the	the
soldier	soldier	soldier
had	had	had
to	to	to
be	be	be
through	through	through
the	the	the
military	militari	military
,	,	,
workers	worker	worker
there	there	there
told	told	told
Reuters	reuter	Reuters
.	.	.
Dr	dr	Dr
Lee	lee	Lee
had	had	had
been	been	been
given	given	given
a	a	a
talking	talk	talking
-to	-to	-to
after	after	after
a	a	a
brief	brief	brief
exchange	exchang	exchange
with	with	with
the	the	the
media	media	medium
,	,	,
the	the	the
hospital	hospit	hospital
workers	worker	worker
said	said	said
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
military	militari	military
armistice	armistic	armistice
commission	commiss	commission
said	said	said
it	it	it
had	had	had
informed	inform	informed
the	the	the
North	north	North
Korean	korean	Korean
military	militari	military
that	that	that
the	the	the
soldier	soldier	soldier
,	,	,
who	who	who
was	was	wa
found	found	found
about	about	about
50	50	50
meters	meter	meter
150	150	150
feet	feet	foot
south	south	south
of	of	of
a	a	a
Military	militari	Military
Demarcation	demarc	Demarcation
Line	line	Line
,	,	,
was	was	wa
undergoing	undergo	undergoing
surgery	surgeri	surgery
for	for	for
his	his	his
wounds	wound	wound
.	.	.
Suh	suh	Suh
said	said	said
the	the	the
South	south	South
had	had	had
also	also	also
informed	inform	informed
the	the	the
North	north	North
on	on	on
Monday	monday	Monday
of	of	of
the	the	the
soldier	soldier	soldier
and	and	and
his	his	his
treatment	treatment	treatment
,	,	,
via	via	via
loudspeakers	loudspeak	loudspeaker
on	on	on
the	the	the
border	border	border
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
in	in	in
the	the	the
past	past	past
complained	complain	complained
that	that	that
North	north	North
Korean	korean	Korean
defectors	defector	defector
had	had	had
been	been	been
abducted	abduct	abducted
by	by	by
South	south	South
Korea	korea	Korea
,	,	,
and	and	and
it	it	it
has	has	ha
demanded	demand	demanded
their	their	their
release	releas	release
.	.	.
This	this	This
month	month	month
,	,	,
the	the	the
North	north	North
demanded	demand	demanded
that	that	that
South	south	South
Korea	korea	Korea
return	return	return
12	12	12
waitresses	waitress	waitress
it	it	it
said	said	said
had	had	had
been	been	been
kidnapped	kidnap	kidnapped
while	while	while
working	work	working
in	in	in
China	china	China
in	in	in
2016	2016	2016
.	.	.
South	south	South
Korea	korea	Korea
said	said	said
the	the	the
12	12	12
women	women	woman
,	,	,
and	and	and
one	one	one
man	man	man
,	,	,
had	had	had
chosen	chosen	chosen
to	to	to
defect	defect	defect
to	to	to
the	the	the
South	south	South
.	.	.
Monday	monday	Monday
was	was	wa
the	the	the
first	first	first
time	time	time
since	sinc	since
2007	2007	2007
a	a	a
North	north	North
Korean	korean	Korean
soldier	soldier	soldier
had	had	had
defected	defect	defected
across	across	across
the	the	the
JSA	jsa	JSA
.	.	.
