Token	Stem	Lemma
PARIS	pari	PARIS
Reuters	reuter	Reuters
A	a	A
Saudi	saudi	Saudi
-backed	-back	-backed
Islamic	islam	Islamic
military	militari	military
coalition	coalit	coalition
will	will	will
provide	provid	provide
logistical	logist	logistical
intelligence	intellig	intelligence
and	and	and
training	train	training
to	to	to
a	a	a
new	new	new
West	west	West
African	african	African
counter	counter	counter
-terrorism	-terror	-terrorism
force	forc	force
that	that	that
is	is	is
struggling	struggl	struggling
to	to	to
get	get	get
off	off	off
the	the	the
ground	ground	ground
Saudi	saudi	Saudi
Arabia	arabia	Arabia
s	s	s
foreign	foreign	foreign
minister	minist	minister
said	said	said
The	the	The
announcement	announc	announcement
by	by	by
Adel	adel	Adel
al	al	al
-Jubeir	-jubeir	-Jubeir
signals	signal	signal
the	the	the
involvement	involv	involvement
in	in	in
the	the	the
Sahel	sahel	Sahel
of	of	of
a	a	a
Muslim	muslim	Muslim
military	militari	military
alliance	allianc	alliance
widely	wide	widely
seen	seen	seen
as	as	a
a	a	a
vehicle	vehicl	vehicle
for	for	for
countering	counter	countering
the	the	the
growing	grow	growing
influence	influenc	influence
of	of	of
Riyadh	riyadh	Riyadh
s	s	s
rival	rival	rival
Iran	iran	Iran
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
on	on	on
Wednesday	wednesday	Wednesday
agreed	agre	agreed
to	to	to
provide	provid	provide
about	about	about
150	150	150
million	million	million
to	to	to
the	the	the
G5	g5	G5
Sahel	sahel	Sahel
force	forc	force
which	which	which
is	is	is
composed	compos	composed
of	of	of
the	the	the
armies	armi	army
of	of	of
Mali	mali	Mali
Mauritania	mauritania	Mauritania
Niger	niger	Niger
Burkina	burkina	Burkina
Faso	faso	Faso
and	and	and
Chad	chad	Chad
a	a	a
sign	sign	sign
that	that	that
Gulf	gulf	Gulf
Arab	arab	Arab
states	state	state
are	are	are
upping	up	upping
their	their	their
influence	influenc	influence
in	in	in
the	the	the
region	region	region
The	the	The
Sunni	sunni	Sunni
Muslim	muslim	Muslim
kingdom	kingdom	kingdom
is	is	is
seeking	seek	seeking
to	to	to
check	check	check
the	the	the
ambitions	ambit	ambition
of	of	of
Shi	shi	Shi
ite	ite	ite
power	power	power
Iran	iran	Iran
to	to	to
expand	expand	expand
its	it	it
clout	clout	clout
in	in	in
West	west	West
Africa	africa	Africa
and	and	and
across	across	across
the	the	the
Muslim	muslim	Muslim
world	world	world
Speaking	speak	Speaking
in	in	in
an	an	an
interview	interview	interview
with	with	with
France	franc	France
24	24	24
television	televis	television
Adel	adel	Adel
al	al	al
-Jubeir	-jubeir	-Jubeir
said	said	said
his	his	his
country	countri	country
s	s	s
contribution	contribut	contribution
would	would	would
go	go	go
much	much	much
further	further	further
by	by	by
using	use	using
the	the	the
platform	platform	platform
of	of	of
the	the	the
recently	recent	recently
-established	-establish	-established
Islamic	islam	Islamic
Military	militari	Military
Counter	counter	Counter
Terrorism	terror	Terrorism
