MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
North	north	North
Korea	korea	Korea
is	is	is
preparing	prepar	preparing
to	to	to
test	test	test
a	a	a
long	long	long
-range	-rang	-range
missile	missil	missile
which	which	which
it	it	it
believes	believ	belief
can	can	can
reach	reach	reach
the	the	the
west	west	west
coast	coast	coast
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
a	a	a
Russian	russian	Russian
lawmaker	lawmak	lawmaker
just	just	just
returned	return	returned
from	from	from
a	a	a
visit	visit	visit
to	to	to
Pyongyang	pyongyang	Pyongyang
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
on	on	on
Friday	friday	Friday
.	.	.

Anton	anton	Anton
Morozov	morozov	Morozov
,	,	,
a	a	a
member	member	member
of	of	of
the	the	the
Russian	russian	Russian
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
s	s	s
international	intern	international
affairs	affair	affair
committee	committe	committee
,	,	,
and	and	and
two	two	two
other	other	other
Russian	russian	Russian
lawmakers	lawmak	lawmaker
visited	visit	visited
Pyongyang	pyongyang	Pyongyang
on	on	on
Oct	oct	Oct
.	.	.

2	2	2
-6	-6	-6
,	,	,
Russia	russia	Russia
s	s	s
RIA	ria	RIA
news	news	news
agency	agenc	agency
reported	report	reported
.	.	.

They	they	They
are	are	are
preparing	prepar	preparing
for	for	for
new	new	new
tests	test	test
of	of	of
a	a	a
long	long	long
-range	-rang	-range
missile	missil	missile
.	.	.

They	they	They
even	even	even
gave	gave	gave
us	us	u
mathematical	mathemat	mathematical
calculations	calcul	calculation
that	that	that
they	they	they
believe	believ	believe
prove	prove	prove
that	that	that
their	their	their
missile	missil	missile
can	can	can
hit	hit	hit
the	the	the
west	west	west
coast	coast	coast
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
RIA	ria	RIA
quoted	quot	quoted
Morozov	morozov	Morozov
as	as	a
saying	say	saying
.	.	.

As	as	As
far	far	far
as	as	a
we	we	we
understand	understand	understand
,	,	,
they	they	they
intend	intend	intend
to	to	to
launch	launch	launch
one	one	one
more	more	more
long	long	long
-range	-rang	-range
missile	missil	missile
in	in	in
the	the	the
near	near	near
future	futur	future
.	.	.

And	and	And
in	in	in
general	general	general
,	,	,
their	their	their
mood	mood	mood
is	is	is
rather	rather	rather
belligerent	belliger	belligerent
.	.	.

Tensions	tension	Tensions
have	have	have
risen	risen	risen
in	in	in
recent	recent	recent
weeks	week	week
over	over	over
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
missile	missil	missile
programs	program	program
as	as	a
Pyongyang	pyongyang	Pyongyang
has	has	ha
test	test	test
-fired	-fire	-fired
several	sever	several
missiles	missil	missile
and	and	and
conducted	conduct	conducted
what	what	what
it	it	it
said	said	said
was	was	wa
a	a	a
test	test	test
explosion	explos	explosion
of	of	of
a	a	a
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
as	as	a
it	it	it
advances	advanc	advance
toward	toward	toward
its	it	it
goal	goal	goal
of	of	of
developing	develop	developing
a	a	a
nuclear	nuclear	nuclear
-tipped	-tip	-tipped
missile	missil	missile
capable	capabl	capable
of	of	of
hitting	hit	hitting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
.	.	.

Morozov	morozov	Morozov
s	s	s
comments	comment	comment
drove	drove	drove
up	up	up
the	the	the
price	price	price
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
bonds	bond	bond
,	,	,
as	as	a
investors	investor	investor
,	,	,
worried	worri	worried
about	about	about
the	the	the
prospect	prospect	prospect
of	of	of
new	new	new
North	north	North
Korean	korean	Korean
missile	missil	missile
tests	test	test
,	,	,
moved	move	moved
into	into	into
assets	asset	asset
the	the	the
market	market	market
views	view	view
as	as	a
a	a	a
safe	safe	safe
haven	haven	haven
in	in	in
times	time	time
of	of	of
uncertainty	uncertainti	uncertainty
.	.	.

Reuters	reuter	Reuters
was	was	wa
not	not	not
able	abl	able
to	to	to
independently	independ	independently
verify	verifi	verify
Morozov	morozov	Morozov
s	s	s
account	account	account
,	,	,
and	and	and
he	he	he
did	did	did
not	not	not
specify	specifi	specify
which	which	which
North	north	North
Korean	korean	Korean
officials	offici	official
had	had	had
given	given	given
him	him	him
the	the	the
information	inform	information
about	about	about
the	the	the
planned	plan	planned
test	test	test
.	.	.

In	in	In
Washington	washington	Washington
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
official	offici	official
said	said	said
that	that	that
there	there	there
had	had	had
been	been	been
indications	indic	indication
that	that	that
North	north	North
Korea	korea	Korea
could	could	could
be	be	be
preparing	prepar	preparing
for	for	for
a	a	a
missile	missil	missile
test	test	test
on	on	on
or	or	or
around	around	around
Oct	oct	Oct
.	.	.

10	10	10
,	,	,
the	the	the
anniversary	anniversari	anniversary
of	of	of
the	the	the
founding	found	founding
of	of	of
the	the	the
ruling	rule	ruling
Korean	korean	Korean
Workers	worker	Workers
Party	parti	Party
and	and	and
a	a	a
day	day	day
after	after	after
the	the	the
Columbus	columbus	Columbus
Day	day	Day
holiday	holiday	holiday
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

The	the	The
official	offici	official
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
,	,	,
did	did	did
not	not	not
disclose	disclos	disclose
the	the	the
type	type	type
of	of	of
missile	missil	missile
that	that	that
could	could	could
be	be	be
tested	test	tested
and	and	and
cautioned	caution	cautioned
that	that	that
North	north	North
Korea	korea	Korea
in	in	in
the	the	the
past	past	past
has	has	ha
not	not	not
staged	stage	staged
launches	launch	launch
despite	despit	despite
indications	indic	indication
that	that	that
it	it	it
would	would	would
.	.	.

A	a	A
senior	senior	senior
CIA	cia	CIA
analyst	analyst	analyst
,	,	,
speaking	speak	speaking
at	at	at
a	a	a
conference	confer	conference
in	in	in
Washington	washington	Washington
this	this	this
week	week	week
,	,	,
said	said	said
the	the	the
North	north	North
Korean	korean	Korean
government	govern	government
likely	like	likely
would	would	would
stage	stage	stage
some	some	some
kind	kind	kind
of	of	of
provocation	provoc	provocation
on	on	on
Oct	oct	Oct
.	.	.

10	10	10
but	but	but
did	did	did
not	not	not
elaborate	elabor	elaborate
on	on	on
what	what	what
form	form	form
it	it	it
might	might	might
take	take	take
.	.	.

There	there	There
is	is	is
a	a	a
clarity	clariti	clarity
of	of	of
purpose	purpos	purpose
in	in	in
what	what	what
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
is	is	is
doing	do	doing
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
he	he	he
s	s	s
done	done	done
,	,	,
said	said	said
Yong	yong	Yong
Suk	suk	Suk
Lee	lee	Lee
,	,	,
the	the	the
deputy	deputi	deputy
assistant	assist	assistant
director	director	director
of	of	of
the	the	the
CIA	cia	CIA
s	s	s
Korea	korea	Korea
Mission	mission	Mission
Center	center	Center
,	,	,
which	which	which
was	was	wa
set	set	set
up	up	up
this	this	this
year	year	year
.	.	.

In	in	In
fact	fact	fact
,	,	,
I	i	I
told	told	told
my	my	my
own	own	own
staff	staff	staff
that	that	that
October	octob	October
10th	10th	10th
is	is	is
the	the	the
Korean	korean	Korean
Workers	worker	Workers
Party	parti	Party
founding	found	founding
day	day	day
.	.	.

That	that	That
s	s	s
Tuesday	tuesday	Tuesday
in	in	in
North	north	North
Korea	korea	Korea
,	,	,
but	but	but
Monday	monday	Monday
the	the	the
Columbus	columbus	Columbus
Day	day	Day
holiday	holiday	holiday
-	-	-
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

So	so	So
stand	stand	stand
by	by	by
your	your	your
phones	phone	phone
.	.	.

Morozov	morozov	Morozov
s	s	s
delegation	deleg	delegation
had	had	had
high	high	high
-level	-level	-level
meetings	meet	meeting
in	in	in
Pyongyang	pyongyang	Pyongyang
,	,	,
RIA	ria	RIA
news	news	news
agency	agenc	agency
said	said	said
,	,	,
citing	cite	citing
the	the	the
Russian	russian	Russian
embassy	embassi	embassy
in	in	in
the	the	the
North	north	North
Korean	korean	Korean
capital	capit	capital
.	.	.

Tensions	tension	Tensions
over	over	over
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
program	program	program
have	have	have
been	been	been
running	run	running
high	high	high
in	in	in
recent	recent	recent
weeks	week	week
since	sinc	since
Pyongyang	pyongyang	Pyongyang
staged	stage	staged
a	a	a
series	seri	series
of	of	of
missile	missil	missile
tests	test	test
,	,	,
and	and	and
conducted	conduct	conducted
a	a	a
text	text	text
explosion	explos	explosion
on	on	on
Sept	sept	Sept
.	.	.

3	3	3
of	of	of
what	what	what
it	it	it
said	said	said
was	was	wa
a	a	a
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
.	.	.

There	there	There
has	has	ha
also	also	also
been	been	been
an	an	an
exchange	exchang	exchange
of	of	of
tough	tough	tough
rhetoric	rhetor	rhetoric
between	between	between
Pyongyang	pyongyang	Pyongyang
and	and	and
Washington	washington	Washington
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
threatened	threaten	threatened
to	to	to
totally	total	totally
destroy	destroy	destroy
North	north	North
Korea	korea	Korea
if	if	if
it	it	it
threatens	threaten	threatens
the	the	the
United	unit	United
States	state	States
.	.	.

North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
responded	respond	responded
by	by	by
calling	call	calling
Trump	trump	Trump
deranged	derang	deranged
and	and	and
saying	say	saying
he	he	he
would	would	would
pay	pay	pay
dearly	dear	dearly
for	for	for
his	his	his
threat	threat	threat
.	.	.

China	china	China
,	,	,
North	north	North
Korea	korea	Korea
s	s	s
main	main	main
ally	alli	ally
,	,	,
has	has	ha
backed	back	backed
sanctions	sanction	sanction
against	against	against
Pyongyang	pyongyang	Pyongyang
and	and	and
on	on	on
Saturday	saturday	Saturday
in	in	in
response	respons	response
to	to	to
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
being	be	being
awarded	award	awarded
to	to	to
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
,	,	,
said	said	said
it	it	it
backed	back	backed
a	a	a
worldwide	worldwid	worldwide
ban	ban	ban
on	on	on
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

China	china	China
has	has	ha
always	alway	always
supported	support	supported
a	a	a
complete	complet	complete
and	and	and
total	total	total
ban	ban	ban
on	on	on
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
but	but	but
also	also	also
believes	believ	belief
that	that	that
the	the	the
goal	goal	goal
of	of	of
achieving	achiev	achieving
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
cannot	cannot	cannot
be	be	be
achieved	achiev	achieved
overnight	overnight	overnight
and	and	and
must	must	must
advance	advanc	advance
gradually	gradual	gradually
within	within	within
the	the	the
existing	exist	existing
disarmament	disarma	disarmament
mechanism	mechan	mechanism
.	.	.

China	china	China
is	is	is
willing	will	willing
to	to	to
work	work	work
with	with	with
all	all	all
parties	parti	party
to	to	to
achieve	achiev	achieve
a	a	a
nuclear	nuclear	nuclear
-weapon-free	-weapon-fre	-weapon-free
world	world	world
,	,	,
said	said	said
China	china	China
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
.	.	.

Morozov	morozov	Morozov
is	is	is
a	a	a
member	member	member
of	of	of
the	the	the
LDPR	ldpr	LDPR
,	,	,
a	a	a
right	right	right
-wing	-wing	-wing
populist	populist	populist
party	parti	party
.	.	.

It	it	It
casts	cast	cast
itself	itself	itself
as	as	a
an	an	an
opposition	opposit	opposition
party	parti	party
,	,	,
but	but	but
hews	hew	hews
close	close	close
to	to	to
the	the	the
Kremlin	kremlin	Kremlin
line	line	line
on	on	on
matters	matter	matter
of	of	of
international	intern	international
affairs	affair	affair
.	.	.

Describing	describ	Describing
meetings	meet	meeting
with	with	with
North	north	North
Korean	korean	Korean
officials	offici	official
,	,	,
Morozov	morozov	Morozov
said	said	said
they	they	they
displayed	display	displayed
serious	serious	serious
determination	determin	determination
and	and	and
bellicose	bellicos	bellicose
rhetoric	rhetor	rhetoric
,	,	,
RIA	ria	RIA
reported	report	reported
.	.	.

The	the	The
situation	situat	situation
,	,	,
of	of	of
course	cours	course
,	,	,
demands	demand	demand
the	the	the
swiftest	swiftest	swiftest
intervention	intervent	intervention
of	of	of
all	all	all
interested	interest	interested
states	state	state
,	,	,
particularly	particular	particularly
those	those	those
represented	repres	represented
in	in	in
the	the	the
region	region	region
,	,	,
in	in	in
order	order	order
to	to	to
prevent	prevent	prevent
wide	wide	wide
-scale	-scale	-scale
military	militari	military
action	action	action
,	,	,
the	the	the
agency	agenc	agency
quoted	quot	quoted
him	him	him
as	as	a
saying	say	saying
.	.	.

Russia	russia	Russia
has	has	ha
closer	closer	closer
relations	relat	relation
with	with	with
Pyongyang	pyongyang	Pyongyang
than	than	than
many	mani	many
other	other	other
world	world	world
powers	power	power
,	,	,
linked	link	linked
in	in	in
part	part	part
to	to	to
Kim	kim	Kim
Il	il	Il
Sung	sung	Sung
,	,	,
the	the	the
founder	founder	founder
of	of	of
North	north	North
Korea	korea	Korea
and	and	and
the	the	the
current	current	current
leader	leader	leader
s	s	s
grand	grand	grand
-father	-father	-father
,	,	,
having	have	having
lived	live	lived
for	for	for
a	a	a
time	time	time
in	in	in
the	the	the
Soviet	soviet	Soviet
Union	union	Union
.	.	.

Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
has	has	ha
joined	join	joined
other	other	other
world	world	world
powers	power	power
in	in	in
condemning	condemn	condemning
North	north	North
Korea	korea	Korea
s	s	s
weapons	weapon	weapon
program	program	program
,	,	,
