BEIRUT	beirut	BEIRUT
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Iran	iran	Iran
and	and	and
the	the	the
United	unit	United
States	state	States
traded	trade	traded
barbs	barb	barb
over	over	over
the	the	the
landmark	landmark	landmark
2015	2015	2015
nuclear	nuclear	nuclear
deal	deal	deal
on	on	on
Thursday	thursday	Thursday
,	,	,
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
leader	leader	leader
accusing	accus	accusing
Tehran	tehran	Tehran
of	of	of
not	not	not
living	live	living
up	up	up
to	to	to
the	the	the
spirit	spirit	spirit
of	of	of
the	the	the
accord	accord	accord
and	and	and
Iran	iran	Iran
s	s	s
top	top	top
diplomat	diplomat	diplomat
urging	urg	urging
Washington	washington	Washington
to	to	to
fulfill	fulfil	fulfill
its	it	it
own	own	own
commitments	commit	commitment
.	.	.

The	the	The
exchange	exchang	exchange
came	came	came
a	a	a
day	day	day
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
Congress	congress	Congress
saying	say	saying
Iran	iran	Iran
was	was	wa
in	in	in
compliance	complianc	compliance
with	with	with
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
but	but	but
raising	rais	raising
questions	question	question
about	about	about
Tehran	tehran	Tehran
s	s	s
role	role	role
in	in	in
sponsoring	sponsor	sponsoring
terrorism	terror	terrorism
in	in	in
the	the	the
region	region	region
.	.	.

Tillerson	tillerson	Tillerson
accused	accus	accused
Iran	iran	Iran
of	of	of
alarming	alarm	alarming
ongoing	ongo	ongoing
provocations	provoc	provocation
to	to	to
destabilize	destabil	destabilize
countries	countri	country
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
said	said	said
the	the	the
Trump	trump	Trump
administration	administr	administration
had	had	had
launched	launch	launched
a	a	a
review	review	review
of	of	of
its	it	it
policy	polici	policy
toward	toward	toward
Tehran	tehran	Tehran
that	that	that
will	will	will
include	includ	include
the	the	the
2015	2015	2015
nuclear	nuclear	nuclear
deal	deal	deal
.	.	.

In	in	In
the	the	the
first	first	first
reaction	reaction	reaction
to	to	to
Tillerson	tillerson	Tillerson
s	s	s
remarks	remark	remark
from	from	from
a	a	a
senior	senior	senior
Iranian	iranian	Iranian
official	offici	official
,	,	,
Iranian	iranian	Iranian
Foreign	foreign	Foreign
Minister	minist	Minister
Mohammad	mohammad	Mohammad
Javad	javad	Javad
Zarif	zarif	Zarif
,	,	,
who	who	who
tweeted	tweet	tweeted
that	that	that
the	the	the
United	unit	United
States	state	States
should	should	should
fulfill	fulfil	fulfill
its	it	it
own	own	own
commitments	commit	commitment
.	.	.
Asked	ask	Asked
at	at	at
a	a	a
news	news	news
conference	confer	conference
in	in	in
Washington	washington	Washington
whether	whether	whether
he	he	he
thought	thought	thought
Iran	iran	Iran
was	was	wa
abiding	abid	abiding
by	by	by
the	the	the
nuclear	nuclear	nuclear
agreement	agreement	agreement
,	,	,
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
criticized	critic	criticized
the	the	the
