AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
The	the	The
heavily	heavili	heavily
Hispanic	hispan	Hispanic
Texas	texa	Texas
border	border	border
county	counti	county
of	of	of
El	el	El
Paso	paso	Paso
filed	file	filed
suit	suit	suit
in	in	in
federal	feder	federal
court	court	court
on	on	on
Monday	monday	Monday
to	to	to
halt	halt	halt
a	a	a
new	new	new
law	law	law
backed	back	backed
by	by	by
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
leaders	leader	leader
to	to	to
punish	punish	punish
sanctuary	sanctuari	sanctuary
cities	citi	city
,	,	,
saying	say	saying
the	the	the
measure	measur	measure
was	was	wa
vague	vagu	vague
,	,	,
cruel	cruel	cruel
and	and	and
unconstitutional	unconstitut	unconstitutional
.	.	.
The	the	The
law	law	law
in	in	in
Texas	texa	Texas
,	,	,
which	which	which
has	has	ha
the	the	the
longest	longest	longest
border	border	border
with	with	with
Mexico	mexico	Mexico
of	of	of
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
,	,	,
takes	take	take
effect	effect	effect
on	on	on
Sept	sept	Sept
.	.	.
1	1	1
and	and	and
calls	call	call
for	for	for
jail	jail	jail
time	time	time
for	for	for
police	polic	police
chiefs	chief	chief
and	and	and
sheriffs	sheriff	sheriff
who	who	who
fail	fail	fail
to	to	to
cooperate	cooper	cooperate
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
immigration	immigr	immigration
enforcement	enforc	enforcement
.	.	.
The	the	The
suit	suit	suit
filed	file	filed
in	in	in
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
district	district	district
court	court	court
in	in	in
San	san	San
Antonio	antonio	Antonio
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
county	counti	county
and	and	and
its	it	it
sheriff	sheriff	sheriff
names	name	name
Republican	republican	Republican
Governor	governor	Governor
Greg	greg	Greg
Abbott	abbott	Abbott
and	and	and
others	other	others
as	as	a
defendants	defend	defendant
.	.	.
It	it	It
said	said	said
the	the	the
law	law	law
would	would	would
invite	invit	invite
unlawful	unlaw	unlawful
racial	racial	racial
profiling	profil	profiling
in	in	in
the	the	the
county	counti	county
of	of	of
about	about	about
800	800	800
,	,	,
000	000	000
people	peopl	people
where	where	where
more	more	more
than	than	than
80	80	80
percent	percent	percent
of	of	of
the	the	the
population	popul	population
is	is	is
of	of	of
Hispanic	hispan	Hispanic
heritage	heritag	heritage
.	.	.
History	histori	History
and	and	and
logic	logic	logic
supports	support	support
that	that	that
all	all	all
Texans	texan	Texans
will	will	will
not	not	not
be	be	be
equally	equal	equally
subject	subject	subject
to	to	to
this	this	this
harassment	harass	harassment
,	,	,
the	the	the
lawsuit	lawsuit	lawsuit
said	said	said
.	.	.
Abbott	abbott	Abbott
has	has	ha
said	said	said
the	the	the
law	law	law
known	known	known
as	as	a
Senate	senat	Senate
Bill	bill	Bill
4	4	4
will	will	will
keep	keep	keep
criminals	crimin	criminal
off	off	off
of	of	of
the	the	the
streets	street	street
.	.	.
Republican	republican	Republican
backers	backer	backer
said	said	said
there	there	there
were	were	were
no	no	no
major	major	major
sanctuary	sanctuari	sanctuary
cities	citi	city
in	in	in
Texas	texa	Texas
and	and	and
the	the	the
law	law	law
would	would	would
prevent	prevent	prevent
any	ani	any
from	from	from
adopting	adopt	adopting
such	such	such
practices	practic	practice
.	.	.
It	it	It
was	was	wa
the	the	the
first	first	first
such	such	such
legislation	legisl	legislation
approved	approv	approved
by	by	by
a	a	a
state	state	state
since	sinc	since
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
called	call	called
for	for	for
a	a	a
crackdown	crackdown	crackdown
on	on	on
illegal	illeg	illegal
immigration	immigr	immigration
,	,	,
became	becam	became
president	presid	president
in	in	in
January	januari	January
.	.	.
The	the	The
Texas	texa	Texas
law	law	law
allows	allow	allows
police	polic	police
to	to	to
ask	ask	ask
people	peopl	people
about	about	about
their	their	their
immigration	immigr	immigration
status	status	status
during	dure	during
a	a	a
lawful	law	lawful
detention	detent	detention
.	.	.
Supporters	support	Supporters
have	have	have
said	said	said
immigrants	immigr	immigrant
who	who	who
do	do	do
not	not	not
break	break	break
the	the	the
law	law	law
have	have	have
nothing	noth	nothing
to	to	to
fear	fear	fear
,	,	,
while	while	while
critics	critic	critic
contend	contend	contend
it	it	it
allows	allow	allows
police	polic	police
to	to	to
detain	detain	detain
people	peopl	people
for	for	for
up	up	up
to	to	to
48	48	48
hours	hour	hour
for	for	for
immigration	immigr	immigration
checks	check	check
,	,	,
even	even	even
for	for	for
minor	minor	minor
infractions	infract	infraction
such	such	such
as	as	a
jaywalking	jaywalk	jaywalking
.	.	.
Earlier	earlier	Earlier
in	in	in
May	may	May
,	,	,
the	the	the
small	small	small
Texas	texa	Texas
border	border	border
town	town	town
of	of	of
El	el	El
Cenizo	cenizo	Cenizo
,	,	,
filed	file	filed
suit	suit	suit
against	against	against
the	the	the
Texas	texa	Texas
law	law	law
in	in	in
federal	feder	federal
court	court	court
,	,	,
and	and	and
many	mani	many
major	major	major
Texas	texa	Texas
cities	citi	city
and	and	and
counties	counti	county
have	have	have
said	said	said
they	they	they
also	also	also
intend	intend	intend
to	to	to
sue	sue	sue
to	to	to
halt	halt	halt
its	it	it
implementation	implement	implementation
.	.	.
The	the	The
Texas	texa	Texas
law	law	law
has	has	ha
also	also	also
faced	face	faced
criticism	critic	criticism
from	from	from
the	the	the
police	polic	police
chiefs	chief	chief
of	of	of
the	the	the
state	state	state
s	s	s
largest	largest	largest
cities	citi	city
,	,	,
who	who	who
said	said	said
it	it	it
would	would	would
divert	divert	divert
resources	resourc	resource
from	from	from
fighting	fight	fighting
crime	crime	crime
to	to	to
immigration	immigr	immigration
law	law	law
enforcement	enforc	enforcement
.	.	.
They	they	They
added	ad	added
it	it	it
would	would	would
widen	widen	widen
a	a	a
gap	gap	gap
between	between	between
police	polic	police
and	and	and
immigrant	immigr	immigrant
communities	communiti	community
and	and	and
eliminate	elimin	eliminate
the	the	the
potential	potenti	potential
for	for	for
assistance	assist	assistance
from	from	from
immigrants	immigr	immigrant
in	in	in
solving	solv	solving
or	or	or
preventing	prevent	preventing
crimes	crime	crime
.	.	.
In	in	In
a	a	a
newspaper	newspap	newspaper
editorial	editori	editorial
last	last	last
week	week	week
,	,	,
Abbott	abbott	Abbott
along	along	along
with	with	with
the	the	the
sheriff	sheriff	sheriff
of	of	of
Hidalgo	hidalgo	Hidalgo
County	counti	County
,	,	,
a	a	a
border	border	border
county	counti	county
with	with	with
about	about	about
the	the	the
same	same	same
population	popul	population
as	as	a
El	el	El
Paso	paso	Paso
,	,	,
said	said	said
SB	sb	SB
4	4	4
specifically	specif	specifically
prohibited	prohibit	prohibited
racial	racial	racial
profiling	profil	profiling
and	and	and
discrimination	discrimin	discrimination
.	.	.
