BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
Major	major	Major
issues	issu	issue
must	must	must
still	still	still
be	be	be
resolved	resolv	resolved
on	on	on
safeguarding	safeguard	safeguarding
citizens	citizen	citizen
rights	right	right
after	after	after
Brexit	brexit	Brexit
,	,	,
the	the	the
European	european	European
Parliament	parliament	Parliament
s	s	s
negotiator	negoti	negotiator
Guy	guy	Guy
Verhofstadt	verhofstadt	Verhofstadt
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
eve	eve	eve
of	of	of
another	anoth	another
round	round	round
of	of	of
divorce	divorc	divorce
negotiations	negoti	negotiation
between	between	between
London	london	London
and	and	and
Brussels	brussel	Brussels
.	.	.
The	the	The
talks	talk	talk
have	have	have
been	been	been
grinding	grind	grinding
slowly	slowli	slowly
and	and	and
Verhofstadt	verhofstadt	Verhofstadt
said	said	said
that	that	that
London	london	London
s	s	s
assurances	assur	assurance
on	on	on
the	the	the
status	status	status
of	of	of
EU	eu	EU
citizens	citizen	citizen
living	live	living
in	in	in
Britain	britain	Britain
were	were	were
not	not	not
good	good	good
enough	enough	enough
.	.	.
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
has	has	ha
said	said	said
the	the	the
two	two	two
sides	side	side
were	were	were
in	in	in
touching	touch	touching
distance	distanc	distance
of	of	of
a	a	a
deal	deal	deal
and	and	and
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
the	the	the
British	british	British
government	govern	government
expected	expect	expected
most	most	most
EU	eu	EU
citizens	citizen	citizen
currently	current	currently
living	live	living
in	in	in
Britain	britain	Britain
would	would	would
be	be	be
allowed	allow	allowed
to	to	to
stay	stay	stay
after	after	after
Brexit	brexit	Brexit
in	in	in
2019	2019	2019
.	.	.
We	we	We
don	don	don
t	t	t
recognize	recogn	recognize
reports	report	report
suggesting	suggest	suggesting
that	that	that
a	a	a
deal	deal	deal
on	on	on
citizens	citizen	citizen
rights	right	right
is	is	is
almost	almost	almost
finalised	finalis	finalised
.	.	.
There	there	There
are	are	are
still	still	still
major	major	major
issues	issu	issue
that	that	that
have	have	have
to	to	to
be	be	be
resolved	resolv	resolved
,	,	,
Verhofstadt	verhofstadt	Verhofstadt
said	said	said
.	.	.
He	he	He
said	said	said
one	one	one
of	of	of
his	his	his
concerns	concern	concern
was	was	wa
that	that	that
Britain	britain	Britain
should	should	should
grant	grant	grant
a	a	a
settled	settl	settled
status	status	status
to	to	to
EU	eu	EU
citizens	citizen	citizen
based	base	based
on	on	on
a	a	a
free	free	free
-of-charge	-of-charg	-of-charge
declaration	declar	declaration
while	while	while
London	london	London
s	s	s
latest	latest	latest
proposal	propos	proposal
envisaged	envisag	envisaged
a	a	a
conditional	condit	conditional
application	applic	application
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
British	british	British
government	govern	government
said	said	said
the	the	the
UK	uk	UK
has	has	ha
made	made	made
a	a	a
fair	fair	fair
and	and	and
serious	serious	serious
offer	offer	offer
on	on	on
citizens	citizen	citizen
rights	right	right
and	and	and
real	real	real
progress	progress	progress
was	was	wa
made	made	made
in	in	in
the	the	the
latest	latest	latest
round	round	round
of	of	of
negotiations	negoti	negotiation
.	.	.
Safeguarding	safeguard	Safeguarding
the	the	the
rights	right	right
of	of	of
EU	eu	EU
citizens	citizen	citizen
living	live	living
in	in	in
the	the	the
UK	uk	UK
,	,	,
and	and	and
UK	uk	UK
nationals	nation	national
in	in	in
the	the	the
EU	eu	EU
,	,	,
is	is	is
our	our	our
first	first	first
priority	prioriti	priority
in	in	in
the	the	the
negotiations	negoti	negotiation
,	,	,
the	the	the
spokesman	spokesman	spokesman
said	said	said
.	.	.
We	we	We
want	want	want
to	to	to
provide	provid	provide
as	as	a
much	much	much
certainty	certainti	certainty
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
to	to	to
the	the	the
many	mani	many
EU	eu	EU
citizens	citizen	citizen
who	who	who
have	have	have
made	made	made
their	their	their
lives	live	life
in	in	in
the	the	the
UK	uk	UK
and	and	and
who	who	who
make	make	make
a	a	a
huge	huge	huge
contribution	contribut	contribution
to	to	to
our	our	our
country	countri	country
.	.	.
London	london	London
hopes	hope	hope
the	the	the
27	27	27
other	other	other
EU	eu	EU
states	state	state
would	would	would
assess	assess	ass
enough	enough	enough
progress	progress	progress
has	has	ha
been	been	been
made	made	made
in	in	in
divorce	divorc	divorce
talks	talk	talk
-	-	-
covering	cover	covering
the	the	the
citizens	citizen	citizen
,	,	,
Britain	britain	Britain
s	s	s
exit	exit	exit
bill	bill	bill
and	and	and
the	the	the
future	futur	future
Irish	irish	Irish
border	border	border
-	-	-
to	to	to
open	open	open
new	new	new
discussions	discuss	discussion
on	on	on
a	a	a
post	post	post
-Brexit	-brexit	-Brexit
transition	transit	transition
period	period	period
and	and	and
a	a	a
future	futur	future
trade	trade	trade
relationship	relationship	relationship
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
.	.	.
The	the	The
other	other	other
27	27	27
EU	eu	EU
leaders	leader	leader
will	will	will
take	take	take
another	anoth	another
look	look	look
on	on	on
that	that	that
in	in	in
December	decemb	December
though	though	though
Germany	germani	Germany
and	and	and
some	some	some
others	other	others
stress	stress	stress
that	that	that
is	is	is
not	not	not
a	a	a
done	done	done
deal	deal	deal
and	and	and
want	want	want
London	london	London
to	to	to
improve	improv	improve
exit	exit	exit
terms	term	term
,	,	,
especially	especi	especially
on	on	on
the	the	the
financial	financi	financial
settlement	settlement	settlement
.	.	.
In	in	In
a	a	a
gesture	gestur	gesture
toward	toward	toward
the	the	the
embattled	embattl	embattled
May	may	May
,	,	,
however	howev	however
,	,	,
the	the	the
27	27	27
launched	launch	launched
internal	intern	internal
preparations	prepar	preparation
for	for	for
the	the	the
second	second	second
set	set	set
of	of	of
negotiations	negoti	negotiation
in	in	in
order	order	order
to	to	to
be	be	be
ready	readi	ready
with	with	with
a	a	a
unified	unifi	unified
position	posit	position
and	and	and
able	abl	able
to	to	to
present	present	present
it	it	it
to	to	to
London	london	London
swiftly	swift	swiftly
once	onc	once
they	they	they
are	are	are
satisfied	satisfi	satisfied
with	with	with
progress	progress	progress
in	in	in
the	the	the
divorce	divorc	divorce
talks	talk	talk
.	.	.
