NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
The	the	The
2016	2016	2016
contenders	contend	contender
for	for	for
the	the	the
White	white	White
House	hous	House
have	have	have
used	use	used
social	social	social
media	media	medium
platforms	platform	platform
such	such	such
as	as	a
Twitter	twitter	Twitter
and	and	and
Facebook	facebook	Facebook
as	as	a
campaign	campaign	campaign
tools	tool	tool
to	to	to
an	an	an
extent	extent	extent
not	not	not
seen	seen	seen
previously	previous	previously
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
politics	polit	politics
.	.	.

But	but	But
usage	usag	usage
and	and	and
tactics	tactic	tactic
vary	vari	vary
widely	wide	widely
across	across	across
the	the	the
campaigns	campaign	campaign
of	of	of
the	the	the
11	11	11
top	top	top
Republicans	republican	Republicans
and	and	and
three	three	three
top	top	top
Democrats	democrat	Democrats
in	in	in
the	the	the
race	race	race
.	.	.

Graphic	graphic	Graphic
tmsnrt	tmsnrt	tmsnrt
.	.	.
rs	rs	r
1UvTsE2	1uvtse2	1UvTsE2
Following	follow	Following
are	are	are
some	some	some
key	key	key
social	social	social
media	media	medium
usage	usag	usage
and	and	and
engagement	engag	engagement
statistics	statist	statistic
on	on	on
the	the	the
major	major	major
candidates	candid	candidate
campaigns	campaign	campaign
.	.	.

Social	social	Social
media	media	medium
data	data	data
were	were	were
gathered	gather	gathered
on	on	on
Republicans	republican	Republicans
Donald	donald	Donald
Trump	trump	Trump
;	;	;
Ben	ben	Ben
Carson	carson	Carson
;	;	;
Marco	marco	Marco
Rubio	rubio	Rubio
;	;	;
Ted	ted	Ted
Cruz	cruz	Cruz
;	;	;
Jeb	jeb	Jeb
Bush	bush	Bush
;	;	;
John	john	John
Kasich	kasich	Kasich
;	;	;
Chris	chris	Chris
Christie	christi	Christie
;	;	;
Carly	car	Carly
Fiorina	fiorina	Fiorina
;	;	;
Rand	rand	Rand
Paul	paul	Paul
;	;	;
Mike	mike	Mike
Huckabee	huckabe	Huckabee
;	;	;
and	and	and
Rick	rick	Rick
Santorum	santorum	Santorum
;	;	;
and	and	and
on	on	on
Democrats	democrat	Democrats
Hillary	hillari	Hillary
Clinton	clinton	Clinton
;	;	;
Bernie	berni	Bernie
Sanders	sander	Sanders
;	;	;
and	and	and
Martin	martin	Martin
O	o	O
Malley	malley	Malley
.	.	.

The	the	The
2016	2016	2016
presidential	presidenti	presidential
candidates	candid	candidate
with	with	with
the	the	the
most	most	most
followers	follow	follower
,	,	,
in	in	in
order	order	order
1	1	1
.	.	.

Donald	donald	Donald
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
2	2	2
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
@HillaryClinton	@hillaryclinton	@HillaryClinton
3	3	3
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
@BernieSanders	@berniesand	@BernieSanders
4	4	4
.	.	.

Ben	ben	Ben
Carson	carson	Carson
@RealBenCarson	@realbencarson	@RealBenCarson
5	5	5
.	.	.

Marco	marco	Marco
Rubio	rubio	Rubio
@marcorubio	@marcorubio	@marcorubio
Chris	chris	Chris
Christie	christi	Christie
@ChrisChristie	@chrischristi	@ChrisChristie
has	has	ha
the	the	the
fewest	fewest	fewest
followers	follow	follower
,	,	,
followed	follow	followed
by	by	by
John	john	John
Kasich	kasich	Kasich
@JohnKasich	@johnkasich	@JohnKasich
and	and	and
Jeb	jeb	Jeb
Bush	bush	Bush
@JebBush	@jebbush	@JebBush
.	.	.

The	the	The
2016	2016	2016
presidential	presidenti	presidential
candidates	candid	candidate
who	who	who
follow	follow	follow
the	the	the
most	most	most
accounts	account	account
,	,	,
in	in	in
order	order	order
1	1	1
.	.	.

Ted	ted	Ted
Cruz	cruz	Cruz
2	2	2
.	.	.

John	john	John
Kasich	kasich	Kasich
3	3	3
.	.	.

Marco	marco	Marco
Rubio	rubio	Rubio
4	4	4
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
5	5	5
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
Donald	donald	Donald
Trump	trump	Trump
is	is	is
following	follow	following
the	the	the
fewest	fewest	fewest
accounts	account	account
,	,	,
followed	follow	followed
by	by	by
Ben	ben	Ben
Carson	carson	Carson
and	and	and
Chris	chris	Chris
Christie	christi	Christie
.	.	.

Presidential	presidenti	Presidential
candidates	candid	candidate
with	with	with
the	the	the
most	most	most
tweets	tweet	tweet
including	includ	including
retweets	retweet	retweets
,	,	,
in	in	in
order	order	order
1	1	1
.	.	.

Donald	donald	Donald
Trump	trump	Trump
2	2	2
.	.	.

Ted	ted	Ted
Cruz	cruz	Cruz
3	3	3
.	.	.

Mike	mike	Mike
Bloomberg	bloomberg	Bloomberg
4	4	4
.	.	.

John	john	John
Kasich	kasich	Kasich
5	5	5
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
Ben	ben	Ben
Carson	carson	Carson
has	has	ha
tweeted	tweet	tweeted
the	the	the
least	least	least
,	,	,
followed	follow	followed
by	by	by
Chris	chris	Chris
Christie	christi	Christie
and	and	and
Jeb	jeb	Jeb
Bush	bush	Bush
.	.	.

Presidential	presidenti	Presidential
candidates	candid	candidate
whose	whose	whose
campaign	campaign	campaign
profiles	profil	profile
have	have	have
been	been	been
on	on	on
Twitter	twitter	Twitter
the	the	the
longest	longest	longest
,	,	,
in	in	in
order	order	order
1	1	1
.	.	.

Marco	marco	Marco
Rubio	rubio	Rubio
2	2	2
.	.	.

John	john	John
Kasich	kasich	Kasich
3	3	3
.	.	.

Mike	mike	Mike
Huckabee	huckabe	Huckabee
4	4	4
.	.	.

Martin	martin	Martin
O	o	O
Malley	malley	Malley
5	5	5
.	.	.

Donald	donald	Donald
Trump	trump	Trump
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
the	the	the
last	last	last
candidate	candid	candidate
to	to	to
create	creat	create
a	a	a
Twitter	twitter	Twitter
profile	profil	profile
for	for	for
her	her	her
2016	2016	2016
presidential	presidenti	presidential
bid	bid	bid
,	,	,
and	and	and
the	the	the
campaigns	campaign	campaign
of	of	of
Chris	chris	Chris
Christie	christi	Christie
and	and	and
Ben	ben	Ben
Carson	carson	Carson
joined	join	joined
just	just	just
months	month	month
prior	prior	prior
to	to	to
the	the	the
Democratic	democrat	Democratic
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
.	.	.

Presidential	presidenti	Presidential
candidates	candid	candidate
with	with	with
the	the	the
most	most	most
likes	like	like
on	on	on
Facebook	facebook	Facebook
,	,	,
in	in	in
order	order	order
1	1	1
.	.	.

Donald	donald	Donald
Trump	trump	Trump
5	5	5
,	,	,
500	500	500
,	,	,
909	909	909
likes	like	like
and	and	and
counting	count	counting
2	2	2
.	.	.

Ben	ben	Ben
Carson	carson	Carson
5	5	5
,	,	,
053	053	053
,	,	,
021	021	021
likes	like	like
and	and	and
counting	count	counting
3	3	3
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
2	2	2
,	,	,
497	497	497
,	,	,
947	947	947
likes	like	like
and	and	and
counting	count	counting
4	4	4
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
2	2	2
,	,	,
316	316	316
,	,	,
417	417	417
likes	like	like
and	and	and
counting	count	counting
5	5	5
.	.	.

Rand	rand	Rand
Paul	paul	Paul
2	2	2
,	,	,
106	106	106
,	,	,
854	854	854
likes	like	like
and	and	and
counting	count	counting
The	the	The
following	follow	following
2016	2016	2016
presidential	presidenti	presidential
candidates	candid	candidate
have	have	have
accounts	account	account
on	on	on
Snapchat	snapchat	Snapchat
,	,	,
a	a	a
social	social	social
media	media	medium
platform	platform	platform
favored	favor	favored
by	by	by
millennials	millenni	millennials
1	1	1
.	.	.

Bernie	berni	Bernie
Sanders	sander	Sanders
@bernie	@berni	@bernie
.	.	.
sanders	sander	sander
2	2	2
.	.	.

Hillary	hillari	Hillary
Clinton	clinton	Clinton
@hillaryclinton	@hillaryclinton	@hillaryclinton
3	3	3
.	.	.

Chris	chris	Chris
Christie	christi	Christie
@christie	@christi	@christie
.	.	.
2016	2016	2016
4	4	4
.	.	.

Ben	ben	Ben
Carson	carson	Carson
@drbencarson	@drbencarson	@drbencarson
5	5	5
.	.	.

Jeb	jeb	Jeb
Bush	bush	Bush
@jebbush	@jebbush	@jebbush
6	6	6
.	.	.

Ted	ted	Ted
Cruz	cruz	Cruz
@cruz4president	@cruz4presid	@cruz4president
7	7	7
.	.	.

John	john	John
Kasich	kasich	Kasich
@johnkasich	@johnkasich	@johnkasich
8	8	8
.	.	.

Marco	marco	Marco
