BEIJING	beij	BEIJING
TAIPEI	taipei	TAIPEI
Reuters	reuter	Reuters
-	-	-
China	china	China
warned	warn	warned
self	self	self
-ruled	-rule	-ruled
Taiwan	taiwan	Taiwan
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
it	it	it
would	would	would
reap	reap	reap
the	the	the
consequences	consequ	consequence
of	of	of
promoting	promot	promoting
formal	formal	formal
independence	independ	independence
,	,	,
a	a	a
red	red	red
line	line	line
for	for	for
Beijing	beij	Beijing
which	which	which
claims	claim	claim
the	the	the
island	island	island
as	as	a
its	it	it
own	own	own
.	.	.
Taiwan	taiwan	Taiwan
s	s	s
government	govern	government
hit	hit	hit
back	back	back
,	,	,
saying	say	saying
it	it	it
was	was	wa
a	a	a
reality	realiti	reality
that	that	that
the	the	the
Republic	republ	Republic
of	of	of
China	china	China
,	,	,
the	the	the
island	island	island
s	s	s
formal	formal	formal
name	name	name
,	,	,
was	was	wa
a	a	a
sovereign	sovereign	sovereign
country	countri	country
and	and	and
that	that	that
no	no	no
matter	matter	matter
what	what	what
China	china	China
said	said	said
it	it	it
could	could	could
not	not	not
change	chang	change
this	this	this
fact	fact	fact
.	.	.
Taiwan	taiwan	Taiwan
is	is	is
one	one	one
of	of	of
China	china	China
s	s	s
most	most	most
sensitive	sensit	sensitive
issues	issu	issue
.	.	.
Beijing	beij	Beijing
has	has	ha
never	never	never
renounced	renounc	renounced
the	the	the
use	use	use
of	of	of
force	forc	force
to	to	to
bring	bring	bring
what	what	what
it	it	it
considers	consid	considers
a	a	a
wayward	wayward	wayward
province	provinc	province
under	under	under
its	it	it
rule	rule	rule
.	.	.
Defeated	defeat	Defeated
Nationalist	nationalist	Nationalist
forces	forc	force
fled	fled	fled
to	to	to
Taiwan	taiwan	Taiwan
in	in	in
1949	1949	1949
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
Chinese	chines	Chinese
civil	civil	civil
war	war	war
.	.	.
Taiwan	taiwan	Taiwan
was	was	wa
a	a	a
Japanese	japanes	Japanese
colony	coloni	colony
from	from	from
1895	1895	1895
until	until	until
1945	1945	1945
.	.	.
Speaking	speak	Speaking
in	in	in
parliament	parliament	parliament
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
newly	newli	newly
