ABIDJAN	abidjan	ABIDJAN
Reuters	reuter	Reuters
-	-	-
The	the	The
European	european	European
Union	union	Union
,	,	,
United	unit	United
Nations	nation	Nations
and	and	and
African	african	African
Union	union	Union
have	have	have
agreed	agre	agreed
to	to	to
an	an	an
emergency	emerg	emergency
plan	plan	plan
to	to	to
dismantle	dismantl	dismantle
people	peopl	people
-smuggling	-smuggl	-smuggling
networks	network	network
and	and	and
repatriate	repatri	repatriate
stranded	strand	stranded
migrants	migrant	migrant
,	,	,
in	in	in
an	an	an
effort	effort	effort
to	to	to
ease	eas	ease
a	a	a
human	human	human
rights	right	right
disaster	disast	disaster
in	in	in
Libya	libya	Libya
,	,	,
officials	offici	official
said	said	said
.	.	.
Images	imag	Images
broadcast	broadcast	broadcast
by	by	by
CNN	cnn	CNN
earlier	earlier	earlier
this	this	this
month	month	month
appeared	appear	appeared
to	to	to
show	show	show
migrants	migrant	migrant
being	be	being
auctioned	auction	auctioned
off	off	off
as	as	a
slaves	slave	slave
by	by	by
Libyan	libyan	Libyan
traffickers	traffick	trafficker
,	,	,
sparking	spark	sparking
outrage	outrag	outrage
in	in	in
Europe	europ	Europe
and	and	and
anger	anger	anger
in	in	in
Africa	africa	Africa
.	.	.
It	it	It
forced	forc	forced
the	the	the
issue	issu	issue
of	of	of
abuse	abus	abuse
of	of	of
African	african	African
migrants	migrant	migrant
heading	head	heading
for	for	for
Europe	europ	Europe
to	to	to
the	the	the
top	top	top
of	of	of
the	the	the
agenda	agenda	agenda
of	of	of
a	a	a
summit	summit	summit
meant	meant	meant
to	to	to
focus	focus	focus
on	on	on
Africa	africa	Africa
s	s	s
youth	youth	youth
.	.	.
European	european	European
Council	council	Council
President	presid	President
Donald	donald	Donald
Tusk	tusk	Tusk
called	call	called
the	the	the
slavery	slaveri	slavery
reports	report	report
horrifying	horrifi	horrifying
during	dure	during
the	the	the
opening	open	opening
ceremony	ceremoni	ceremony
of	of	of
the	the	the
African	african	African
Union	union	Union
-European	-european	-European
Union	union	Union
summit	summit	summit
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
said	said	said
the	the	the
plan	plan	plan
included	includ	included
the	the	the
establishment	establish	establishment
of	of	of
an	an	an
operational	oper	operational
task	task	task
-force	-forc	-force
composed	compos	composed
of	of	of
European	european	European
and	and	and
African	african	African
police	polic	police
and	and	and
intelligence	intellig	intelligence
services	servic	service
.	.	.
The	the	The
goal	goal	goal
will	will	will
be	be	be
in	in	in
very	veri	very
short	short	short
order	order	order
to	to	to
be	be	be
able	abl	able
to	to	to
arrest	arrest	arrest
identified	identifi	identified
traffickers	traffick	trafficker
,	,	,
dismantle	dismantl	dismantle
these	these	these
networks	network	network
and	and	and
their	their	their
financing	financ	financing
which	which	which
goes	goe	go
through	through	through
banks	bank	bank
and	and	and
payments	payment	payment
that	that	that
in	in	in
the	the	the
region	region	region
contribute	contribut	contribute
.	.	.
.	.	.
.	.	.
to	to	to
sustaining	sustain	sustaining
terrorism	terror	terrorism
,	,	,
he	he	he
said	said	said
late	late	late
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
France	franc	France
would	would	would
use	use	use
its	it	it
military	militari	military
presence	presenc	presence
in	in	in
the	the	the
region	region	region
to	to	to
help	help	help
break	break	break
up	up	up
trafficking	traffick	trafficking
networks	network	network
,	,	,
but	but	but
the	the	the
plan	plan	plan
would	would	would
not	not	not
involve	involv	involve
sending	send	sending
French	french	French
troops	troop	troop
into	into	into
Libya	libya	Libya
,	,	,
Macron	macron	Macron
said	said	said
at	at	at
a	a	a
press	press	press
conference	confer	conference
in	in	in
Ghana	ghana	Ghana
on	on	on
Thursday	thursday	Thursday
.	.	.
On	on	On
Libyan	libyan	Libyan
soil	soil	soil
,	,	,
it	it	it
is	is	is
now	now	now
up	up	up
to	to	to
the	the	the
Libyan	libyan	Libyan
government	govern	government
to	to	to
decide	decid	decide
in	in	in
connection	connect	connection
with	with	with
the	the	the
African	african	African
Union	union	Union
,	,	,
he	he	he
said	said	said
.	.	.
It	it	It
is	is	is
important	import	important
to	to	to
preserve	preserv	preserve
the	the	the
sovereignty	sovereignti	sovereignty
of	of	of
Libya	libya	Libya
.	.	.
The	the	The
plan	plan	plan
,	,	,
the	the	the
details	detail	detail
of	of	of
which	which	which
emerged	emerg	emerged
on	on	on
Thursday	thursday	Thursday
,	,	,
came	came	came
from	from	from
a	a	a
meeting	meet	meeting
of	of	of
UN	un	UN
officials	offici	official
,	,	,
EU	eu	EU
leaders	leader	leader
and	and	and
government	govern	government
representatives	repres	representative
from	from	from
Chad	chad	Chad
,	,	,
Niger	niger	Niger
,	,	,
Morocco	morocco	Morocco
,	,	,
Congo	congo	Congo
and	and	and
Libya	libya	Libya
that	that	that
was	was	wa
called	call	called
by	by	by
France	franc	France
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
European	european	European
Union	union	Union
,	,	,
African	african	African
Union	union	Union
and	and	and
United	unit	United
Nations	nation	Nations
agreed	agre	agreed
to	to	to
freeze	freez	freeze
assets	asset	asset
and	and	and
impose	impos	impose
financial	financi	financial
sanctions	sanction	sanction
against	against	against
known	known	known
smugglers	smuggler	smuggler
.	.	.
Libya	libya	Libya
s	s	s
government	govern	government
,	,	,
which	which	which
has	has	ha
promised	promis	promised
to	to	to
investigate	investig	investigate
reports	report	report
of	of	of
slave	slave	slave
auctions	auction	auction
,	,	,
said	said	said
it	it	it
would	would	would
grant	grant	grant
U	u	U
.	.	.
N	n	N
.	.	.
agencies	agenc	agency
access	access	access
to	to	to
migrant	migrant	migrant
camps	camp	camp
in	in	in
areas	area	area
under	under	under
its	it	it
control	control	control
,	,	,
German	german	German
officials	offici	official
said	said	said
.	.	.
EU	eu	EU
countries	countri	country
,	,	,
meanwhile	meanwhil	meanwhile
,	,	,
will	will	will
finance	financ	finance
the	the	the
repatriation	repatri	repatriation
of	of	of
migrants	migrant	migrant
from	from	from
Libya	libya	Libya
,	,	,
a	a	a
process	process	process
that	that	that
is	is	is
already	alreadi	already
being	be	being
organized	organ	organized
by	by	by
the	the	the
International	intern	International
Organization	organ	Organization
for	for	for
Migration	migrat	Migration
,	,	,
they	they	they
said	said	said
.	.	.
Allowing	allow	Allowing
Africans	african	Africans
to	to	to
come	come	come
to	to	to
Europe	europ	Europe
on	on	on
a	a	a
temporary	temporari	temporary
basis	basi	basis
for	for	for
three	three	three
of	of	of
four	four	four
years	year	year
of	of	of
training	train	training
or	or	or
schooling	school	schooling
was	was	wa
also	also	also
discussed	discuss	discussed
,	,	,
according	accord	according
to	to	to
European	european	European
government	govern	government
officials	offici	official
.	.	.
Circular	circular	Circular
migration	migrat	migration
could	could	could
be	be	be
key	key	key
to	to	to
easing	eas	easing
illegal	illeg	illegal
migration	migrat	migration
,	,	,
experts	expert	expert
have	have	have
said	said	said
.	.	.
Regional	region	Regional
governments	govern	government
have	have	have
also	also	also
agreed	agre	agreed
to	to	to
educate	educ	educate
Africans	african	Africans
about	about	about
the	the	the
dangers	danger	danger
of	of	of
migration	migrat	migration
,	,	,
and	and	and
there	there	there
will	will	will
be	be	be
stronger	stronger	stronger
coordination	coordin	coordination
between	between	between
security	secur	security
services	servic	service
across	across	across
North	north	North
,	,	,
West	west	West
and	and	and
Central	central	Central
Africa	africa	Africa
to	to	to
eradicate	erad	eradicate
smuggling	smuggl	smuggling
.	.	.
Vulnerable	vulner	Vulnerable
migrants	migrant	migrant
who	who	who
might	might	might
eventually	eventu	eventually
qualify	qualifi	qualify
for	for	for
asylum	asylum	asylum
will	will	will
be	be	be
brought	brought	brought
to	to	to
Chad	chad	Chad
or	or	or
Niger	niger	Niger
before	befor	before
being	be	being
relocated	reloc	relocated
to	to	to
a	a	a
third	third	third
country	countri	country
either	either	either
in	in	in
Europe	europ	Europe
or	or	or
another	anoth	another
region	region	region
.	.	.
