MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
lawmakers	lawmak	lawmaker
are	are	are
to	to	to
discuss	discuss	discus
a	a	a
proposal	propos	proposal
to	to	to
bar	bar	bar
representatives	repres	representative
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
media	media	medium
organizations	organ	organization
from	from	from
accessing	access	accessing
the	the	the
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
RIA	ria	RIA
news	news	news
agency	agenc	agency
quoted	quot	quoted
the	the	the
chair	chair	chair
of	of	of
one	one	one
of	of	of
the	the	the
chamber	chamber	chamber
s	s	s
committees	committe	committee
as	as	a
saying	say	saying
.	.	.
Olga	olga	Olga
Savastyanova	savastyanova	Savastyanova
,	,	,
who	who	who
chairs	chair	chair
the	the	the
chamber	chamber	chamber
s	s	s
rules	rule	rule
and	and	and
regulations	regul	regulation
committee	committe	committee
,	,	,
said	said	said
her	her	her
committee	committe	committee
would	would	would
consider	consid	consider
a	a	a
resolution	resolut	resolution
containing	contain	containing
the	the	the
proposal	propos	proposal
next	next	next
Monday	monday	Monday
.	.	.
It	it	It
would	would	would
be	be	be
put	put	put
forward	forward	forward
for	for	for
approval	approv	approval
of	of	of
the	the	the
chamber	chamber	chamber
,	,	,
known	known	known
as	as	a
the	the	the
State	state	State
Duma	duma	Duma
,	,	,
on	on	on
Tuesday	tuesday	Tuesday
or	or	or
Wednesday	wednesday	Wednesday
,	,	,
according	accord	according
to	to	to
RIA	ria	RIA
.	.	.
It	it	It
s	s	s
a	a	a
ban	ban	ban
on	on	on
journalists	journalist	journalist
who	who	who
represent	repres	represent
American	american	American
media	media	medium
,	,	,
all	all	all
American	american	American
media	media	medium
,	,	,
visiting	visit	visiting
the	the	the
State	state	State
Duma	duma	Duma
,	,	,
RIA	ria	RIA
quoted	quot	quoted
Savastyanova	savastyanova	Savastyanova
as	as	a
saying	say	saying
.	.	.
She	she	She
represents	repres	represents
the	the	the
ruling	rule	ruling
United	unit	United
Russia	russia	Russia
party	parti	party
,	,	,
which	which	which
holds	hold	hold
a	a	a
majority	major	majority
of	of	of
the	the	the
seats	seat	seat
in	in	in
the	the	the
chamber	chamber	chamber
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
have	have	have
designated	design	designated
Kremlin	kremlin	Kremlin
-funded	-fund	-funded
broadcaster	broadcast	broadcaster
RT	rt	RT
as	as	a
a	a	a
foreign	foreign	foreign
agent	agent	agent
,	,	,
after	after	after
intelligence	intellig	intelligence
officials	offici	official
alleged	alleg	alleged
it	it	it
tried	tri	tried
to	to	to
meddle	meddl	meddle
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
last	last	last
year	year	year
.	.	.
RT	rt	RT
denies	deni	denies
that	that	that
.	.	.
The	the	The
Kremlin	kremlin	Kremlin
has	has	ha
pledged	pledg	pledged
to	to	to
retaliate	retali	retaliate
in	in	in
kind	kind	kind
.	.	.
At	at	At
the	the	the
weekend	weekend	weekend
,	,	,
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
signed	sign	signed
a	a	a
law	law	law
allowing	allow	allowing
the	the	the
Russian	russian	Russian
authorities	author	authority
to	to	to
designate	design	designate
some	some	some
foreign	foreign	foreign
media	media	medium
as	as	a
foreign	foreign	foreign
agents	agent	agent
.	.	.
The	the	The
move	move	move
to	to	to
deny	deni	deny
U	u	U
.	.	.
S	s	S
.	.	.
journalists	journalist	journalist
access	access	access
to	to	to
the	the	the
State	state	State
Duma	duma	Duma
was	was	wa
a	a	a
response	respons	response
to	to	to
a	a	a
similar	similar	similar
move	move	move
in	in	in
Washington	washington	Washington
,	,	,
RIA	ria	RIA
quoted	quot	quoted
Savastyanova	savastyanova	Savastyanova
as	as	a
saying	say	saying
.	.	.
RT	rt	RT
on	on	on
Wednesday	wednesday	Wednesday
night	night	night
published	publish	published
a	a	a
letter	letter	letter
from	from	from
the	the	the
Executive	execut	Executive
Committee	committe	Committee
of	of	of
the	the	the
Congressional	congression	Congressional
Radio	radio	Radio
And	and	And
Television	televis	Television
Correspondents	correspond	Correspondents
Gallery	galleri	Gallery
saying	say	saying
the	the	the
channel	channel	channel
s	s	s
Congressional	congression	Congressional
press	press	press
credentials	credenti	credential
had	had	had
been	been	been
withdrawn	withdrawn	withdrawn
due	due	due
to	to	to
its	it	it
registration	registr	registration
as	as	a
a	a	a
foreign	foreign	foreign
agent	agent	agent
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
That	that	That
means	mean	mean
RT	rt	RT
s	s	s
reporters	report	reporter
will	will	will
not	not	not
be	be	be
able	abl	able
to	to	to
have	have	have
as	as	a
much	much	much
access	access	access
to	to	to
Congress	congress	Congress
as	as	a
other	other	other
foreign	foreign	foreign
media	media	medium
.	.	.
