CHICAGO	chicago	CHICAGO
Reuters	reuter	Reuters
-	-	-
Democratic	democrat	Democratic
lawmakers	lawmak	lawmaker
in	in	in
the	the	the
Illinois	illinoi	Illinois
Senate	senat	Senate
on	on	on
Tuesday	tuesday	Tuesday
voted	vote	voted
in	in	in
favor	favor	favor
of	of	of
a	a	a
budget	budget	budget
and	and	and
tax	tax	tax
package	packag	package
that	that	that
includes	includ	includes
hikes	hike	hike
to	to	to
income	incom	income
and	and	and
sales	sale	sale
taxes	tax	tax
in	in	in
a	a	a
go	go	go
-it-alone	-it-alon	-it-alone
effort	effort	effort
to	to	to
break	break	break
the	the	the
state	state	state
s	s	s
long	long	long
-running	-run	-running
budget	budget	budget
impasse	impass	impasse
eight	eight	eight
days	day	day
before	befor	before
the	the	the
end	end	end
of	of	of
the	the	the
legislative	legisl	legislative
session	session	session
.	.	.

Illinois	illinoi	Illinois
is	is	is
limping	limp	limping
toward	toward	toward
the	the	the
June	june	June
30	30	30
end	end	end
of	of	of
its	it	it
second	second	second
straight	straight	straight
fiscal	fiscal	fiscal
year	year	year
without	without	without
a	a	a
complete	complet	complete
budget	budget	budget
due	due	due
to	to	to
gridlock	gridlock	gridlock
between	between	between
Republican	republican	Republican
Governor	governor	Governor
Bruce	bruce	Bruce
Rauner	rauner	Rauner
and	and	and
Democrats	democrat	Democrats
who	who	who
control	control	control
the	the	the
state	state	state
legislature	legislatur	legislature
.	.	.

The	the	The
development	develop	development
is	is	is
not	not	not
necessarily	necessarili	necessarily
a	a	a
breakthrough	breakthrough	breakthrough
,	,	,
however	howev	however
,	,	,
as	as	a
the	the	the
House	hous	House
remains	remain	remains
non	non	non
-committal	-committ	-committal
on	on	on
the	the	the
measures	measur	measure
and	and	and
Rauner	rauner	Rauner
has	has	ha
said	said	said
he	he	he
will	will	will
not	not	not
support	support	support
them	them	them
without	without	without
certain	certain	certain
conditions	condit	condition
.	.	.

The	the	The
package	packag	package
of	of	of
revenue	revenu	revenue
and	and	and
appropriations	appropri	appropriation
bills	bill	bill
would	would	would
raise	rais	raise
income	incom	income
tax	tax	tax
from	from	from
3	3	3
.	.	.
75	75	75
percent	percent	percent
to	to	to
4	4	4
.	.	.
95	95	95
percent	percent	percent
and	and	and
corporate	corpor	corporate
tax	tax	tax
from	from	from
5	5	5
.	.	.
25	25	25
percent	percent	percent
to	to	to
7	7	7
percent	percent	percent
.	.	.

The	the	The
income	incom	income
tax	tax	tax
hike	hike	hike
would	would	would
generate	generat	generate
an	an	an
estimated	estim	estimated
4	4	4
.	.	.
4	4	4
billion	billion	billion
annually	annual	annually
and	and	and
the	the	the
corporate	corpor	corporate
income	incom	income
tax	tax	tax
increase	increas	increase
would	would	would
generate	generat	generate
around	around	around
514	514	514
million	million	million
annually	annual	annually
,	,	,
according	accord	according
to	to	to
figures	figur	figure
provided	provid	provided
by	by	by
Illinois	illinoi	Illinois
Senate	senat	Senate
Democrats	democrat	Democrats
.	.	.

The	the	The
budget	budget	budget
measure	measur	measure
allocates	alloc	allocates
37	37	37
.	.	.
3	3	3
billion	billion	billion
in	in	in
spending	spend	spending
from	from	from
the	the	the
state	state	state
s	s	s
General	general	General
Revenue	revenu	Revenue
Fund	fund	Fund
,	,	,
a	a	a
figure	figur	figure
that	that	that
matches	match	match
the	the	the
one	one	one
proposed	propos	proposed
by	by	by
Rauner	rauner	Rauner
.	.	.

The	the	The
balanced	balanc	balanced
budget	budget	budget
removes	remov	remove
a	a	a
405	405	405
million	million	million
in	in	in
previously	previous	previously
proposed	propos	proposed
cuts	cut	cut
to	to	to
Medicaid	medicaid	Medicaid
.	.	.

It	it	It
is	is	is
time	time	time
for	for	for
us	us	u
to	to	to
save	save	save
the	the	the
state	state	state
,	,	,
Democratic	democrat	Democratic
state	state	state
Senator	senat	Senator
Toi	toi	Toi
Hutchinson	hutchinson	Hutchinson
said	said	said
on	on	on
the	the	the
Senate	senat	Senate
floor	floor	floor
on	on	on
Tuesday	tuesday	Tuesday
before	befor	before
the	the	the
votes	vote	vote
.	.	.

The	the	The
bills	bill	bill
now	now	now
move	move	move
to	to	to
the	the	the
Democrat	democrat	Democrat
-controlled	-control	-controlled
House	hous	House
where	where	where
it	it	it
is	is	is
unclear	unclear	unclear
if	if	if
they	they	they
will	will	will
garner	garner	garner
enough	enough	enough
support	support	support
.	.	.

The	the	The
measures	measur	measure
would	would	would
be	be	be
thoughtfully	thought	thoughtfully
considered	consid	considered
,	,	,
Democratic	democrat	Democratic
House	hous	House
Speaker	speaker	Speaker
Michael	michael	Michael
Madigan	madigan	Madigan
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Tuesday	tuesday	Tuesday
evening	even	evening
.	.	.

Holding	hold	Holding
the	the	the
bills	bill	bill
from	from	from
the	the	the
House	hous	House
until	until	until
after	after	after
May	may	May
31	31	31
,	,	,
the	the	the
final	final	final
day	day	day
of	of	of
the	the	the
legislature	legislatur	legislature
,	,	,
triggers	trigger	trigger
a	a	a
supermajority	supermajor	supermajority
requirement	requir	requirement
,	,	,
which	which	which
means	mean	mean
Republicans	republican	Republicans
would	would	would
have	have	have
to	to	to
approve	approv	approve
them	them	them
in	in	in
order	order	order
to	to	to
advance	advanc	advance
the	the	the
bills	bill	bill
to	to	to
Rauner	rauner	Rauner
.	.	.

But	but	But
Rauner	rauner	Rauner
and	and	and
other	other	other
Republicans	republican	Republicans
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
they	they	they
would	would	would
not	not	not
support	support	support
the	the	the
bills	bill	bill
because	becaus	because
they	they	they
do	do	do
not	not	not
address	address	address
property	properti	property
tax	tax	tax
relief	relief	relief
.	.	.

Let	let	Let
me	me	me
be	be	be
clear	clear	clear
,	,	,
to	to	to
get	get	get
my	my	my
signature	signatur	signature
,	,	,
any	ani	any
agreement	agreement	agreement
must	must	must
include	includ	include
real	real	real
property	properti	property
tax	tax	tax
relief	relief	relief
,	,	,
Rauner	rauner	Rauner
said	said	said
on	on	on
Twitter	twitter	Twitter
.	.	.

Illinois	illinoi	Illinois
,	,	,
the	the	the
country	countri	country
s	s	s
fifth	fifth	fifth
-largest	-largest	-largest
state	state	state
,	,	,
is	is	is
immersed	immers	immersed
in	in	in
one	one	one
of	of	of
the	the	the
most	most	most
politically	polit	politically
turbulent	turbul	turbulent
eras	era	era
in	in	in
its	it	it
199	199	199
-year	-year	-year
history	histori	history
due	due	due
in	in	in
large	larg	large
part	part	part
because	becaus	because
of	of	of
its	it	it
ongoing	ongo	ongoing
fiscal	fiscal	fiscal
woes	woe	woe
.	.	.

The	the	The
state	state	state
s	s	s
backlog	backlog	backlog
of	of	of
unpaid	unpaid	unpaid
bills	bill	bill
hit	hit	hit
nearly	near	nearly
14	14	14
.	.	.
4	4	4
billion	billion	billion
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
according	accord	according
to	to	to
the	the	the
state	state	state
comptroller	comptrol	comptroller
s	s	s
office	offic	office
.	.	.

Rauner	rauner	Rauner
is	is	is
also	also	also
facing	face	facing
a	a	a
number	number	number
of	of	of
high	high	high
-profile	-profil	-profile
Democratic	democrat	Democratic
challengers	challeng	challenger
in	in	in
next	next	next
year	year	year
s	s	s
election	elect	election
.	.	.

