VIENNA	vienna	VIENNA
Reuters	reuter	Reuters
-	-	-
No	no	No
party	parti	party
is	is	is
likely	like	likely
to	to	to
obtain	obtain	obtain
a	a	a
majority	major	majority
of	of	of
votes	vote	vote
in	in	in
Austria	austria	Austria
s	s	s
parliamentary	parliamentari	parliamentary
election	elect	election
on	on	on
Oct	oct	Oct
.	.	.
15	15	15
.	.	.
A	a	A
coalition	coalit	coalition
between	between	between
two	two	two
of	of	of
the	the	the
three	three	three
biggest	biggest	biggest
parties	parti	party
the	the	the
conservative	conserv	conservative
People	peopl	People
s	s	s
Party	parti	Party
OVP	ovp	OVP
,	,	,
the	the	the
Social	social	Social
Democrats	democrat	Democrats
SPO	spo	SPO
and	and	and
the	the	the
far	far	far
-right	-right	-right
Freedom	freedom	Freedom
Party	parti	Party
FPO	fpo	FPO
will	will	will
probably	probabl	probably
be	be	be
needed	need	needed
to	to	to
govern	govern	govern
.	.	.
Below	below	Below
is	is	is
a	a	a
breakdown	breakdown	breakdown
of	of	of
polling	poll	polling
,	,	,
positions	posit	position
and	and	and
comments	comment	comment
the	the	the
parties	parti	party
have	have	have
made	made	made
about	about	about
potential	potenti	potential
coalitions	coalit	coalition
.	.	.
Since	sinc	Since
31	31	31
-year-old	-year-old	-year-old
Foreign	foreign	Foreign
Minister	minist	Minister
Sebastian	sebastian	Sebastian
Kurz	kurz	Kurz
took	took	took
over	over	over
as	as	a
leader	leader	leader
of	of	of
the	the	the
OVP	ovp	OVP
in	in	in
May	may	May
,	,	,
his	his	his
party	parti	party
has	has	ha
consistently	consist	consistently
attracted	attract	attracted
support	support	support
in	in	in
polls	poll	poll
of	of	of
around	around	around
33	33	33
percent	percent	percent
on	on	on
a	a	a
platform	platform	platform
dominated	domin	dominated
by	by	by
tough	tough	tough
rhetoric	rhetor	rhetoric
on	on	on
immigration	immigr	immigration
.	.	.
That	that	That
has	has	ha
dislodged	dislodg	dislodged
the	the	the
Freedom	freedom	Freedom
Party	parti	Party
from	from	from
the	the	the
top	top	top
position	posit	position
in	in	in
polls	poll	poll
it	it	it
reached	reach	reached
in	in	in
the	the	the
aftermath	aftermath	aftermath
of	of	of
the	the	the
refugee	refuge	refugee
influx	influx	influx
of	of	of
2015	2015	2015
and	and	and
2016	2016	2016
.	.	.
The	the	The
Freedom	freedom	Freedom
Party	parti	Party
is	is	is
competing	compet	competing
with	with	with
Chancellor	chancellor	Chancellor
Christian	christian	Christian
Kern	kern	Kern
s	s	s
Social	social	Social
Democrats	democrat	Democrats
for	for	for
second	second	second
place	place	place
,	,	,
both	both	both
at	at	at
around	around	around
a	a	a
quarter	quarter	quarter
of	of	of
votes	vote	vote
in	in	in
most	most	most
polls	poll	poll
.	.	.
Polls	poll	Polls
put	put	put
the	the	the
Greens	green	Greens
,	,	,
the	the	the
liberal	liber	liberal
Neos	neo	Neos
and	and	and
a	a	a
new	new	new
party	parti	party
founded	found	founded
by	by	by
former	former	former
Greens	green	Greens
lawmaker	lawmak	lawmaker
Peter	peter	Peter
Pilz	pilz	Pilz
all	all	all
on	on	on
around	around	around
5	5	5
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
,	,	,
above	abov	above
the	the	the
4	4	4
-percent	-percent	-percent
threshold	threshold	threshold
for	for	for
entering	enter	entering
parliament	parliament	parliament
.	.	.
OVP	ovp	OVP
leader	leader	leader
Kurz	kurz	Kurz
called	call	called
an	an	an
end	end	end
to	to	to
the	the	the
centrist	centrist	centrist
coalition	coalit	coalition
with	with	with
the	the	the
Social	social	Social
Democrats	democrat	Democrats
,	,	,
triggering	trigger	triggering
a	a	a
snap	snap	snap
parliamentary	parliamentari	parliamentary
election	elect	election
.	.	.
He	he	He
has	has	ha
not	not	not
ruled	rule	ruled
out	out	out
any	ani	any
party	parti	party
as	as	a
a	a	a
potential	potenti	potential
coalition	coalit	coalition
partner	partner	partner
and	and	and
has	has	ha
said	said	said
he	he	he
will	will	will
hold	hold	hold
talks	talk	talk
with	with	with
all	all	all
parties	parti	party
if	if	if
his	his	his
party	parti	party
comes	come	come
first	first	first
.	.	.
Kurz	kurz	Kurz
has	has	ha
avoided	avoid	avoided
setting	set	setting
conditions	condit	condition
before	befor	before
the	the	the
vote	vote	vote
apart	apart	apart
from	from	from
saying	say	saying
that	that	that
any	ani	any
potential	potenti	potential
partner	partner	partner
must	must	must
be	be	be
pro	pro	pro
-European	-european	-European
and	and	and
not	not	not
merely	mere	merely
stand	stand	stand
by	by	by
Europe	europ	Europe
,	,	,
but	but	but
also	also	also
have	have	have
the	the	the
desire	desir	desire
to	to	to
shape	shape	shape
Europe	europ	Europe
.	.	.
His	his	His
plans	plan	plan
on	on	on
cutting	cut	cutting
immigration	immigr	immigration
,	,	,
reducing	reduc	reducing
the	the	the
corporation	corpor	corporation
tax	tax	tax
burden	burden	burden
and	and	and
streamlining	streamlin	streamlining
the	the	the
EU	eu	EU
overlap	overlap	overlap
with	with	with
the	the	the
Freedom	freedom	Freedom
Party	parti	Party
s	s	s
.	.	.
The	the	The
OVP	ovp	OVP
wants	want	want
a	a	a
slimmer	slimmer	slimmer
EU	eu	EU
that	that	that
focuses	focus	focus
on	on	on
its	it	it
core	core	core
competences	compet	competence
such	such	such
as	as	a
trade	trade	trade
and	and	and
securing	secur	securing
its	it	it
external	extern	external
borders	border	border
.	.	.
In	in	In
contrast	contrast	contrast
to	to	to
the	the	the
FPO	fpo	FPO
,	,	,
however	howev	however
,	,	,
Kurz	kurz	Kurz
is	is	is
in	in	in
favor	favor	favor
of	of	of
more	more	more
European	european	European
defense	defens	defense
cooperation	cooper	cooperation
,	,	,
which	which	which
he	he	he
says	say	say
would	would	would
not	not	not
threaten	threaten	threaten
Austria	austria	Austria
s	s	s
neutrality	neutral	neutrality
.	.	.
The	the	The
FPO	fpo	FPO
says	say	say
it	it	it
would	would	would
only	onli	only
go	go	go
into	into	into
a	a	a
coalition	coalit	coalition
if	if	if
it	it	it
were	were	were
given	given	given
control	control	control
of	of	of
the	the	the
Interior	interior	Interior
Ministry	ministri	Ministry
.	.	.
It	it	It
also	also	also
would	would	would
like	like	like
to	to	to
secure	secur	secure
the	the	the
post	post	post
of	of	of
foreign	foreign	foreign
minister	minist	minister
,	,	,
but	but	but
has	has	ha
not	not	not
made	made	made
that	that	that
a	a	a
fixed	fix	fixed
condition	condit	condition
.	.	.
FPO	fpo	FPO
leader	leader	leader
Heinz	heinz	Heinz
-Christian	-christian	-Christian
Strache	strach	Strache
has	has	ha
said	said	said
the	the	the
FPO	fpo	FPO
will	will	will
not	not	not
enter	enter	enter
a	a	a
coalition	coalit	coalition
with	with	with
the	the	the
SPO	spo	SPO
until	until	until
a	a	a
full	full	full
SPO	spo	SPO
party	parti	party
conference	confer	conference
has	has	ha
lifted	lift	lifted
the	the	the
ban	ban	ban
on	on	on
coalitions	coalit	coalition
with	with	with
his	his	his
party	parti	party
.	.	.
The	the	The
decision	decis	decision
to	to	to
lift	lift	lift
the	the	the
ban	ban	ban
was	was	wa
taken	taken	taken
by	by	by
the	the	the
SPO	spo	SPO
party	parti	party
leadership	leadership	leadership
.	.	.
The	the	The
FPO	fpo	FPO
has	has	ha
also	also	also
said	said	said
it	it	it
would	would	would
only	onli	only
enter	enter	enter
a	a	a
coalition	coalit	coalition
that	that	that
results	result	result
in	in	in
more	more	more
referendums	referendum	referendum
or	or	or
direct	direct	direct
democracy	democraci	democracy
,	,	,
which	which	which
is	is	is
part	part	part
of	of	of
the	the	the
OVP	ovp	OVP
program	program	program
.	.	.
Strache	strach	Strache
has	has	ha
rowed	row	rowed
back	back	back
from	from	from
the	the	the
FPO	fpo	FPO
s	s	s
former	former	former
stark	stark	stark
euroskepticism	euroskeptic	euroskepticism
,	,	,
but	but	but
he	he	he
has	has	ha
called	call	called
the	the	the
idea	idea	idea
of	of	of
a	a	a
European	european	European
army	armi	army
a	a	a
red	red	red
line	line	line
.	.	.
He	he	He
says	say	say
Austria	austria	Austria
is	is	is
at	at	at
the	the	the
heart	heart	heart
of	of	of
Europe	europ	Europe
but	but	but
also	also	also
wants	want	want
a	a	a
referendum	referendum	referendum
on	on	on
Austria	austria	Austria
s	s	s
future	futur	future
in	in	in
the	the	the
EU	eu	EU
if	if	if
it	it	it
hands	hand	hand
more	more	more
powers	power	power
to	to	to
Brussels	brussel	Brussels
or	or	or
if	if	if
Turkey	turkey	Turkey
accedes	acced	accedes
to	to	to
the	the	the
bloc	bloc	bloc
.	.	.
Strache	strach	Strache
has	has	ha
also	also	also
ruled	rule	ruled
out	out	out
that	that	that
the	the	the
FPO	fpo	FPO
will	will	will
sign	sign	sign
up	up	up
to	to	to
a	a	a
coalition	coalit	coalition
headed	head	headed
by	by	by
the	the	the
third	third	third
-placed	-place	-placed
party	parti	party
if	if	if
it	it	it
comes	come	come
second	second	second
,	,	,
as	as	a
it	it	it
did	did	did
in	in	in
2000	2000	2000
when	when	when
it	it	it
became	becam	became
a	a	a
junior	junior	junior
partner	partner	partner
to	to	to
the	the	the
OVP	ovp	OVP
.	.	.
Under	under	Under
Chancellor	chancellor	Chancellor
Christian	christian	Christian
Kern	kern	Kern
,	,	,
the	the	the
SPO	spo	SPO
has	has	ha
lifted	lift	lifted
self	self	self
-imposed	-impos	-imposed
ban	ban	ban
on	on	on
national	nation	national
coalitions	coalit	coalition
with	with	with
the	the	the
Freedom	freedom	Freedom
Party	parti	Party
the	the	the
two	two	two
parties	parti	party
already	alreadi	already
govern	govern	govern
together	togeth	together
in	in	in
Burgenland	burgenland	Burgenland
,	,	,
one	one	one
of	of	of
Austria	austria	Austria
s	s	s
nine	nine	nine
provinces	provinc	province
.	.	.
The	the	The
ban	ban	ban
was	was	wa
replaced	replac	replaced
by	by	by
a	a	a
values	valu	value
compass	compass	compass
,	,	,
which	which	which
makes	make	make
principles	principl	principle
such	such	such
as	as	a
a	a	a
pro	pro	pro
-European	-european	-European
position	posit	position
and	and	and
gender	gender	gender
equality	equal	equality
pre	pre	pre
-conditions	-condit	-conditions
for	for	for
cooperation	cooper	cooperation
.	.	.
Kern	kern	Kern
has	has	ha
also	also	also
said	said	said
the	the	the
FPO	fpo	FPO
must	must	must
leave	leav	leave
the	the	the
far	far	far
-right	-right	-right
faction	faction	faction
in	in	in
the	the	the
European	european	European
Parliament	parliament	Parliament
,	,	,
which	which	which
France	franc	France
s	s	s
National	nation	National
Front	front	Front
is	is	is
also	also	also
part	part	part
of	of	of
,	,	,
if	if	if
it	it	it
wants	want	want
to	to	to
join	join	join
a	a	a
coalition	coalit	coalition
with	with	with
the	the	the
Social	social	Social
Democrats	democrat	Democrats
.	.	.
In	in	In
a	a	a
recent	recent	recent
debate	debat	debate
with	with	with
Strache	strach	Strache
,	,	,
Kern	kern	Kern
said	said	said
the	the	the
two	two	two
parties	parti	party
are	are	are
still	still	still
worlds	world	world
apart	apart	apart
.	.	.
The	the	The
Social	social	Social
Democrats	democrat	Democrats
favor	favor	favor
closer	closer	closer
European	european	European
integration	integr	integration
on	on	on
issues	issu	issue
like	like	like
economic	econom	economic
and	and	and
monetary	monetari	monetary
union	union	union
and	and	and
social	social	social
policy	polici	policy
.	.	.
