OTTAWA	ottawa	OTTAWA
TORONTO	toronto	TORONTO
Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
-Canadian	-canadian	-Canadian
couple	coupl	couple
freed	freed	freed
in	in	in
Pakistan	pakistan	Pakistan
this	this	this
week	week	week
,	,	,
nearly	near	nearly
five	five	five
years	year	year
after	after	after
being	be	being
abducted	abduct	abducted
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
returned	return	returned
to	to	to
Canada	canada	Canada
on	on	on
Friday	friday	Friday
where	where	where
the	the	the
husband	husband	husband
said	said	said
one	one	one
of	of	of
his	his	his
children	children	child
had	had	had
been	been	been
murdered	murder	murdered
and	and	and
his	his	his
wife	wife	wife
had	had	had
been	been	been
raped	rape	raped
.	.	.

American	american	American
Caitlan	caitlan	Caitlan
Coleman	coleman	Coleman
and	and	and
her	her	her
Canadian	canadian	Canadian
husband	husband	husband
,	,	,
Joshua	joshua	Joshua
Boyle	boyl	Boyle
,	,	,
were	were	were
kidnapped	kidnap	kidnapped
while	while	while
backpacking	backpack	backpacking
in	in	in
Afghanistan	afghanistan	Afghanistan
in	in	in
2012	2012	2012
by	by	by
the	the	the
Taliban	taliban	Taliban
-allied	-alli	-allied
Haqqani	haqqani	Haqqani
network	network	network
.	.	.

They	they	They
arrived	arriv	arrived
in	in	in
Canada	canada	Canada
with	with	with
three	three	three
of	of	of
their	their	their
children	children	child
.	.	.

Obviously	obvious	Obviously
,	,	,
it	it	it
will	will	will
be	be	be
of	of	of
incredible	incred	incredible
importance	import	importance
to	to	to
my	my	my
family	famili	family
that	that	that
we	we	we
are	are	are
able	abl	able
to	to	to
build	build	build
a	a	a
secure	secur	secure
sanctuary	sanctuari	sanctuary
for	for	for
our	our	our
three	three	three
surviving	surviv	surviving
children	children	child
to	to	to
call	call	call
a	a	a
home	home	home
,	,	,
Boyle	boyl	Boyle
told	told	told
reporters	report	reporter
after	after	after
arriving	arriv	arriving
at	at	at
Toronto	toronto	Toronto
s	s	s
Pearson	pearson	Pearson
International	intern	International
Airport	airport	Airport
,	,	,
wearing	wear	wearing
a	a	a
black	black	black
sweatshirt	sweatshirt	sweatshirt
and	and	and
sporting	sport	sporting
a	a	a
beard	beard	beard
.	.	.

Pakistani	pakistani	Pakistani
troops	troop	troop
rescued	rescu	rescued
the	the	the
family	famili	family
in	in	in
the	the	the
northwest	northwest	northwest
of	of	of
the	the	the
country	countri	country
,	,	,
near	near	near
the	the	the
Afghan	afghan	Afghan
border	border	border
,	,	,
this	this	this
week	week	week
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
long	long	long
accused	accus	accused
Pakistan	pakistan	Pakistan
of	of	of
failing	fail	failing
to	to	to
fight	fight	fight
the	the	the
Taliban	taliban	Taliban
-allied	-alli	-allied
Haqqani	haqqani	Haqqani
network	network	network
.	.	.

The	the	The
stupidity	stupid	stupidity
and	and	and
the	the	the
evil	evil	evil
of	of	of
the	the	the
Haqqani	haqqani	Haqqani
network	network	network
in	in	in
the	the	the
kidnapping	kidnap	kidnapping
of	of	of
a	a	a
pilgrim	pilgrim	pilgrim
.	.	.
.	.	.
.	.	.

was	was	wa
eclipsed	eclips	eclipsed
only	onli	only
by	by	by
the	the	the
stupidity	stupid	stupidity
and	and	and
evil	evil	evil
of	of	of
authorizing	author	authorizing
the	the	the
murder	murder	murder
of	of	of
my	my	my
infant	infant	infant
daughter	daughter	daughter
,	,	,
Boyle	boyl	Boyle
said	said	said
,	,	,
reading	read	reading
from	from	from
a	a	a
statement	statement	statement
,	,	,
in	in	in
a	a	a
calm	calm	calm
