GABORONE	gaboron	GABORONE
Reuters	reuter	Reuters
-	-	-
A	a	A
transgender	transgend	transgender
woman	woman	woman
has	has	ha
won	won	won
a	a	a
legal	legal	legal
battle	battl	battle
against	against	against
Botswana	botswana	Botswana
s	s	s
government	govern	government
to	to	to
be	be	be
recognized	recogn	recognized
as	as	a
female	femal	female
in	in	in
a	a	a
landmark	landmark	landmark
victory	victori	victory
for	for	for
the	the	the
rights	right	right
of	of	of
the	the	the
lesbian	lesbian	lesbian
,	,	,
gay	gay	gay
and	and	and
transgender	transgend	transgender
community	communiti	community
.	.	.

A	a	A
conservative	conserv	conservative
southern	southern	southern
African	african	African
nation	nation	nation
of	of	of
2	2	2
million	million	million
people	peopl	people
,	,	,
Botswana	botswana	Botswana
has	has	ha
been	been	been
reluctant	reluct	reluctant
to	to	to
fully	fulli	fully
acknowledge	acknowledg	acknowledge
the	the	the
rights	right	right
of	of	of
the	the	the
LGBT	lgbt	LGBT
community	communiti	community
.	.	.

Tshepo	tshepo	Tshepo
Ricki	ricki	Ricki
Kgositau	kgositau	Kgositau
,	,	,
the	the	the
executive	execut	executive
director	director	director
of	of	of
South	south	South
African	african	African
-based	-base	-based
Gender	gender	Gender
Dynamix	dynamix	Dynamix
,	,	,
an	an	an
organization	organ	organization
that	that	that
advocates	advoc	advocate
for	for	for
the	the	the
human	human	human
rights	right	right
of	of	of
transgender	transgend	transgender
and	and	and
gender	gender	gender
-variant	-variant	-variant
people	peopl	people
,	,	,
had	had	had
sued	su	sued
Botswana	botswana	Botswana
for	for	for
refusing	refus	refusing
to	to	to
change	chang	change
the	the	the
gender	gender	gender
on	on	on
her	her	her
identity	ident	identity
document	document	document
from	from	from
male	male	male
to	to	to
female	femal	female
.	.	.

On	on	On
Tuesday	tuesday	Tuesday
,	,	,
Justice	justic	Justice
Leatile	leatil	Leatile
Dambe	damb	Dambe
ordered	order	ordered
that	that	that
Kgositau	kgositau	Kgositau
s	s	s
gender	gender	gender
be	be	be
changed	chang	changed
to	to	to
female	femal	female
in	in	in
the	the	the
national	nation	national
registry	registri	registry
within	within	within
seven	seven	seven
days	day	day
.	.	.

The	the	The
director	director	director
of	of	of
the	the	the
National	nation	National
Registration	registr	Registration
is	is	is
ordered	order	ordered
to	to	to
issue	issu	issue
the	the	the
applicant	applic	applicant
with	with	with
a	a	a
new	new	new
Identity	ident	Identity
Card	card	Card
identifying	identifi	identifying
her	her	her
as	as	a
a	a	a
female	femal	female
within	within	within
21	21	21
days	day	day
of	of	of
this	this	this
court	court	court
order	order	order
,	,	,
Dambe	damb	Dambe
ordered	order	ordered
.	.	.

In	in	In
court	court	court
papers	paper	paper
,	,	,
Kgositau	kgositau	Kgositau
argued	argu	argued
that	that	that
she	she	she
had	had	had
since	sinc	since
an	an	an
early	earli	early
age	age	age
identified	identifi	identified
as	as	a
a	a	a
woman	woman	woman
and	and	and
that	that	that
the	the	the
different	differ	different
gender	gender	gender
on	on	on
her	her	her
identity	ident	identity
document	document	document
was	was	wa
causing	caus	causing
her	her	her
emotional	emot	emotional
distress	distress	distress
and	and	and
increased	increas	increased
her	her	her
vulnerability	vulner	vulnerability
to	to	to
abuse	abus	abuse
and	and	and
violence	violenc	violence
.	.	.

The	the	The
application	applic	application
included	includ	included
supporting	support	supporting
evidence	evid	evidence
from	from	from
her	her	her
mother	mother	mother
,	,	,
siblings	sibl	sibling
and	and	and
relatives	relat	relative
,	,	,
as	as	a
well	well	well
as	as	a
psychological	psycholog	psychological
and	and	and
medical	medic	medical
evidence	evid	evidence
to	to	to
the	the	the
effect	effect	effect
that	that	that
her	her	her
innate	innat	innate
gender	gender	gender
identity	ident	identity
is	is	is
,	,	,
and	and	and
has	has	ha
since	sinc	since
an	an	an
early	earli	early
age	age	age
,	,	,
always	alway	always
been	been	been
female	femal	female
and	and	and
that	that	that
her	her	her
family	famili	family
has	has	ha
embraced	embrac	embraced
her	her	her
and	and	and
loved	love	loved
her	her	her
as	as	a
a	a	a
woman	woman	woman
.	.	.

In	in	In
2014	2014	2014
,	,	,
a	a	a
judge	judg	judge
overturned	overturn	overturned
a	a	a
government	govern	government
ban	ban	ban
on	on	on
a	a	a
gay	gay	gay
rights	right	right
lobbying	lobbi	lobbying
group	group	group
,	,	,
ruling	rule	ruling
that	that	that
Lesbians	lesbian	Lesbians
,	,	,
Gays	gay	Gays
and	and	and
Bisexuals	bisexu	Bisexuals
of	of	of
Botswana	botswana	Botswana
be	be	be
allowed	allow	allowed
to	to	to
register	regist	register
and	and	and
campaign	campaign	campaign
for	for	for
changes	chang	change
to	to	to
legislation	legisl	legislation
.	.	.

However	howev	However
,	,	,
it	it	it
reiterated	reiter	reiterated
that	that	that
it	it	it
was	was	wa
still	still	still
illegal	illeg	illegal
to	to	to
engage	engag	engage
in	in	in
homosexual	homosexu	homosexual
acts	act	act
.	.	.

