PHNOM	phnom	PHNOM
PENH	penh	PENH
Reuters	reuter	Reuters
-	-	-
Around	around	Around
half	half	half
the	the	the
opposition	opposit	opposition
members	member	member
of	of	of
Cambodia	cambodia	Cambodia
s	s	s
parliament	parliament	parliament
have	have	have
left	left	left
the	the	the
country	countri	country
in	in	in
fear	fear	fear
of	of	of
a	a	a
crackdown	crackdown	crackdown
by	by	by
Prime	prime	Prime
Minister	minist	Minister
Hun	hun	Hun
Sen	sen	Sen
s	s	s
government	govern	government
,	,	,
a	a	a
deputy	deputi	deputy
party	parti	party
leader	leader	leader
said	said	said
.	.	.

The	the	The
leader	leader	leader
of	of	of
the	the	the
Cambodia	cambodia	Cambodia
National	nation	National
Rescue	rescu	Rescue
Party	parti	Party
CNRP	cnrp	CNRP
,	,	,
Kem	kem	Kem
Sokha	sokha	Sokha
,	,	,
was	was	wa
arrested	arrest	arrested
on	on	on
Sept	sept	Sept
.	.	.

3	3	3
and	and	and
charged	charg	charged
with	with	with
treason	treason	treason
for	for	for
an	an	an
alleged	alleg	alleged
plot	plot	plot
to	to	to
take	take	take
power	power	power
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
help	help	help
.	.	.

The	the	The
government	govern	government
has	has	ha
said	said	said
there	there	there
could	could	could
be	be	be
more	more	more
arrests	arrest	arrest
linked	link	linked
to	to	to
the	the	the
alleged	alleg	alleged
plot	plot	plot
,	,	,
which	which	which
the	the	the
opposition	opposit	opposition
says	say	say
is	is	is
just	just	just
a	a	a
ploy	ploy	ploy
to	to	to
ensure	ensur	ensure
Hun	hun	Hun
Sen	sen	Sen
keeps	keep	keep
his	his	his
more	more	more
than	than	than
three	three	three
-decade	-decad	-decade
hold	hold	hold
on	on	on
power	power	power
in	in	in
next	next	next
year	year	year
s	s	s
general	general	general
election	elect	election
.	.	.

Hun	hun	Hun
Sen	sen	Sen
s	s	s
ruling	rule	ruling
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
has	has	ha
a	a	a
slim	slim	slim
majority	major	majority
in	in	in
the	the	the
123	123	123
-member	-member	-member
parliament	parliament	parliament
,	,	,
which	which	which
voted	vote	voted
on	on	on
Sept	sept	Sept
.	.	.

11	11	11
to	to	to
allow	allow	allow
the	the	the
prosecution	prosecut	prosecution
of	of	of
Kem	kem	Kem
Sokha	sokha	Sokha
in	in	in
a	a	a
vote	vote	vote
boycotted	boycot	boycotted
by	by	by
opposition	opposit	opposition
members	member	member
.	.	.

About	about	About
half	half	half
are	are	are
out	out	out
of	of	of
the	the	the
country	countri	country
in	in	in
fear	fear	fear
,	,	,
Mu	mu	Mu
Sochua	sochua	Sochua
,	,	,
one	one	one
of	of	of
three	three	three
deputies	deputi	deputy
to	to	to
Kem	kem	Kem
Sokha	sokha	Sokha
told	told	told
Reuters	reuter	Reuters
on	on	on
Friday	friday	Friday
.	.	.

I	i	I
m	m	m
taking	take	taking
my	my	my
chances	chanc	chance
.	.	.

We	we	We
cannot	cannot	cannot
live	live	live
in	in	in
fear	fear	fear
and	and	and
let	let	let
the	the	the
fear	fear	fear
paralyze	paralyz	paralyze
us	us	u
.	.	.

She	she	She
said	said	said
the	the	the
party	parti	party
was	was	wa
still	still	still
in	in	in
contact	contact	contact
with	with	with
those	those	those
members	member	member
outside	outsid	outside
the	the	the
country	countri	country
as	as	a
the	the	the
opposition	opposit	opposition
tries	tri	try
to	to	to
rally	ralli	rally
international	intern	international
pressure	pressur	pressure
on	on	on
the	the	the
government	govern	government
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
ruling	rule	ruling
party	parti	party
said	said	said
it	it	it
was	was	wa
an	an	an
internal	intern	internal
issue	issu	issue
for	for	for
the	the	the
CNRP	cnrp	CNRP
if	if	if
its	it	it
members	member	member
were	were	were
abroad	abroad	abroad
.	.	.

Spokesman	spokesman	Spokesman
So	so	So
Eysan	eysan	Eysan
said	said	said
the	the	the
CPP	cpp	CPP
believed	believ	believed
in	in	in
a	a	a
culture	cultur	culture
of	of	of
dialogue	dialogu	dialogue
but	but	but
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
criminal	crimin	criminal
act	act	act
had	had	had
destroyed	destroy	destroyed
it	it	it
.	.	.

The	the	The
ship	ship	ship
has	has	ha
left	left	left
the	the	the
port	port	port
so	so	so
it	it	it
s	s	s
already	alreadi	already
too	too	too
late	late	late
,	,	,
said	said	said
Sok	sok	Sok
Eysan	eysan	Eysan
.	.	.

The	the	The
government	govern	government
has	has	ha
said	said	said
Kem	kem	Kem
Sokha	sokha	Sokha
s	s	s
party	parti	party
could	could	could
be	be	be
dissolved	dissolv	dissolved
if	if	if
it	it	it
doesn	doesn	doesn
t	t	t
drop	drop	drop
him	him	him
as	as	a
its	it	it
leader	leader	leader
,	,	,
something	someth	something
the	the	the
CNRP	cnrp	CNRP
has	has	ha
said	said	said
it	it	it
will	will	will
not	not	not
do	do	do
.	.	.

While	while	While
Western	western	Western
