SEOUL	seoul	SEOUL
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
told	told	told
South	south	South
Korea	korea	Korea
on	on	on
Saturday	saturday	Saturday
he	he	he
had	had	had
explained	explain	explained
to	to	to
China	china	China
s	s	s
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
America	america	America
s	s	s
position	posit	position
on	on	on
the	the	the
deployment	deploy	deployment
of	of	of
an	an	an
anti	anti	anti
-missile	-missil	-missile
defense	defens	defense
system	system	system
to	to	to
South	south	South
Korea	korea	Korea
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
from	from	from
South	south	South
Korea	korea	Korea
s	s	s
acting	act	acting
leader	leader	leader
.	.	.

Trump	trump	Trump
informed	inform	informed
South	south	South
Korean	korean	Korean
Prime	prime	Prime
Minister	minist	Minister
Hwang	hwang	Hwang
Kyo	kyo	Kyo
-ahn	-ahn	-ahn
in	in	in
a	a	a
Saturday	saturday	Saturday
telephone	telephon	telephone
call	call	call
of	of	of
his	his	his
summit	summit	summit
discussion	discuss	discussion
with	with	with
Xi	xi	Xi
.	.	.
China	china	China
has	has	ha
opposed	oppos	opposed
the	the	the
deployment	deploy	deployment
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-supplied	-suppli	-supplied
High	high	High
Altitude	altitud	Altitude
Area	area	Area
Defense	defens	Defense
THAAD	thaad	THAAD
in	in	in
South	south	South
Korea	korea	Korea
,	,	,
arguing	argu	arguing
it	it	it
could	could	could
threaten	threaten	threaten
its	it	it
security	secur	security
,	,	,
but	but	but
South	south	South
Korea	korea	Korea
and	and	and
the	the	the
United	unit	United
States	state	States
say	say	say
it	it	it
is	is	is
aimed	aim	aimed
at	at	at
countering	counter	countering
North	north	North
Korea	korea	Korea
s	s	s
missile	missil	missile
threat	threat	threat
.	.	.

China	china	China
has	has	ha
increased	increas	increased
pressure	pressur	pressure
and	and	and
imposed	impos	imposed
restrictions	restrict	restriction
on	on	on
some	some	some
South	south	South
Korean	korean	Korean
companies	compani	company
doing	do	doing
business	busi	business
in	in	in
China	china	China
,	,	,
which	which	which
led	led	led
many	mani	many
in	in	in
the	the	the
South	south	South
to	to	to
believe	believ	believe
Beijing	beij	Beijing
was	was	wa
retaliating	retali	retaliating
against	against	against
the	the	the
deployment	deploy	deployment
of	of	of
the	the	the
missile	missil	missile
system	system	system
.	.	.

President	presid	President
Trump	trump	Trump
said	said	said
he	he	he
and	and	and
President	presid	President
Xi	xi	Xi
held	held	held
in	in	in
-depth	-depth	-depth
discussions	discuss	discussion
on	on	on
the	the	the
seriousness	serious	seriousness
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
problem	problem	problem
and	and	and
how	how	how
to	to	to
respond	respond	respond
to	to	to
it	it	it
,	,	,
and	and	and
also	also	also
said	said	said
he	he	he
had	had	had
conveyed	convey	conveyed
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
position	posit	position
on	on	on
the	the	the
THAAD	thaad	THAAD
deployment	deploy	deployment
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.

Trump	trump	Trump
pressed	press	pressed
Xi	xi	Xi
to	to	to
do	do	do
more	more	more
to	to	to
curb	curb	curb
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
programme	programm	programme
in	in	in
their	their	their
summit	summit	summit
meeting	meet	meeting
at	at	at
Trump	trump	Trump
s	s	s
Mar	mar	Mar
-a-Lago	-a-lago	-a-Lago
resort	resort	resort
in	in	in
Florida	florida	Florida
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
said	said	said
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
began	began	began
deployment	deploy	deployment
of	of	of
the	the	the
THAAD	thaad	THAAD
system	system	system
in	in	in
March	march	March
,	,	,
a	a	a
day	day	day
after	after	after
the	the	the
North	north	North
test	test	test
-fired	-fire	-fired
four	four	four
ballistic	ballist	ballistic
missiles	missil	missile
.	.	.

China	china	China
has	has	ha
not	not	not
directly	direct	directly
said	said	said
it	it	it
is	is	is
targeting	target	targeting
South	south	South
Korean	korean	Korean
companies	compani	company
.	.	.

