AMMAN	amman	AMMAN
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
forces	forc	force
said	said	said
on	on	on
Saturday	saturday	Saturday
they	they	they
had	had	had
seized	seiz	seized
a	a	a
major	major	major
natural	natur	natural
gas	gas	gas
field	field	field
in	in	in
Syria	syria	Syria
s	s	s
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
from	from	from
Islamic	islam	Islamic
State	state	State
militants	milit	militant
in	in	in
rapid	rapid	rapid
advances	advanc	advance
since	sinc	since
the	the	the
start	start	start
of	of	of
an	an	an
operation	oper	operation
earlier	earlier	earlier
this	this	this
month	month	month
to	to	to
capture	captur	capture
areas	area	area
east	east	east
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
.	.	.
Commander	command	Commander
Ahmed	ahm	Ahmed
Abu	abu	Abu
Khawla	khawla	Khawla
told	told	told
Reuters	reuter	Reuters
that	that	that
the	the	the
Conoco	conoco	Conoco
gas	gas	gas
field	field	field
was	was	wa
the	the	the
first	first	first
of	of	of
its	it	it
kind	kind	kind
taken	taken	taken
by	by	by
the	the	the
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
,	,	,
since	sinc	since
it	it	it
began	began	began
an	an	an
offensive	offens	offensive
earlier	earlier	earlier
this	this	this
month	month	month
to	to	to
capture	captur	capture
the	the	the
eastern	eastern	eastern
province	provinc	province
.	.	.
This	this	This
is	is	is
the	the	the
first	first	first
gas	gas	gas
or	or	or
oil	oil	oil
field	field	field
in	in	in
the	the	the
campaign	campaign	campaign
which	which	which
we	we	we
have	have	have
liberated	liber	liberated
,	,	,
said	said	said
the	the	the
commander	command	commander
of	of	of
the	the	the
group	group	group
whose	whose	whose
campaign	campaign	campaign
is	is	is
in	in	in
parallel	parallel	parallel
with	with	with
an	an	an
ongoing	ongo	ongoing
battle	battl	battle
for	for	for
the	the	the
nearby	nearbi	nearby
Raqqa	raqqa	Raqqa
city	citi	city
.	.	.
The	the	The
Conoco	conoco	Conoco
field	field	field
is	is	is
named	name	named
for	for	for
the	the	the
American	american	American
company	compani	company
which	which	which
discovered	discov	discovered
the	the	the
gas	gas	gas
reserves	reserv	reserve
and	and	and
built	built	built
a	a	a
processing	process	processing
plant	plant	plant
there	there	there
.	.	.
It	it	It
has	has	ha
been	been	been
the	the	the
target	target	target
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
strikes	strike	strike
and	and	and
was	was	wa
used	use	used
to	to	to
supply	suppli	supply
cooking	cook	cooking
gas	gas	gas
canisters	canist	canister
for	for	for
household	household	household
use	use	use
.	.	.
Before	befor	Before
the	the	the
conflict	conflict	conflict
it	it	it
supplied	suppli	supplied
gas	gas	gas
to	to	to
power	power	power
stations	station	station
.	.	.
In	in	In
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
Islamic	islam	Islamic
State	state	State
is	is	is
battling	battl	battling
two	two	two
separate	separ	separate
offensives	offens	offensive
,	,	,
one	one	one
launched	launch	launched
by	by	by
the	the	the
SDF	sdf	SDF
and	and	and
the	the	the
other	other	other
by	by	by
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
.	.	.
Syrian	syrian	Syrian
troops	troop	troop
supported	support	supported
by	by	by
Iranian	iranian	Iranian
-backed	-back	-backed
militias	militia	militia
have	have	have
also	also	also
crossed	cross	crossed
to	to	to
the	the	the
eastern	eastern	eastern
side	side	side
of	of	of
the	the	the
river	river	river
,	,	,
increasing	increas	increasing
their	their	their
presence	presenc	presence
in	in	in
an	an	an
area	area	area
where	where	where
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
have	have	have
also	also	also
advanced	advanc	advanced
.	.	.
The	the	The
assaults	assault	assault
by	by	by
the	the	the
Russian	russian	Russian
-backed	-back	-backed
Syrian	syrian	Syrian
army	armi	army
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
SDF	sdf	SDF
have	have	have
at	at	at
times	time	time
raised	rais	raised
fears	fear	fear
of	of	of
clashes	clash	clash
that	that	that
could	could	could
stoke	stoke	stoke
tensions	tension	tension
between	between	between
the	the	the
competing	compet	competing
world	world	world
powers	power	power
.	.	.
Islamic	islam	Islamic
State	state	State
s	s	s
last	last	last
major	major	major
stronghold	stronghold	stronghold
,	,	,
the	the	the
cities	citi	city
,	,	,
towns	town	town
and	and	and
farms	farm	farm
in	in	in
the	the	the
fertile	fertil	fertile
strip	strip	strip
along	along	along
the	the	the
Euphrates	euphrat	Euphrates
are	are	are
fast	fast	fast
becoming	becom	becoming
the	the	the
focus	focus	focus
of	of	of
Syria	syria	Syria
s	s	s
war	war	war
.	.	.
Abu	abu	Abu
Khawla	khawla	Khawla
said	said	said
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
their	their	their
allies	alli	ally
were	were	were
within	within	within
four	four	four
km	km	km
2	2	2
.	.	.
5	5	5
miles	mile	mile
of	of	of
the	the	the
SDF	sdf	SDF
positions	posit	position
.	.	.
Russia	russia	Russia
said	said	said
on	on	on
Thursday	thursday	Thursday
it	it	it
had	had	had
warned	warn	warned
the	the	the
United	unit	United
States	state	States
it	it	it
would	would	would
target	target	target
areas	area	area
in	in	in
Syria	syria	Syria
where	where	where
U	u	U
.	.	.
S	s	S
.	.	.
special	special	special
forces	forc	force
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militia	militia	militia
were	were	were
operating	oper	operating
if	if	if
its	it	it
own	own	own
forces	forc	force
came	came	came
under	under	under
fire	fire	fire
from	from	from
them	them	them
,	,	,
something	someth	something
it	it	it
said	said	said
had	had	had
already	alreadi	already
happened	happen	happened
twice	twice	twice
.	.	.
L5N1M235E	l5n1m235e	L5N1M235E
The	the	The
Russian	russian	Russian
warning	warn	warning
underscored	underscor	underscored
growing	grow	growing
tensions	tension	tension
over	over	over
Syria	syria	Syria
between	between	between
Moscow	moscow	Moscow
and	and	and
Washington	washington	Washington
.	.	.
While	while	While
both	both	both
oppose	oppos	oppose
Islamic	islam	Islamic
State	state	State
,	,	,
they	they	they
are	are	are
engaged	engag	engaged
,	,	,
via	via	via
proxies	proxi	proxy
,	,	,
in	in	in
a	a	a
race	race	race
for	for	for
strategic	strateg	strategic
influence	influenc	influence
and	and	and
potential	potenti	potential
resources	resourc	resource
in	in	in
the	the	the
form	form	form
of	of	of
oilfields	oilfield	oilfield
in	in	in
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
The	the	The
Syrian	syrian	Syrian
army	armi	army
s	s	s
command	command	command
said	said	said
in	in	in
a	a	a
statement	statement	statement
its	it	it
forces	forc	force
captured	captur	captured
at	at	at
least	least	least
44	44	44
villages	villag	village
and	and	and
towns	town	town
since	sinc	since
launching	launch	launching
two	two	two
weeks	week	week
ago	ago	ago
an	an	an
assault	assault	assault
into	into	into
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
that	that	that
ended	end	ended
a	a	a
militant	milit	militant
siege	sieg	siege
which	which	which
had	had	had
lasted	last	lasted
three	three	three
years	year	year
.	.	.
On	on	On
Saturday	saturday	Saturday
the	the	the
army	armi	army
also	also	also
announced	announc	announced
it	it	it
took	took	took
Maadan	maadan	Maadan
town	town	town
,	,	,
in	in	in
southern	southern	southern
Raqqa	raqqa	Raqqa
along	along	along
the	the	the
provincial	provinci	provincial
boundary	boundari	boundary
with	with	with
Deir	deir	Deir
al	al	al
Zor	zor	Zor
province	provinc	province
.	.	.
Army	armi	Army
commanders	command	commander
however	howev	however
say	say	say
militants	milit	militant
in	in	in
Hweija	hweija	Hweija
Sakr	sakr	Sakr
,	,	,
southeast	southeast	southeast
of	of	of
the	the	the
river	river	river
are	are	are
slowing	slow	slowing
their	their	their
advance	advanc	advance
,	,	,
hiding	hide	hiding
amid	amid	amid
thick	thick	thick
vegetation	veget	vegetation
and	and	and
waging	wage	waging
hit	hit	hit
and	and	and
run	run	run
ambushes	ambush	ambush
and	and	and
suicide	suicid	suicide
bombings	bomb	bombing
.	.	.
Islamic	islam	Islamic
State	state	State
s	s	s
Amaq	amaq	Amaq
newsagency	newsag	newsagency
said	said	said
they	they	they
had	had	had
killed	kill	killed
and	and	and
injured	injur	injured
at	at	at
least	least	least
seventy	seventi	seventy
army	armi	army
fighters	fighter	fighter
in	in	in
a	a	a
suicide	suicid	suicide
bombing	bomb	bombing
attack	attack	attack
on	on	on
an	an	an
army	armi	army
convoy	convoy	convoy
in	in	in
the	the	the
area	area	area
.	.	.
Colonel	colonel	Colonel
Ryan	ryan	Ryan
Dillon	dillon	Dillon
,	,	,
spokesman	spokesman	spokesman
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
fighting	fight	fighting
Islamic	islam	Islamic
State	state	State
,	,	,
denied	deni	denied
that	that	that
Washington	washington	Washington
was	was	wa
in	in	in
a	a	a
race	race	race
with	with	with
Moscow	moscow	Moscow
over	over	over
the	the	the
oil	oil	oil
-rich	-rich	-rich
province	provinc	province
,	,	,
saying	say	saying
contacts	contact	contact
with	with	with
the	the	the
Russian	russian	Russian
military	militari	military
were	were	were
intensifying	intensifi	intensifying
to	to	to
avoid	avoid	avoid
confrontation	confront	confrontation
.	.	.
From	from	From
the	the	the
coalition	coalit	coalition
s	s	s
perspective	perspect	perspective
it	it	it
has	has	ha
not	not	not
been	been	been
a	a	a
race	race	race
,	,	,
we	we	we
are	are	are
not	not	not
in	in	in
the	the	the
land	land	land
-grabbing	-grab	-grabbing
business	busi	business
,	,	,
Dillon	dillon	Dillon
told	told	told
Reuters	reuter	Reuters
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
forces	forc	force
were	were	were
avoiding	avoid	avoiding
the	the	the
eastern	eastern	eastern
bank	bank	bank
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
right	right	right
now	now	now
where	where	where
the	the	the
Syrian	syrian	Syrian
army	armi	army
was	was	wa
fighting	fight	fighting
the	the	the
jihadists	jihadist	jihadist
and	and	and
seeking	seek	seeking
to	to	to
expand	expand	expand
control	control	control
in	in	in
the	the	the
area	area	area
northeast	northeast	northeast
of	of	of
the	the	the
river	river	river
still	still	still
held	held	held
by	by	by
the	the	the
militants	milit	militant
,	,	,
Dillon	dillon	Dillon
said	said	said
.	.	.
The	the	The
eventual	eventu	eventual
goal	goal	goal
was	was	wa
to	to	to
move	move	move
toward	toward	toward
the	the	the
Iraqi	iraqi	Iraqi
border	border	border
near	near	near
the	the	the
main	main	main
militant	milit	militant
strongholds	stronghold	stronghold
of	of	of
al	al	al
-Mayadeen	-mayadeen	-Mayadeen
,	,	,
about	about	about
80	80	80
km	km	km
50	50	50
miles	mile	mile
west	west	west
of	of	of
the	the	the
Iraqi	iraqi	Iraqi
border	border	border
and	and	and
al	al	al
-Bukamal	-bukam	-Bukamal
,	,	,
both	both	both
large	larg	large
urban	urban	urban
centres	centr	centre
where	where	where
the	the	the
Euphrates	euphrat	Euphrates
flows	flow	flow
through	through	through
.	.	.
The	the	The
SDF	sdf	SDF
are	are	are
not	not	not
moving	move	moving
toward	toward	toward
the	the	the
banks	bank	bank
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
right	right	right
now	now	now
near	near	near
the	the	the
city	citi	city
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
.	.	.
They	they	They
are	are	are
moving	move	moving
east	east	east
toward	toward	toward
the	the	the
Iraqi	iraqi	Iraqi
border	border	border
.	.	.
.	.	.
.	.	.
and	and	and
continuing	continu	continuing
to	to	to
push	push	push
and	and	and
expand	expand	expand
into	into	into
ISIS	isi	ISIS
-held	-held	-held
territory	territori	territory
,	,	,
he	he	he
added	ad	added
.	.	.
Our	our	Our
goal	goal	goal
as	as	a
I	i	I
have	have	have
said	said	said
a	a	a
dozen	dozen	dozen
times	time	time
is	is	is
fighting	fight	fighting
ISIS	isi	ISIS
.	.	.
We	we	We
don	don	don
t	t	t
have	have	have
a	a	a
fight	fight	fight
with	with	with
the	the	the
Syrian	syrian	Syrian
regime	regim	regime
.	.	.
We	we	We
are	are	are
not	not	not
in	in	in
a	a	a
fight	fight	fight
with	with	with
the	the	the
Russians	russian	Russians
.	.	.
We	we	We
are	are	are
there	there	there
to	to	to
fight	fight	fight
ISIS	isi	ISIS
and	and	and
that	that	that
s	s	s
what	what	what
we	we	we
are	are	are
going	go	going
to	to	to
do	do	do
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
army	armi	army
spokesman	spokesman	spokesman
said	said	said
.	.	.
