BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
The	the	The
youth	youth	youth
wing	wing	wing
of	of	of
China	china	China
s	s	s
ruling	rule	ruling
Communist	communist	Communist
Party	parti	Party
on	on	on
Monday	monday	Monday
said	said	said
it	it	it
had	had	had
complained	complain	complained
to	to	to
social	social	social
network	network	network
Twitter	twitter	Twitter
about	about	about
a	a	a
fake	fake	fake
account	account	account
set	set	set
up	up	up
in	in	in
its	it	it
name	name	name
that	that	that
has	has	ha
tweeted	tweet	tweeted
sarcastic	sarcast	sarcastic
comments	comment	comment
about	about	about
the	the	the
Communist	communist	Communist
Party	parti	Party
.	.	.

China	china	China
blocks	block	block
Twitter	twitter	Twitter
and	and	and
other	other	other
Western	western	Western
sites	site	site
,	,	,
such	such	such
as	as	a
Facebook	facebook	Facebook
and	and	and
Google	googl	Google
,	,	,
but	but	but
that	that	that
has	has	ha
not	not	not
stopped	stop	stopped
some	some	some
state	state	state
media	media	medium
and	and	and
government	govern	government
departments	depart	department
from	from	from
setting	set	setting
up	up	up
Twitter	twitter	Twitter
and	and	and
Facebook	facebook	Facebook
accounts	account	account
in	in	in
Chinese	chines	Chinese
and	and	and
English	english	English
as	as	a
they	they	they
seek	seek	seek
to	to	to
expand	expand	expand
their	their	their
global	global	global
footprint	footprint	footprint
.	.	.

In	in	In
a	a	a
brief	brief	brief
statement	statement	statement
on	on	on
its	it	it
Weibo	weibo	Weibo
account	account	account
,	,	,
China	china	China
s	s	s
answer	answer	answer
to	to	to
Twitter	twitter	Twitter
,	,	,
the	the	the
Youth	youth	Youth
League	leagu	League
labeled	label	labeled
the	the	the
@ComYouthLeague	@comyouthleagu	@ComYouthLeague
Twitter	twitter	Twitter
account	account	account
completely	complet	completely
fabricated	fabric	fabricated
,	,	,
saying	say	saying
it	it	it
had	had	had
asked	ask	asked
for	for	for
it	it	it
to	to	to
be	be	be
handled	handl	handled
.	.	.

The	the	The
statement	statement	statement
did	did	did
not	not	not
elaborate	elabor	elaborate
.	.	.

It	it	It
displayed	display	displayed
a	a	a
screenshot	screenshot	screenshot
of	of	of
the	the	the
account	account	account
with	with	with
the	the	the
phrase	phrase	phrase
fake	fake	fake
goods	good	good
stamped	stamp	stamped
across	across	across
it	it	it
in	in	in
Chinese	chines	Chinese
.	.	.

A	a	A
second	second	second
picture	pictur	picture
showed	show	showed
the	the	the
Youth	youth	Youth
League	leagu	League
s	s	s
official	offici	official
social	social	social
media	media	medium
accounts	account	account
,	,	,
including	includ	including
those	those	those
on	on	on
Weibo	weibo	Weibo
and	and	and
WeChat	wechat	WeChat
.	.	.

It	it	It
did	did	did
not	not	not
include	includ	include
any	ani	any
foreign	foreign	foreign
social	social	social
media	media	medium
sites	site	site
.	.	.

Twitter	twitter	Twitter
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.

The	the	The
account	account	account
the	the	the
Youth	youth	Youth
League	leagu	League
labeled	label	labeled
as	as	a
fake	fake	fake
sent	sent	sent
its	it	it
first	first	first
tweet	tweet	tweet
on	on	on
Sept	sept	Sept
.	.	.

12	12	12
,	,	,
and	and	and
has	has	ha
sent	sent	sent
10	10	10
tweets	tweet	tweet
to	to	to
date	date	date
.	.	.

One	one	One
linked	link	linked
to	to	to
an	an	an
article	articl	article
on	on	on
the	the	the
official	offici	official
Xinhua	xinhua	Xinhua
news	news	news
agency	agenc	agency
about	about	about
a	a	a
Chinese	chines	Chinese
being	be	being
detained	detain	detained
for	for	for
selling	sell	selling
VPN	vpn	VPN
services	servic	service
that	that	that
help	help	help
people	peopl	people
skirt	skirt	skirt
internet	internet	internet
curbs	curb	curb
and	and	and
asked	ask	asked
why	whi	why
people	peopl	people
needed	need	needed
to	to	to
do	do	do
this	this	this
,	,	,
if	if	if
China	china	China
had	had	had
such	such	such
a	a	a
wonderful	wonder	wonderful
internet	internet	internet
culture	cultur	culture
.	.	.

It	it	It
is	is	is
not	not	not
clear	clear	clear
who	who	who
set	set	set
up	up	up
the	the	the
account	account	account
,	,	,
but	but	but
it	it	it
calls	call	call
itself	itself	itself
the	the	the
Youth	youth	Youth
League	leagu	League
s	s	s
official	offici	official
Twitter	twitter	Twitter
account	account	account
and	and	and
carries	carri	carry
a	a	a
link	link	link
to	to	to
the	the	the
League	leagu	League
s	s	s
official	offici	official
website	websit	website
.	.	.

Adding	ad	Adding
to	to	to
the	the	the
confusion	confus	confusion
,	,	,
another	anoth	another
Twitter	twitter	Twitter
account	account	account
claiming	claim	claiming
to	to	to
be	be	be
the	the	the
Youth	youth	Youth
League	leagu	League
s	s	s
,	,	,
@ccylchina	@ccylchina	@ccylchina
,	,	,
was	was	wa
also	also	also
launched	launch	launched
last	last	last
week	week	week
,	,	,
though	though	though
its	it	it
content	content	content
conforms	conform	conforms
to	to	to
the	the	the
party	parti	party
s	s	s
point	point	point
of	of	of
view	view	view
.	.	.

Neither	neither	Neither
account	account	account
is	is	is
officially	offici	officially
verified	verifi	verified
by	by	by
Twitter	twitter	Twitter
.	.	.

The	the	The
Youth	youth	Youth
League	leagu	League
did	did	did
not	not	not
answer	answer	answer
telephone	telephon	telephone
calls	call	call
seeking	seek	seeking
comment	comment	comment
.	.	.

The	the	The
Youth	youth	Youth
League	leagu	League
has	has	ha
88	88	88
million	million	million
members	member	member
aged	age	aged
between	between	between
14	14	14
and	and	and
28	28	28
,	,	,
mainly	main	mainly
party	parti	party
and	and	and
government	govern	government
officials	offici	official
who	who	who
have	have	have
been	been	been
groomed	groom	groomed
for	for	for
decades	decad	decade
as	as	a
potential	potenti	potential
future	futur	future
rulers	ruler	ruler
.	.	.

With	with	With
more	more	more
than	than	than
5	5	5
million	million	million
followers	follow	follower
on	on	on
Weibo	weibo	Weibo
,	,	,
it	it	it
has	has	ha
aggressively	aggress	aggressively
courted	court	courted
Chinese	chines	Chinese
social	social	social
media	media	medium
,	,	,
extending	extend	extending
its	it	it
reach	reach	reach
to	to	to
platforms	platform	platform
previously	previous	previously
neglected	neglect	neglected
by	by	by
mainstream	mainstream	mainstream
propaganda	propaganda	propaganda
bodies	bodi	body
.	.	.

In	in	In
July	juli	July
,	,	,
the	the	the
Youth	youth	Youth
League	leagu	League
made	made	made
its	it	it
latest	latest	latest
online	onlin	online
foray	foray	foray
into	into	into
Netease	neteas	Netease
music	music	music
,	,	,
one	one	one
of	of	of
China	china	China
s	s	s
largest	largest	largest
online	onlin	online
music	music	music
streaming	stream	streaming
sites	site	site
,	,	,
with	with	with
songs	song	song
on	on	on
its	it	it
playlist	playlist	playlist
ranging	rang	ranging
from	from	from
the	the	the
Internationale	international	Internationale
to	to	to
raps	rap	rap
by	by	by
Taiwanese	taiwanes	Taiwanese
singing	sing	singing
sensation	sensat	sensation
Jay	jay	Jay
Chou	chou	Chou
.	.	.

