ATHERTON	atherton	ATHERTON
,	,	,
Calif	calif	Calif
.	.	.
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
on	on	on
Thursday	thursday	Thursday
called	call	called
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
decision	decis	decision
to	to	to
delay	delay	delay
implementation	implement	implementation
of	of	of
his	his	his
administration	administr	administration
s	s	s
Clean	clean	Clean
Power	power	Power
Plan	plan	Plan
unusual	unusu	unusual
and	and	and
expressed	express	expressed
confidence	confid	confidence
that	that	that
the	the	the
White	white	White
House	hous	House
would	would	would
prevail	prevail	prevail
.	.	.
We	we	We
re	re	re
very	veri	very
confident	confid	confident
that	that	that
we	we	we
re	re	re
on	on	on
strong	strong	strong
legal	legal	legal
footing	foot	footing
here	here	here
,	,	,
he	he	he
told	told	told
a	a	a
group	group	group
of	of	of
Democratic	democrat	Democratic
donors	donor	donor
in	in	in
California	california	California
in	in	in
his	his	his
first	first	first
public	public	public
remarks	remark	remark
about	about	about
the	the	the
move	move	move
.	.	.
In	in	In
Washington	washington	Washington
,	,	,
Gina	gina	Gina
McCarthy	mccarthi	McCarthy
,	,	,
Obama	obama	Obama
s	s	s
head	head	head
of	of	of
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
,	,	,
told	told	told
state	state	state
energy	energi	energy
and	and	and
environmental	environment	environmental
regulators	regul	regulator
that	that	that
the	the	the
ruling	rule	ruling
is	is	is
not	not	not
going	go	going
to	to	to
slow	slow	slow
us	us	u
down	down	down
.	.	.
The	the	The
Supreme	suprem	Supreme
Court	court	Court
on	on	on
Tuesday	tuesday	Tuesday
delivered	deliv	delivered
a	a	a
blow	blow	blow
to	to	to
the	the	the
plan	plan	plan
,	,	,
the	the	the
centerpiece	centerpiec	centerpiece
of	of	of
Obama	obama	Obama
s	s	s
climate	climat	climate
change	chang	change
policy	polici	policy
and	and	and
backbone	backbon	backbone
of	of	of
his	his	his
administration	administr	administration
s	s	s
commitment	commit	commitment
to	to	to
cut	cut	cut
greenhouse	greenhous	greenhouse
gas	gas	gas
emissions	emiss	emission
pledged	pledg	pledged
last	last	last
year	year	year
in	in	in
Paris	pari	Paris
.	.	.
Obama	obama	Obama
said	said	said
the	the	the
Supreme	suprem	Supreme
Court	court	Court
had	had	had
in	in	in
fact	fact	fact
required	requir	required
the	the	the
EPA	epa	EPA
to	to	to
regulate	regul	regulate
carbon	carbon	carbon
emissions	emiss	emission
under	under	under
the	the	the
Clean	clean	Clean
Air	air	Air
Act	act	Act
if	if	if
they	they	they
were	were	were
shown	shown	shown
,	,	,
as	as	a
scientists	scientist	scientist
had	had	had
,	,	,
to	to	to
be	be	be
harmful	harm	harmful
to	to	to
public	public	public
health	health	health
.	.	.
He	he	He
said	said	said
some	some	some
people	peopl	people
had	had	had
commented	comment	commented
to	to	to
him	him	him
in	in	in
recent	recent	recent
days	day	day
that	that	that
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
decision	decis	decision
had	had	had
struck	struck	struck
down	down	down
the	the	the
Clean	clean	Clean
Power	power	Power
Plan	plan	Plan
.	.	.
That	that	That
s	s	s
not	not	not
true	true	true
.	.	.
So	so	So
don	don	don
t	t	t
despair	despair	despair
,	,	,
people	peopl	people
,	,	,
he	he	he
said	said	said
.	.	.
McCarthy	mccarthi	McCarthy
told	told	told
state	state	state
regulators	regul	regulator
tasked	task	tasked
with	with	with
complying	compli	complying
with	with	with
the	the	the
rule	rule	rule
she	she	she
is	is	is
confident	confid	confident
the	the	the
plan	plan	plan
will	will	will
survive	surviv	survive
the	the	the
legal	legal	legal
challenges	challeng	challenge
and	and	and
tried	tri	tried
to	to	to
boost	boost	boost
morale	moral	morale
among	among	among
the	the	the
officials	offici	official
.	.	.
I	i	I
want	want	want
you	you	you
to	to	to
do	do	do
as	as	a
I	i	I
am	am	am
doing	do	doing
,	,	,
McCarthy	mccarthi	McCarthy
told	told	told
the	the	the
crowd	crowd	crowd
.	.	.
Pick	pick	Pick
myself	myself	myself
up	up	up
,	,	,
rededicate	reded	rededicate
myself	myself	myself
and	and	and
tell	tell	tell
the	the	the
people	peopl	people
in	in	in
this	this	this
country	countri	country
that	that	that
we	we	we
are	are	are
there	there	there
to	to	to
serve	serv	serve
them	them	them
,	,	,
she	she	she
said	said	said
,	,	,
while	while	while
shaking	shake	shaking
her	her	her
fists	fist	fist
in	in	in
the	the	the
air	air	air
.	.	.
The	the	The
Supreme	suprem	Supreme
Court	court	Court
stay	stay	stay
was	was	wa
a	a	a
small	small	small
pause	paus	pause
in	in	in
what	what	what
has	has	ha
been	been	been
a	a	a
years	year	year
-long	-long	-long
effort	effort	effort
of	of	of
the	the	the
EPA	epa	EPA
and	and	and
states	state	state
to	to	to
get	get	get
the	the	the
Clean	clean	Clean
Power	power	Power
Plan	plan	Plan
off	off	off
the	the	the
ground	ground	ground
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
plan	plan	plan
was	was	wa
designed	design	designed
to	to	to
lower	lower	lower
carbon	carbon	carbon
emissions	emiss	emission
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
power	power	power
plants	plant	plant
by	by	by
2030	2030	2030
to	to	to
32	32	32
percent	percent	percent
below	below	below
2005	2005	2005
levels	level	level
.	.	.
The	the	The
Supreme	suprem	Supreme
Court	court	Court
ordered	order	ordered
a	a	a
delay	delay	delay
in	in	in
implementation	implement	implementation
until	until	until
legal	legal	legal
challenges	challeng	challenge
to	to	to
the	the	the
regulation	regul	regulation
are	are	are
completed	complet	completed
.	.	.
This	this	This
Supreme	suprem	Supreme
Court	court	Court
has	has	ha
said	said	said
the	the	the
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
is	is	is
required	requir	required
to	to	to
regulate	regul	regulate
carbon	carbon	carbon
emissions	emiss	emission
if	if	if
it	it	it
s	s	s
a	a	a
threat	threat	threat
to	to	to
the	the	the
public	public	public
health	health	health
.	.	.
And	and	And
we	we	we
clearly	clear	clearly
can	can	can
show	show	show
that	that	that
that	that	that
s	s	s
the	the	the
case	case	case
,	,	,
Obama	obama	Obama
said	said	said
