TOKYO	tokyo	TOKYO
Reuters	reuter	Reuters
-	-	-
Japan	japan	Japan
s	s	s
Prime	prime	Prime
Minister	minist	Minister
Shinzo	shinzo	Shinzo
Abe	abe	Abe
may	may	may
have	have	have
won	won	won
a	a	a
major	major	major
election	elect	election
victory	victori	victory
on	on	on
Sunday	sunday	Sunday
,	,	,
but	but	but
half	half	half
the	the	the
people	peopl	people
surveyed	survey	surveyed
post	post	post
-election	-elect	-election
by	by	by
the	the	the
Asahi	asahi	Asahi
newspaper	newspap	newspaper
don	don	don
t	t	t
want	want	want
him	him	him
to	to	to
stay	stay	stay
prime	prime	prime
minister	minist	minister
.	.	.

It	it	It
seems	seem	seems
the	the	the
election	elect	election
victory	victori	victory
has	has	ha
boosted	boost	boosted
the	the	the
approval	approv	approval
rating	rate	rating
for	for	for
Abe	abe	Abe
s	s	s
administration	administr	administration
,	,	,
but	but	but
not	not	not
him	him	him
.	.	.

Public	public	Public
support	support	support
rate	rate	rate
for	for	for
Abe	abe	Abe
s	s	s
administration	administr	administration
grew	grew	grew
to	to	to
42	42	42
percent	percent	percent
in	in	in
the	the	the
survey	survey	survey
,	,	,
conducted	conduct	conducted
between	between	between
Oct	oct	Oct
.	.	.

23	23	23
and	and	and
24	24	24
,	,	,
up	up	up
from	from	from
38	38	38
percent	percent	percent
in	in	in
its	it	it
previous	previous	previous
survey	survey	survey
in	in	in
mid	mid	mid
-Oct	-oct	-Oct
.	.	.

But	but	But
47	47	47
percent	percent	percent
of	of	of
respondents	respond	respondent
don	don	don
t	t	t
want	want	want
Abe	abe	Abe
to	to	to
continue	continu	continue
as	as	a
prime	prime	prime
minister	minist	minister
,	,	,
exceeding	exceed	exceeding
37	37	37
percent	percent	percent
who	who	who
want	want	want
him	him	him
to	to	to
stay	stay	stay
,	,	,
said	said	said
the	the	the
survey	survey	survey
published	publish	published
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Abe	abe	Abe
s	s	s
disapproval	disapprov	disapproval
rating	rate	rating
slipped	slip	slipped
to	to	to
39	39	39
percent	percent	percent
from	from	from
40	40	40
percent	percent	percent
,	,	,
according	accord	according
to	to	to
the	the	the
Asahi	asahi	Asahi
s	s	s
survey	survey	survey
.	.	.

Abe	abe	Abe
is	is	is
due	due	due
to	to	to
remain	remain	remain
prime	prime	prime
minister	minist	minister
until	until	until
September	septemb	September
2018	2018	2018
when	when	when
his	his	his
tenure	tenur	tenure
as	as	a
Liberal	liber	Liberal
Democratic	democrat	Democratic
Party	parti	Party
LDP	ldp	LDP
leader	leader	leader
ends	end	end
and	and	and
a	a	a
new	new	new
vote	vote	vote
for	for	for
LDP	ldp	LDP
leader	leader	leader
is	is	is
held	held	held
Abe	abe	Abe
s	s	s
LDP	ldp	LDP
-led	-led	-led
coalition	coalit	coalition
won	won	won
a	a	a
combined	combin	combined
313	313	313
seats	seat	seat
in	in	in
Sunday	sunday	Sunday
s	s	s
national	nation	national
election	elect	election
,	,	,
keeping	keep	keeping
its	it	it
two	two	two
-thirds	-third	-thirds
super	super	super
majority	major	majority
in	in	in
the	the	the
465	465	465
-member	-member	-member
lower	lower	lower
house	hous	house
,	,	,
local	local	local
media	media	medium
said	said	said
.	.	.

Several	sever	Several
experts	expert	expert
noted	note	noted
the	the	the
ruling	rule	ruling
bloc	bloc	bloc
s	s	s
win	win	win
was	was	wa
less	less	le
a	a	a
victory	victori	victory
for	for	for
the	the	the
long	long	long
-ruling	-rule	-ruling
LDP	ldp	LDP
than	than	than
a	a	a
defeat	defeat	defeat
for	for	for
a	a	a
divided	divid	divided
opposition	opposit	opposition
.	.	.

The	the	The
Asahi	asahi	Asahi
s	s	s
survey	survey	survey
also	also	also
showed	show	showed
51	51	51
percent	percent	percent
of	of	of
respondents	respond	respondent
said	said	said
the	the	the
number	number	number
of	of	of
seats	seat	seat
the	the	the
ruling	rule	ruling
bloc	bloc	bloc
s	s	s
won	won	won
was	was	wa
too	too	too
many	mani	many
,	,	,
while	while	while
32	32	32
percent	percent	percent
expressed	express	expressed
the	the	the
seat	seat	seat
number	number	number
was	was	wa
good	good	good
.	.	.

And	and	And
54	54	54
percent	percent	percent
of	of	of
respondents	respond	respondent
said	said	said
they	they	they
were	were	were
concerned	concern	concerned
about	about	about
Abe	abe	Abe
s	s	s
policies	polici	policy
,	,	,
exceeding	exceed	exceeding
29	29	29
percent	percent	percent
who	who	who
said	said	said
they	they	they
have	have	have
positive	posit	positive
expectations	expect	expectation
,	,	,
the	the	the
Asahi	asahi	Asahi
said	said	said
.	.	.

A	a	A
Yomiuri	yomiuri	Yomiuri
newspaper	newspap	newspaper
survey	survey	survey
on	on	on
Wednesday	wednesday	Wednesday
showed	show	showed
the	the	the
approval	approv	approval
rating	rate	rating
for	for	for
Abe	abe	Abe
s	s	s
administration	administr	administration
was	was	wa
up	up	up
at	at	at
52	52	52
percent	percent	percent
from	from	from
41	41	41
percent	percent	percent
in	in	in
its	it	it
previous	previous	previous
survey	survey	survey
early	earli	early
this	this	this
month	month	month
.	.	.

Asked	ask	Asked
reasons	reason	reason
for	for	for
the	the	the
LDP	ldp	LDP
s	s	s
winning	win	winning
majority	major	majority
on	on	on
its	it	it
own	own	own
,	,	,
only	onli	only
six	six	six
percent	percent	percent
said	said	said
it	it	it
was	was	wa
high	high	high
hopes	hope	hope
for	for	for
Abe	abe	Abe
,	,	,
10	10	10
percent	percent	percent
said	said	said
appreciation	appreci	appreciation
of	of	of
ruling	rule	ruling
parties	parti	party
achievements	achiev	achievement
while	while	while
44	44	44
percent	percent	percent
cited	cite	cited
fragmentation	fragment	fragmentation
of	of	of
opposition	opposit	opposition
,	,	,
the	the	the
Yomiuri	yomiuri	Yomiuri
said	said	said
.	.	.

