ELKHART	elkhart	ELKHART
,	,	,
Ind	ind	Ind
.	.	.
Reuters	reuter	Reuters
-	-	-
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
the	the	the
decision	decis	decision
to	to	to
direct	direct	direct
public	public	public
schools	school	school
to	to	to
allow	allow	allow
transgender	transgend	transgender
students	student	student
to	to	to
use	use	use
the	the	the
bathrooms	bathroom	bathroom
of	of	of
their	their	their
choice	choic	choice
was	was	wa
based	base	based
on	on	on
the	the	the
law	law	law
and	and	and
the	the	the
best	best	best
interests	interest	interest
of	of	of
the	the	the
children	children	child
.	.	.
Speaking	speak	Speaking
at	at	at
a	a	a
town	town	town
hall	hall	hall
event	event	event
broadcast	broadcast	broadcast
by	by	by
the	the	the
PBS	pbs	PBS
television	televis	television
network	network	network
,	,	,
Obama	obama	Obama
,	,	,
a	a	a
Democrat	democrat	Democrat
,	,	,
said	said	said
the	the	the
federal	feder	federal
government	govern	government
waded	wade	waded
into	into	into
the	the	the
controversial	controversi	controversial
issue	issu	issue
after	after	after
school	school	school
districts	district	district
asked	ask	asked
the	the	the
Education	educ	Education
Department	depart	Department
for	for	for
guidance	guidanc	guidance
.	.	.
Republicans	republican	Republicans
have	have	have
blasted	blast	blasted
the	the	the
directive	direct	directive
as	as	a
executive	execut	executive
branch	branch	branch
overreach	overreach	overreach
,	,	,
and	and	and
more	more	more
than	than	than
a	a	a
dozen	dozen	dozen
states	state	state
have	have	have
sued	su	sued
the	the	the
Obama	obama	Obama
administration	administr	administration
to	to	to
block	block	block
it	it	it
.	.	.
What	what	What
happened	happen	happened
and	and	and
what	what	what
continues	continu	continues
to	to	to
happen	happen	happen
is	is	is
you	you	you
have	have	have
transgender	transgend	transgender
kids	kid	kid
in	in	in
schools	school	school
.	.	.
And	and	And
they	they	they
get	get	get
bullied	bulli	bullied
.	.	.
And	and	And
they	they	they
get	get	get
ostracized	ostrac	ostracized
.	.	.
And	and	And
it	it	it
s	s	s
tough	tough	tough
for	for	for
them	them	them
,	,	,
Obama	obama	Obama
said	said	said
.	.	.
My	my	My
best	best	best
interpretation	interpret	interpretation
of	of	of
what	what	what
our	our	our
laws	law	law
and	and	and
our	our	our
obligations	oblig	obligation
are	are	are
is	is	is
that	that	that
we	we	we
should	should	should
try	tri	try
to	to	to
accommodate	accommod	accommodate
these	these	these
kids	kid	kid
so	so	so
that	that	that
they	they	they
are	are	are
not	not	not
in	in	in
a	a	a
vulnerable	vulner	vulnerable
situation	situat	situation
,	,	,
he	he	he
said	said	said
.	.	.
On	on	On
May	may	May
13	13	13
,	,	,
the	the	the
federal	feder	federal
government	govern	government
told	told	told
public	public	public
schools	school	school
they	they	they
must	must	must
allow	allow	allow
transgender	transgend	transgender
students	student	student
to	to	to
use	use	use
bathrooms	bathroom	bathroom
that	that	that
correspond	correspond	correspond
with	with	with
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.
The	the	The
non	non	non
-binding	-bind	-binding
guidance	guidanc	guidance
contained	contain	contained
the	the	the
implicit	implicit	implicit
threat	threat	threat
of	of	of
cuts	cut	cut
in	in	in
federal	feder	federal
funding	fund	funding
if	if	if
it	it	it
was	was	wa
not	not	not
followed	follow	followed
.	.	.
It	it	It
relied	reli	relied
on	on	on
an	an	an
interpretation	interpret	interpretation
of	of	of
Title	titl	Title
IX	ix	IX
,	,	,
which	which	which
protects	protect	protects
people	peopl	people
from	from	from
discrimination	discrimin	discrimination
based	base	based
on	on	on
sex	sex	sex
in	in	in
education	educ	education
initiatives	initi	initiative
that	that	that
receive	receiv	receive
federal	feder	federal
financial	financi	financial
assistance	assist	assistance
.	.	.
The	the	The
directive	direct	directive
came	came	came
as	as	a
the	the	the
Justice	justic	Justice
Department	depart	Department
and	and	and
North	north	North
Carolina	carolina	Carolina
battled	battl	battled
in	in	in
federal	feder	federal
court	court	court
over	over	over
a	a	a
North	north	North
Carolina	carolina	Carolina
state	state	state
law	law	law
approved	approv	approved
in	in	in
March	march	March
that	that	that
prohibits	prohibit	prohibits
people	peopl	people
from	from	from
using	use	using
public	public	public
restrooms	restroom	restroom
not	not	not
corresponding	correspond	corresponding
to	to	to
the	the	the
sex	sex	sex
on	on	on
their	their	their
birth	birth	birth
certificates	certif	certificate
.	.	.
Other	other	Other
states	state	state
are	are	are
weighing	weigh	weighing
similar	similar	similar
measures	measur	measure
.	.	.
We	we	We
should	should	should
deal	deal	deal
with	with	with
this	this	this
issue	issu	issue
the	the	the
same	same	same
way	way	way
we	we	we
would	would	would
want	want	want
it	it	it
dealt	dealt	dealt
with	with	with
if	if	if
it	it	it
was	was	wa
our	our	our
child	child	child
and	and	and
that	that	that
is	is	is
to	to	to
try	tri	try
to	to	to
create	creat	create
an	an	an
environment	environ	environment
of	of	of
some	some	some
dignity	digniti	dignity
and	and	and
kindness	kind	kindness
for	for	for
these	these	these
kids	kid	kid
,	,	,
Obama	obama	Obama
said	said	said
.	.	.
Obama	obama	Obama
said	said	said
there	there	there
are	are	are
a	a	a
lot	lot	lot
of	of	of
things	thing	thing
more	more	more
pressing	press	pressing
than	than	than
the	the	the
transgender	transgend	transgender
bathroom	bathroom	bathroom
controversy	controversi	controversy
,	,	,
including	includ	including
Islamic	islam	Islamic
State	state	State
,	,	,
the	the	the
economy	economi	economy
and	and	and
jobs	job	job
.	.	.
Somehow	somehow	Somehow
people	peopl	people
think	think	think
I	i	I
made	made	made
it	it	it
an	an	an
issue	issu	issue
.	.	.
I	i	I
didn	didn	didn
t	t	t
make	make	make
it	it	it
an	an	an
issue	issu	issue
,	,	,
he	he	he
said	said	said
.	.	.
