HUNTINGTON	huntington	HUNTINGTON
,	,	,
W	w	W
.	.	.
Va	va	Va
.	.	.
Reuters	reuter	Reuters
-	-	-
West	west	West
Virginia	virginia	Virginia
Governor	governor	Governor
Jim	jim	Jim
Justice	justic	Justice
,	,	,
standing	stand	standing
next	next	next
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
at	at	at
a	a	a
rally	ralli	rally
on	on	on
Thursday	thursday	Thursday
night	night	night
,	,	,
announced	announc	announced
that	that	that
he	he	he
was	was	wa
changing	chang	changing
political	polit	political
parties	parti	party
,	,	,
ditching	ditch	ditching
the	the	the
Democrats	democrat	Democrats
and	and	and
joining	join	joining
Trump	trump	Trump
s	s	s
Republicans	republican	Republicans
.	.	.
I	i	I
can	can	can
t	t	t
help	help	help
you	you	you
anymore	anymor	anymore
being	be	being
a	a	a
Democrat	democrat	Democrat
governor	governor	governor
,	,	,
Justice	justic	Justice
told	told	told
the	the	the
crowd	crowd	crowd
.	.	.
So	so	So
tomorrow	tomorrow	tomorrow
I	i	I
will	will	will
be	be	be
changing	chang	changing
my	my	my
registration	registr	registration
to	to	to
Republican	republican	Republican
,	,	,
he	he	he
said	said	said
to	to	to
loud	loud	loud
cheers	cheer	cheer
.	.	.
Justice	justic	Justice
,	,	,
a	a	a
billionaire	billionair	billionaire
businessman	businessman	businessman
with	with	with
interests	interest	interest
in	in	in
coal	coal	coal
and	and	and
agriculture	agricultur	agriculture
,	,	,
won	won	won
election	elect	election
in	in	in
November	novemb	November
as	as	a
a	a	a
Democrat	democrat	Democrat
in	in	in
his	his	his
first	first	first
attempt	attempt	attempt
at	at	at
political	polit	political
office	offic	office
.	.	.
Until	until	Until
2015	2015	2015
,	,	,
he	he	he
had	had	had
been	been	been
a	a	a
registered	regist	registered
Republican	republican	Republican
.	.	.
Trump	trump	Trump
,	,	,
who	who	who
won	won	won
West	west	West
Virginia	virginia	Virginia
by	by	by
42	42	42
percentage	percentag	percentage
points	point	point
over	over	over
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
campaigned	campaign	campaigned
on	on	on
a	a	a
promise	promis	promise
to	to	to
bring	bring	bring
back	back	back
coal	coal	coal
jobs	job	job
,	,	,
an	an	an
important	import	important
industry	industri	industry
in	in	in
the	the	the
state	state	state
.	.	.
Justice	justic	Justice
said	said	said
his	his	his
late	late	late
mother	mother	mother
would	would	would
have	have	have
told	told	told
him	him	him
about	about	about
switching	switch	switching
parties	parti	party
Jimmy	jimmi	Jimmy
,	,	,
it	it	it
s	s	s
about	about	about
damn	damn	damn
time	time	time
you	you	you
came	came	came
to	to	to
your	your	your
senses	sens	sens
.	.	.
Justice	justic	Justice
told	told	told
the	the	the
crowd	crowd	crowd
he	he	he
had	had	had
met	met	met
with	with	with
Trump	trump	Trump
twice	twice	twice
at	at	at
the	the	the
White	white	White
House	hous	House
in	in	in
the	the	the
past	past	past
several	sever	several
weeks	week	week
to	to	to
present	present	present
ideas	idea	idea
on	on	on
coal	coal	coal
and	and	and
manufacturing	manufactur	manufacturing
.	.	.
He	he	He
s	s	s
got	got	got
a	a	a
backbone	backbon	backbone
.	.	.
He	he	He
s	s	s
got	got	got
real	real	real
ideas	idea	idea
.	.	.
He	he	He
cares	care	care
about	about	about
America	america	America
.	.	.
He	he	He
cares	care	care
about	about	about
us	us	u
in	in	in
West	west	West
Virginia	virginia	Virginia
,	,	,
Justice	justic	Justice
said	said	said
of	of	of
Trump	trump	Trump
,	,	,
a	a	a
fellow	fellow	fellow
billionaire	billionair	billionaire
businessman	businessman	businessman
.	.	.
Trump	trump	Trump
,	,	,
who	who	who
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
promised	promis	promised
a	a	a
very	veri	very
big	big	big
announcement	announc	announcement
at	at	at
the	the	the
rally	ralli	rally
,	,	,
welcomed	welcom	welcomed
Justice	justic	Justice
into	into	into
the	the	the
party	parti	party
s	s	s
ranks	rank	rank
.	.	.
Having	have	Having
big	big	big
Jim	jim	Jim
as	as	a
a	a	a
Republican	republican	Republican
is	is	is
such	such	such
an	an	an
honor	honor	honor
,	,	,
Trump	trump	Trump
said	said	said
of	of	of
the	the	the
6	6	6
-foot-7-inch	-foot-7-inch	-foot-7-inch
governor	governor	governor
.	.	.
With	with	With
Justice	justic	Justice
changing	chang	changing
his	his	his
affiliation	affili	affiliation
,	,	,
there	there	there
are	are	are
now	now	now
34	34	34
Republican	republican	Republican
governors	governor	governor
,	,	,
15	15	15
Democrats	democrat	Democrats
and	and	and
one	one	one
independent	independ	independent
.	.	.
Republicans	republican	Republicans
will	will	will
now	now	now
control	control	control
both	both	both
the	the	the
legislature	legislatur	legislature
and	and	and
the	the	the
governorship	governorship	governorship
in	in	in
26	26	26
of	of	of
the	the	the
50	50	50
states	state	state
.	.	.
Republicans	republican	Republicans
control	control	control
both	both	both
houses	hous	house
of	of	of
the	the	the
West	west	West
Virginia	virginia	Virginia
legislature	legislatur	legislature
.	.	.
