BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
A	a	A
top	top	top
Chinese	chines	Chinese
coal	coal	coal
miner	miner	miner
,	,	,
Yankuang	yankuang	Yankuang
Group	group	Group
,	,	,
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
industrial	industri	industrial
gas	gas	gas
supplier	supplier	supplier
Air	air	Air
Products	product	Products
and	and	and
Chemicals	chemic	Chemicals
Inc	inc	Inc
on	on	on
Thursday	thursday	Thursday
said	said	said
they	they	they
planned	plan	planned
to	to	to
build	build	build
a	a	a
3	3	3
.	.	.
5	5	5
billion	billion	billion
coal	coal	coal
-to-synthesis	-to-synthesi	-to-synthesis
gas	gas	gas
syngas	synga	syngas
plant	plant	plant
in	in	in
China	china	China
.	.	.

The	the	The
announcement	announc	announcement
on	on	on
the	the	the
facility	facil	facility
in	in	in
the	the	the
province	provinc	province
of	of	of
Shaanxi	shaanxi	Shaanxi
comes	come	come
as	as	a
part	part	part
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
state	state	state
visit	visit	visit
to	to	to
China	china	China
,	,	,
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
consumer	consum	consumer
of	of	of
coal	coal	coal
.	.	.

The	the	The
deal	deal	deal
is	is	is
yet	yet	yet
to	to	to
be	be	be
finalised	finalis	finalised
,	,	,
although	although	although
the	the	the
companies	compani	company
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
they	they	they
would	would	would
look	look	look
to	to	to
do	do	do
this	this	this
as	as	a
soon	soon	soon
as	as	a
possible	possibl	possible
.	.	.

Syngas	synga	Syngas
is	is	is
a	a	a
combination	combin	combination
of	of	of
hydrogen	hydrogen	hydrogen
,	,	,
carbon	carbon	carbon
monoxide	monoxid	monoxide
and	and	and
some	some	some
carbon	carbon	carbon
dioxide	dioxid	dioxide
that	that	that
is	is	is
typically	typic	typically
manufactured	manufactur	manufactured
by	by	by
gasifying	gasifi	gasifying
a	a	a
solid	solid	solid
hydrocarbon	hydrocarbon	hydrocarbon
fuel	fuel	fuel
.	.	.

It	it	It
can	can	can
be	be	be
used	use	used
to	to	to
create	creat	create
energy	energi	energy
or	or	or
to	to	to
help	help	help
churn	churn	churn
out	out	out
products	product	product
such	such	such
as	as	a
methane	methan	methane
or	or	or
methanol	methanol	methanol
.	.	.

Under	under	Under
the	the	the
agreement	agreement	agreement
,	,	,
Air	air	Air
Products	product	Products
and	and	and
Shaanxi	shaanxi	Shaanxi
Future	futur	Future
Energy	energi	Energy
Group	group	Group
Co	co	Co
SFEC	sfec	SFEC
,	,	,
a	a	a
subsidiary	subsidiari	subsidiary
of	of	of
Yankuang	yankuang	Yankuang
,	,	,
will	will	will
form	form	form
a	a	a
joint	joint	joint
venture	ventur	venture
,	,	,
in	in	in
which	which	which
Air	air	Air
Products	product	Products
will	will	will
have	have	have
a	a	a
majority	major	majority
stake	stake	stake
.	.	.

It	it	It
will	will	will
build	build	build
,	,	,
own	own	own
and	and	and
operate	oper	operate
an	an	an
air	air	air
separation	separ	separation
,	,	,
gasification	gasif	gasification
and	and	and
syngas	synga	syngas
clean	clean	clean
-up	-up	-up
system	system	system
in	in	in
the	the	the
city	citi	city
of	of	of
Yulin	yulin	Yulin
to	to	to
supply	suppli	supply
SFEC	sfec	SFEC
,	,	,
the	the	the
firms	firm	firm
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
air	air	air
separation	separ	separation
units	unit	unit
are	are	are
expected	expect	expected
to	to	to
produce	produc	produce
about	about	about
40	40	40
,	,	,
000	000	000
tonnes	tonn	tonne
per	per	per
day	day	day
TPD	tpd	TPD
of	of	of
oxygen	oxygen	oxygen
to	to	to
support	support	support
the	the	the
production	product	production
of	of	of
about	about	about
2	2	2
.	.	.
5	5	5
million	million	million
normal	normal	normal
cubic	cubic	cubic
meters	meter	meter
an	an	an
hour	hour	hour
of	of	of
syngas	synga	syngas
.	.	.

SFEC	sfec	SFEC
will	will	will
supply	suppli	supply
coal	coal	coal
,	,	,
steam	steam	steam
and	and	and
power	power	power
and	and	and
receive	receiv	receive
syngas	synga	syngas
under	under	under
a	a	a
long	long	long
-term	-term	-term
,	,	,
onsite	onsit	onsite
contract	contract	contract
.	.	.

Air	air	Air
Products	product	Products
currently	current	currently
supplies	suppli	supply
SFEC	sfec	SFEC
s	s	s
Phase	phase	Phase
1	1	1
project	project	project
in	in	in
Yulin	yulin	Yulin
with	with	with
12	12	12
,	,	,
000	000	000
TPD	tpd	TPD
of	of	of
oxygen	oxygen	oxygen
.	.	.

The	the	The
addition	addit	addition
of	of	of
Phase	phase	Phase
2	2	2
would	would	would
make	make	make
the	the	the
complex	complex	complex
one	one	one
of	of	of
the	the	the
largest	largest	largest
coal	coal	coal
-to-fuel	-to-fuel	-to-fuel
and	and	and
chemicals	chemic	chemical
facilities	facil	facility
in	in	in
China	china	China
,	,	,
with	with	with
SFEC	sfec	SFEC
Phase	phase	Phase
2	2	2
producing	produc	producing
4	4	4
million	million	million
tonnes	tonn	tonne
per	per	per
year	year	year
of	of	of
liquid	liquid	liquid
fuels	fuel	fuel
and	and	and
downstream	downstream	downstream
chemicals	chemic	chemical
,	,	,
it	it	it
said	said	said
.	.	.

The	the	The
companies	compani	company
expect	expect	expect
the	the	the
overall	overal	overall
project	project	project
to	to	to
come	come	come
onstream	onstream	onstream
in	in	in
2021	2021	2021
.	.	.

