WINSTON	winston	WINSTON
-SALEM	-salem	-SALEM
,	,	,
N	n	N
.	.	.
C	c	C
.	.	.
Reuters	reuter	Reuters
-	-	-
North	north	North
Carolina	carolina	Carolina
s	s	s
gubernatorial	gubernatori	gubernatorial
race	race	race
was	was	wa
undecided	undecid	undecided
10	10	10
days	day	day
after	after	after
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
vote	vote	vote
and	and	and
new	new	new
allegations	alleg	allegation
by	by	by
the	the	the
Republican	republican	Republican
incumbent	incumb	incumbent
s	s	s
campaign	campaign	campaign
about	about	about
felons	felon	felon
and	and	and
dead	dead	dead
people	peopl	people
casting	cast	casting
ballots	ballot	ballot
could	could	could
leave	leav	leave
the	the	the
outcome	outcom	outcome
in	in	in
limbo	limbo	limbo
for	for	for
weeks	week	week
.	.	.

Republican	republican	Republican
Governor	governor	Governor
Pat	pat	Pat
McCrory	mccrori	McCrory
,	,	,
trailing	trail	trailing
Democratic	democrat	Democratic
challenger	challeng	challenger
Roy	roy	Roy
Cooper	cooper	Cooper
by	by	by
about	about	about
6	6	6
,	,	,
300	300	300
votes	vote	vote
according	accord	according
to	to	to
the	the	the
state	state	state
elections	elect	election
website	websit	website
Friday	friday	Friday
afternoon	afternoon	afternoon
,	,	,
has	has	ha
not	not	not
conceded	conced	conceded
.	.	.

Under	under	Under
state	state	state
law	law	law
,	,	,
Friday	friday	Friday
was	was	wa
the	the	the
deadline	deadlin	deadline
for	for	for
counties	counti	county
to	to	to
certify	certifi	certify
their	their	their
results	result	result
.	.	.

But	but	But
challenges	challeng	challenge
over	over	over
the	the	the
validity	valid	validity
of	of	of
hundreds	hundr	hundred
of	of	of
votes	vote	vote
and	and	and
reviews	review	review
of	of	of
provisional	provision	provisional
ballots	ballot	ballot
were	were	were
expected	expect	expected
to	to	to
delay	delay	delay
the	the	the
reports	report	report
from	from	from
many	mani	many
,	,	,
if	if	if
not	not	not
all	all	all
,	,	,
of	of	of
the	the	the
state	state	state
s	s	s
100	100	100
counties	counti	county
,	,	,
elections	elect	election
officials	offici	official
said	said	said
.	.	.

The	the	The
uncertainty	uncertainti	uncertainty
has	has	ha
been	been	been
punctuated	punctuat	punctuated
this	this	this
week	week	week
by	by	by
a	a	a
war	war	war
of	of	of
words	word	word
,	,	,
with	with	with
McCrory	mccrori	McCrory
s	s	s
campaign	campaign	campaign
accusing	accus	accusing
Cooper	cooper	Cooper
of	of	of
being	be	being
lax	lax	lax
on	on	on
voter	voter	voter
fraud	fraud	fraud
and	and	and
Cooper	cooper	Cooper
s	s	s
campaign	campaign	campaign
calling	call	calling
the	the	the
incumbent	incumb	incumbent
dishonest	dishonest	dishonest
and	and	and
desperate	desper	desperate
.	.	.

It	it	It
is	is	is
unfortunate	unfortun	unfortunate
to	to	to
see	see	see
that	that	that
rather	rather	rather
than	than	than
accepting	accept	accepting
the	the	the
results	result	result
,	,	,
Pat	pat	Pat
McCrory	mccrori	McCrory
is	is	is
going	go	going
to	to	to
go	go	go
down	down	down
by	by	by
besmirching	besmirch	besmirching
Republican	republican	Republican
election	elect	election
officials	offici	official
and	and	and
by	by	by
impugning	impugn	impugning
voters	voter	voter
,	,	,
Marc	marc	Marc
Elias	elia	Elias
,	,	,
a	a	a
lawyer	lawyer	lawyer
for	for	for
the	the	the
Cooper	cooper	Cooper
campaign	campaign	campaign
,	,	,
said	said	said
in	in	in
a	a	a
call	call	call
with	with	with
reporters	report	reporter
on	on	on
Friday	friday	Friday
.	.	.

McCrory	mccrori	McCrory
s	s	s
campaign	campaign	campaign
,	,	,
however	howev	however
,	,	,
argues	argu	argues
it	it	it
is	is	is
following	follow	following
the	the	the
legal	legal	legal
process	process	process
to	to	to
ensure	ensur	ensure
all	all	all
legitimate	legitim	legitimate
votes	vote	vote
are	are	are
counted	count	counted
.	.	.

Protests	protest	Protests
being	be	being
filed	file	filed
by	by	by
registered	regist	registered
voters	voter	voter
in	in	in
some	some	some
50	50	50
counties	counti	county
argue	argu	argue
that	that	that
up	up	up
to	to	to
200	200	200
ballots	ballot	ballot
should	should	should
be	be	be
thrown	thrown	thrown
out	out	out
because	becaus	because
they	they	they
were	were	were
cast	cast	cast
under	under	under
the	the	the
names	name	name
of	of	of
dead	dead	dead
people	peopl	people
or	or	or
by	by	by
felons	felon	felon
or	or	or
individuals	individu	individual
who	who	who
voted	vote	voted
