JERUSALEM	jerusalem	JERUSALEM
RIYADH	riyadh	RIYADH
Reuters	reuter	Reuters
-	-	-
An	an	An
Israeli	isra	Israeli
cabinet	cabinet	cabinet
minister	minist	minister
said	said	said
on	on	on
Sunday	sunday	Sunday
that	that	that
Israel	israel	Israel
has	has	ha
had	had	had
covert	covert	covert
contacts	contact	contact
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
amid	amid	amid
common	common	common
concerns	concern	concern
over	over	over
Iran	iran	Iran
,	,	,
a	a	a
first	first	first
disclosure	disclosur	disclosure
by	by	by
a	a	a
senior	senior	senior
official	offici	official
from	from	from
either	either	either
country	countri	country
of	of	of
long	long	long
-rumoured	-rumour	-rumoured
secret	secret	secret
dealings	deal	dealing
.	.	.

The	the	The
Saudi	saudi	Saudi
government	govern	government
had	had	had
no	no	no
immediate	immedi	immediate
response	respons	response
to	to	to
Israeli	isra	Israeli
Energy	energi	Energy
Minister	minist	Minister
Yuval	yuval	Yuval
Steinitz	steinitz	Steinitz
s	s	s
remarks	remark	remark
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
also	also	also
did	did	did
not	not	not
respond	respond	respond
immediately	immedi	immediately
to	to	to
a	a	a
request	request	request
to	to	to
comment	comment	comment
.	.	.

Both	both	Both
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
Israel	israel	Israel
view	view	view
Iran	iran	Iran
as	as	a
a	a	a
main	main	main
threat	threat	threat
to	to	to
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
increased	increas	increased
tension	tension	tension
between	between	between
Tehran	tehran	Tehran
and	and	and
Riyadh	riyadh	Riyadh
has	has	ha
fuelled	fuell	fuelled
speculation	specul	speculation
that	that	that
shared	share	shared
interests	interest	interest
may	may	may
push	push	push
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
Israel	israel	Israel
to	to	to
work	work	work
together	togeth	together
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
maintains	maintain	maintains
that	that	that
any	ani	any
relations	relat	relation
with	with	with
Israel	israel	Israel
hinge	hing	hinge
on	on	on
Israeli	isra	Israeli
withdrawal	withdraw	withdrawal
from	from	from
Arab	arab	Arab
lands	land	land
captured	captur	captured
in	in	in
the	the	the
1967	1967	1967
Middle	middl	Middle
East	east	East
war	war	war
,	,	,
territory	territori	territory
Palestinians	palestinian	Palestinians
seek	seek	seek
for	for	for
a	a	a
future	futur	future
state	state	state
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
peace	peac	peace
envoys	envoy	envoy
,	,	,
seeking	seek	seeking
an	an	an
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
agreement	agreement	agreement
with	with	with
regional	region	regional
support	support	support
,	,	,
have	have	have
visited	visit	visited
Saudi	saudi	Saudi
Arabia	arabia	Arabia
several	sever	several
times	time	time
since	sinc	since
he	he	he
took	took	took
office	offic	office
.	.	.

In	in	In
an	an	an
interview	interview	interview
on	on	on
Army	armi	Army
Radio	radio	Radio
,	,	,
Steinitz	steinitz	Steinitz
,	,	,
a	a	a
member	member	member
of	of	of
Netanyahu	netanyahu	Netanyahu
s	s	s
security	secur	security
cabinet	cabinet	cabinet
,	,	,
did	did	did
not	not	not
characterise	characteris	characterise
the	the	the
contacts	contact	contact
or	or	or
give	give	give
details	detail	detail
when	when	when
asked	ask	asked
why	whi	why
Israel	israel	Israel
was	was	wa
hiding	hide	hiding
its	it	it
ties	tie	tie
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.

He	he	He
replied	repli	replied
We	we	We
have	have	have
ties	tie	tie
that	that	that
are	are	are
indeed	inde	indeed
partly	part	partly
covert	covert	covert
with	with	with
many	mani	many
Muslim	muslim	Muslim
and	and	and
Arab	arab	Arab
countries	countri	country
,	,	,
and	and	and
usually	usual	usually
we	we	we
are	are	are
the	the	the
party	parti	party
that	that	that
is	is	is
not	not	not
ashamed	asham	ashamed
.	.	.

It	it	It
s	s	s
the	the	the
other	other	other
side	side	side
that	that	that
is	is	is
interested	interest	interested
in	in	in
keeping	keep	keeping
the	the	the
ties	tie	tie
quiet	quiet	quiet
.	.	.

With	with	With
us	us	u
,	,	,
usually	usual	usually
,	,	,
there	there	there
is	is	is
no	no	no
problem	problem	problem
,	,	,
but	but	but
we	we	we
respect	respect	respect
the	the	the
other	other	other
side	side	side
s	s	s
wish	wish	wish
,	,	,
when	when	when
ties	tie	tie
are	are	are
developing	develop	developing
,	,	,
whether	whether	whether
it	it	it
s	s	s
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
or	or	or
with	with	with
other	other	other
Arab	arab	Arab
countries	countri	country
or	or	or
other	other	other
Muslim	muslim	Muslim
countries	countri	country
,	,	,
and	and	and
there	there	there
is	is	is
much	much	much
more	more	more
.	.	.
.	.	.
.	.	.

but	but	but
we	we	we
keep	keep	keep
it	it	it
secret	secret	secret
.	.	.

In	in	In
an	an	an
interview	interview	interview
with	with	with
Reuters	reuter	Reuters
on	on	on
Thursday	thursday	Thursday
,	,	,
Saudi	saudi	Saudi
Foreign	foreign	Foreign
Minister	minist	Minister
Adel	adel	Adel
Jubeir	jubeir	Jubeir
,	,	,
asked	ask	asked
about	about	about
reports	report	report
of	of	of
cooperation	cooper	cooperation
with	with	with
Israel	israel	Israel
,	,	,
cited	cite	cited
a	a	a
Saudi	saudi	Saudi
peace	peac	peace
initiative	initi	initiative
,	,	,
first	first	first
adopted	adopt	adopted
in	in	in
2002	2002	2002
by	by	by
the	the	the
Arab	arab	Arab
League	leagu	League
,	,	,
as	as	a
key	key	key
to	to	to
forging	forg	forging
any	ani	any
relationship	relationship	relationship
.	.	.

We	we	We
have	have	have
always	alway	always
said	said	said
that	that	that
if	if	if
the	the	the
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
conflict	conflict	conflict
is	is	is
resolved	resolv	resolved
on	on	on
the	the	the
basis	basi	basis
of	of	of
the	the	the
Arab	arab	Arab
peace	peac	peace
initiative	initi	initiative
that	that	that
Israel	israel	Israel
would	would	would
have	have	have
enjoyed	enjoy	enjoyed
normal	normal	normal
relations	relat	relation
,	,	,
economic	econom	economic
,	,	,
political	polit	political
,	,	,
diplomatic	diplomat	diplomatic
relations	relat	relation
with	with	with
all	all	all
of	of	of
the	the	the
Arab	arab	Arab
countries	countri	country
,	,	,
and	and	and
so	so	so
until	until	until
that	that	that
happens	happen	happens
,	,	,
we	we	we
don	don	don
t	t	t
have	have	have
relations	relat	relation
with	with	with
Israel	israel	Israel
,	,	,
he	he	he
said	said	said
.	.	.

That	that	That
plan	plan	plan
makes	make	make
those	those	those
relations	relat	relation
contingent	conting	contingent
on	on	on
a	a	a
full	full	full
withdrawal	withdraw	withdrawal
by	by	by
Israel	israel	Israel
from	from	from
territory	territori	territory
it	it	it
captured	captur	captured
in	in	in
the	the	the
1967	1967	1967
Middle	middl	Middle
East	east	East
war	war	war
,	,	,
including	includ	including
East	east	East
Jerusalem	jerusalem	Jerusalem
.	.	.

Netanyahu	netanyahu	Netanyahu
has	has	ha
expressed	express	expressed
tentative	tentat	tentative
support	support	support
for	for	for
parts	part	part
of	of	of
the	the	the
initiative	initi	initiative
,	,	,
but	but	but
there	there	there
are	are	are
many	mani	many
caveats	caveat	caveat
on	on	on
the	the	the
Israeli	isra	Israeli
side	side	side
.	.	.

Hussein	hussein	Hussein
Ibish	ibish	Ibish
,	,	,
senior	senior	senior
resident	resid	resident
scholar	scholar	scholar
at	at	at
the	the	the
Arab	arab	Arab
Gulf	gulf	Gulf
States	state	States
Institute	institut	Institute
in	in	in
Washington	washington	Washington
,	,	,
said	said	said
Steinitz	steinitz	Steinitz
s	s	s
remarks	remark	remark
won	won	won
t	t	t
surprise	surpris	surprise
anyone	anyon	anyone
who	who	who
s	s	s
been	been	been
paying	pay	paying
attention	attent	attention
to	to	to
the	the	the
budding	bud	budding
courtship	courtship	courtship
between	between	between
Israel	israel	Israel
and	and	and
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
which	which	which
is	is	is
being	be	being
especially	especi	especially
pushed	push	pushed
by	by	by
the	the	the
Israeli	isra	Israeli
side	side	side
.	.	.

Last	last	Last
week	week	week
,	,	,
the	the	the
Israeli	isra	Israeli
military	militari	military
chief	chief	chief
,	,	,
Lieutenant	lieuten	Lieutenant
General	general	General
Gadi	gadi	Gadi
Eizenkot	eizenkot	Eizenkot
,	,	,
told	told	told
an	an	an
Arabic	arab	Arabic
language	languag	language
online	onlin	online
newspaper	newspap	newspaper
that	that	that
Israel	israel	Israel
was	was	wa
ready	readi	ready
to	to	to
share	share	share
intelligence	intellig	intelligence
information	inform	information
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
saying	say	saying
their	their	their
countries	countri	country
had	had	had
a	a	a
common	common	common
interest	interest	interest
in	in	in
standing	stand	standing
up	up	up
to	to	to
Iran	iran	Iran
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
ratcheted	ratchet	ratcheted
up	up	up
pressure	pressur	pressure
on	on	on
Iran	iran	Iran
,	,	,
accusing	accus	accusing
