Token	Stem	Lemma
SAN	san	SAN
ANTONIO	antonio	ANTONIO
Texas	texa	Texas
Reuters	reuter	Reuters
A	a	A
special	special	special
federal	feder	federal
judicial	judici	judicial
panel	panel	panel
ruled	rule	ruled
for	for	for
the	the	the
second	second	second
time	time	time
in	in	in
two	two	two
months	month	month
on	on	on
Thursday	thursday	Thursday
that	that	that
the	the	the
Republican	republican	Republican
-led	-led	-led
Texas	texa	Texas
Legislature	legislatur	Legislature
deliberately	deliber	deliberately
redrew	redrew	redrew
political	polit	political
boundaries	boundari	boundary
so	so	so
as	as	a
to	to	to
unfairly	unfair	unfairly
diminish	diminish	diminish
voter	voter	voter
clout	clout	clout
of	of	of
the	the	the
state	state	state
s	s	s
growing	grow	growing
Latino	latino	Latino
population	popul	population
A	a	A
divided	divid	divided
three	three	three
-judge	-judg	-judge
panel	panel	panel
found	found	found
that	that	that
the	the	the
boundaries	boundari	boundary
of	of	of
several	sever	several
state	state	state
legislative	legisl	legislative
districts	district	district
were	were	were
reshaped	reshap	reshaped
with	with	with
the	the	the
intention	intent	intention
of	of	of
illegally	illeg	illegally
diluting	dilut	diluting
the	the	the
strength	strength	strength
of	of	of
the	the	the
Democratic	democrat	Democratic
-leaning	-lean	-leaning
Hispanic	hispan	Hispanic
electorate	elector	electorate
for	for	for
the	the	the
benefit	benefit	benefit
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
The	the	The
panel	panel	panel
ruled	rule	ruled
that	that	that
the	the	the
redrawn	redrawn	redrawn
boundaries	boundari	boundary
were	were	were
designed	design	designed
to	to	to
either	either	either
fragment	fragment	fragment
cohesive	cohes	cohesive
Latino	latino	Latino
communities	communiti	community
among	among	among
multiple	multipl	multiple
districts	district	district
or	or	or
to	to	to
lump	lump	lump
Hispanics	hispan	Hispanics
into	into	into
a	a	a
single	singl	single
jurisdiction	jurisdict	jurisdiction
and	and	and
thus	thus	thus
limit	limit	limit
their	their	their
overall	overal	overall
sway	sway	sway
Similar	similar	Similar
gerrymandering	gerrymand	gerrymandering
tactics	tactic	tactic
of	of	of
cracking	crack	cracking
and	and	and
packing	pack	packing
were	were	were
found	found	found
last	last	last
month	month	month
by	by	by
the	the	the
same	same	same
panel	panel	panel
in	in	in
redrawn	redrawn	redrawn
boundaries	boundari	boundary
for	for	for
three	three	three
of	of	of
the	the	the
state	state	state
s	s	s
36	36	36
congressional	congression	congressional
districts	district	district
It	it	It
was	was	wa
not	not	not
immediately	immedi	immediately
clear	clear	clear
whether	whether	whether
Texas	texa	Texas
would	would	would
appeal	appeal	appeal
the	the	the
latest	latest	latest
decision	decis	decision
which	which	which
pertained	pertain	pertained
to	to	to
state	state	state
legislative	legisl	legislative
districts	district	district
encompassing	encompass	encompassing
some	some	some
of	of	of
the	the	the
state	state	state
s	s	s
largest	largest	largest
cities	citi	city
including	includ	including
Dallas	dalla	Dallas
San	san	San
Antonio	antonio	Antonio
and	and	and
Houston	houston	Houston
As	as	As
in	in	in
last	last	last
month	month	month
s	s	s
2	2	2
-1	-1	-1
decision	decis	decision
Thursday	thursday	Thursday
s	s	s
ruling	rule	ruling
was	was	wa
agreed	agre	agreed
upon	upon	upon
by	by	by
U	u	U
S	s	S
District	district	District
Judges	judg	Judges
Xavier	xavier	Xavier
Rodriguez	rodriguez	Rodriguez
and	and	and
Orlando	orlando	Orlando
Garcia	garcia	Garcia
of	of	of
San	san	San
Antonio	antonio	Antonio
appointees	appointe	appointee
of	of	of
former	former	former
Republican	republican	Republican
President	presid	President
George	georg	George
W	w	W
Bush	bush	Bush
and	and	and
former	former	former
Democratic	democrat	Democratic
President	presid	President
Bill	bill	Bill
Clinton	clinton	Clinton
respectively	respect	respectively
The	the	The
third	third	third
member	member	member
of	of	of
the	the	the
panel	panel	panel
5th	5th	5th
U	u	U
S	s	S
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
Judge	judg	Judge
Jerry	jerri	Jerry
Smith	smith	Smith
appointed	appoint	appointed
by	by	by
former	former	former
Republican	republican	Republican
President	presid	President
Ronald	ronald	Ronald
Reagan	reagan	Reagan
dissented	dissent	dissented
in	in	in
both	both	both
opinions	opinion	opinion
He	he	He
blasted	blast	blasted
the	the	the
latest	latest	latest
decision	decis	decision
as	as	a
clearly	clear	clearly
erroneous	erron	erroneous
writing	write	writing
that	that	that
partisan	partisan	partisan
advantage	advantag	advantage
not	not	not
race	race	race
itself	itself	itself
was	was	wa
the	the	the
rationale	rational	rationale
for	for	for
drawing	draw	drawing
the	the	the
districts	district	district
as	as	a
they	they	they
were	were	were
Generally	general	Generally
courts	court	court
have	have	have
ruled	rule	ruled
that	that	that
shaping	shape	shaping
districts	district	district
based	base	based
on	on	on
race	race	race
or	or	or
ethnicity	ethnic	ethnicity
is	is	is
illegal	illeg	illegal
but	but	but
drawing	draw	drawing
boundaries	boundari	boundary
to	to	to
gain	gain	gain
political	polit	political
advantage	advantag	advantage
for	for	for
the	the	the
majority	major	majority
party	parti	party
is	is	is
not	not	not
Texas	texa	Texas
Democratic	democrat	Democratic
Party	parti	Party
chair	chair	chair
Gilberto	gilberto	Gilberto
Hinojosa	hinojosa	Hinojosa
welcomed	welcom	welcomed
the	the	the
findings	find	finding
of	of	of
Thursday	thursday	Thursday
s	s	s
153	153	153
-page	-page	-page
majority	major	majority
opinion	opinion	opinion
The	the	The
Republicans	republican	Republicans
have	have	have
dealt	dealt	dealt
Texas	texa	Texas
a	a	a
deep	deep	deep
moral	moral	moral
wound	wound	wound
he	he	he
said	said	said
They	they	They
haven	haven	haven
t	t	t
just	just	just
been	been	been
cheating	cheat	cheating
to	to	to
gain	gain	gain
an	an	an
edge	edg	edge
in	in	in
the	the	the
political	polit	political
game	game	game
They	they	They
have	have	have
been	been	been
deliberately	deliber	deliberately
holding	hold	holding
back	back	back
Texans	texan	Texans
from	from	from
having	have	having
a	a	a
voice	voic	voice
in	in	in
their	their	their
own	own	own
government	govern	government
Republicans	republican	Republicans
have	have	have
dominated	domin	dominated
all	all	all
statewide	statewid	statewide
non	non	non
judicial	judici	judicial
offices	offic	office
in	in	in
Texas	texa	Texas
for	for	for
more	more	more
than	than	than
20	20	20
years	year	year
and	and	and
have	have	have
frequently	frequent	frequently
used	use	used
that	that	that
advantage	advantag	advantage
to	to	to
redraw	redraw	redraw
political	polit	political
maps	map	map
to	to	to
benefit	benefit	benefit
their	their	their
party	parti	party
