SEOUL	seoul	SEOUL
TOKYO	tokyo	TOKYO
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
speech	speech	speech
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
where	where	where
he	he	he
warned	warn	warned
he	he	he
would	would	would
totally	total	totally
destroy	destroy	destroy
North	north	North
Korea	korea	Korea
if	if	if
threatened	threaten	threatened
,	,	,
reinforced	reinforc	reinforced
the	the	the
need	need	need
for	for	for
Pyongyang	pyongyang	Pyongyang
to	to	to
realize	realiz	realize
it	it	it
must	must	must
give	give	give
up	up	up
its	it	it
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
South	south	South
Korea	korea	Korea
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

In	in	In
a	a	a
hard	hard	hard
-edged	-edg	-edged
speech	speech	speech
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
General	general	General
Assembly	assembl	Assembly
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Trump	trump	Trump
mocked	mock	mocked
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
as	as	a
a	a	a
rocket	rocket	rocket
man	man	man
for	for	for
his	his	his
repeated	repeat	repeated
ballistic	ballist	ballistic
missile	missil	missile
tests	test	test
.	.	.

We	we	We
view	view	view
the	the	the
speech	speech	speech
as	as	a
portraying	portray	portraying
a	a	a
firm	firm	firm
and	and	and
specific	specif	specific
stance	stanc	stance
on	on	on
the	the	the
key	key	key
issues	issu	issue
regarding	regard	regarding
keeping	keep	keeping
peace	peac	peace
and	and	and
safety	safeti	safety
that	that	that
the	the	the
international	intern	international
community	communiti	community
and	and	and
the	the	the
United	unit	United
Nations	nation	Nations
are	are	are
faced	face	faced
with	with	with
,	,	,
the	the	the
office	offic	office
of	of	of
South	south	South
Korean	korean	Korean
President	presid	President
Moon	moon	Moon
Jae	jae	Jae
-in	-in	-in
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

It	it	It
clearly	clear	clearly
showed	show	showed
how	how	how
seriously	serious	seriously
the	the	the
United	unit	United
States	state	States
government	govern	government
views	view	view
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
program	program	program
as	as	a
the	the	the
president	presid	president
spent	spent	spent
an	an	an
unusual	unusu	unusual
amount	amount	amount
of	of	of
time	time	time
discussing	discuss	discussing
the	the	the
issue	issu	issue
,	,	,
the	the	the
presidential	presidenti	presidential
